WDID,Agency,Facility_Name,NPDES_No,Region,Major/Minor,Order_No,Facility_URL,Reg_Measure_ID,Reg_Measure_Type,PDF_File,Shared_PDF,Total_PDFs_Available
9000003903,El Dorado Irrigation District,El Dorado Hills WWTP,,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=222434,425238,ENROLLEE - NPDES,eid_edh_wwtp_mgo_noa_final.pdf,No,1
9000003903,Elsinore Valley Municipal Water District,EVMWD Regional WWRF,,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=259214,371955,NPDES PERMIT,13-0017_Elsinore_Valley_MWD_RWRF_Renewal_WDR_&_NPDES_Permit.pdf,No,3
9000003903,Encina Wastewater Authority,Vallecitos WD Meadowlark WRP,,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=269989,425154,NPDES PERMIT,EncinaOO_FinalOrderR9-2018-0059.pdf,Yes,2
9000003903,Encina Wastewater Authority,Encina Water Pollution Control Facility,,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=222758,425154,NPDES PERMIT,EncinaOO_FinalOrderR9-2018-0059.pdf,Yes,2
9 000000030,Encina Wastewater Authority,Encina Ocean Outfall,CA0107395,9,Major,R9-2018-0059,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=222754,425154,NPDES PERMIT,EncinaOO_FinalOrderR9-2018-0059.pdf,Yes,2
9 000000030,Encina Wastewater Authority,Carlsbad WRF,CA0107395,9,Major,R9-2018-0059,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=213270,425154,NPDES PERMIT,EncinaOO_FinalOrderR9-2018-0059.pdf,Yes,2
9000003903,Carlsbad MWD,Carlsbad WRF,,SB,,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=213270,425154,NPDES PERMIT,EncinaOO_FinalOrderR9-2018-0059.pdf,Yes,2
2 482005001,Fairfield Suisun Sewer District,Fairfield-Suisun Sewer District Subregional WWTP,CA0038024,2,Major,R2-2025-0028,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=225526,463625,NPDES PERMIT,Order R2-2025-0028.pdf,No,1
9000003903,Fallbrook Public Utility District,Fallbrook Water Reclamation Plant,,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=224137,434522,NPDES PERMIT,AmendedOrderR9-2019-0169_DigitalSignature signed dwg 12-14-21.pdf,Yes,5
9000003903,Fallbrook Public Utility District,Fallbrook Water Reclamation Plant,,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=224137,434522,NPDES PERMIT,AmendingOrderR920210204_DigitalSignature signed dwg 12-17-21.pdf,Yes,5
9000003903,Fallbrook Public Utility District,Fallbrook Water Reclamation Plant,,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=224137,434522,NPDES PERMIT,Fallbrook_Final_Adopted_Order_R9-2019-0169.pdf,Yes,5
9000003903,Fallbrook Public Utility District,Fallbrook Water Reclamation Plant,,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=224137,434522,NPDES PERMIT,R9-2019-0169_Amended2020 signed dwg 08-17-20.pdf,Yes,5
9000003903,Fallbrook Public Utility District,Fallbrook Water Reclamation Plant,,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=224137,434522,NPDES PERMIT,R9-2020-0193_Final_Order signed dwg 08-17-20.pdf,Yes,5
5B340101001,Galt City,Galt WWTP & Reclamation Facility,CAC443249,5S,Major,R5-2023-0025,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=226690,443249,ENROLLEE - NPDES,r5-2017-0085-016.pdf,No,1
5A310101001,Grass Valley City,Grass Valley City WWTP,CAG585001,5S,Major,R5-2023-0025,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=227818,446876,ENROLLEE - NPDES,r5-2017-0085-019.pdf,No,1
9000003903,Hayward City,Hayward WPCF,,2,Major,R2-2022-0023,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=229882,448549,NPDES PERMIT,EBDA - R2-2022-0023.pdf,Yes,1
7A130106011,Imperial City,Imperial City WWTP,CA0104400,7,Major,R7-2021-0002,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=232297,443074,NPDES PERMIT,R7-2021-0002.pdf,No,2
8 302006002,Irvine Ranch Water District,Los Alisos WD WWTP,CA8000326,8,Major,R8-2015-0024,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=758391,402182,NPDES PERMIT,R8-2015-0024_Irvine Ranch Water District.pdf,Yes,2
9000003903,Irvine Ranch Water District,Michelson WWRF,,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=259156,402182,NPDES PERMIT,R8-2015-0024_Irvine Ranch Water District.pdf,Yes,2
5B030103001,Jackson City,City of Jackson WWTP,CAC455508,5S,Minor,R5-2023-0025,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=214642,455508,ENROLLEE - NPDES,r5-2023-0025-002_noa.pdf,No,1
4B190107013,Joint Outfall System,A.K. Warren Water Resource Facility,CA0053813,4,Major,R4-2023-0181,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=234156,452398,NPDES PERMIT,Adopted JWPCP PERMIT NPDES CI-1758 05252023.pdf,Yes,2
9000003903,Los Angeles Cnty Sanitation Districts,A.K. Warren Water Resource Facility,,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=234156,452398,NPDES PERMIT,Adopted JWPCP PERMIT NPDES CI-1758 05252023.pdf,Yes,2
9000003903,Los Angeles Cnty Sanitation Districts,San Jose Creek Water Reclamation Plant,,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=260156,443109,NPDES PERMIT,5542_R4-2021-0131_WDR_PKG.pdf,Yes,2
4B190107019,Joint Outfall System,Pomona Water Reclamation Plant,CA0053619,4,Major,R4-2021-0097,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=250700,432902,NPDES PERMIT,0755_R4-2021-0097_WDR_PKG.pdf,Yes,3
9000003903,Los Angeles Cnty Sanitation Districts,Pomona Water Reclamation Plant,,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=250700,432902,NPDES PERMIT,0755_R4-2021-0097_WDR_PKG.pdf,Yes,3
9000003903,Los Angeles Cnty Sanitation Districts,Los Coyotes WRP,,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=238646,445113,NPDES PERMIT,5059_R4-2021-0142_WDR_PKG (signed).pdf,Yes,1
9000003903,Los Angeles Cnty Sanitation Districts,Long Beach WRP,,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=238562,447474,NPDES PERMIT,5662_R4-2022-0032_WDR_PKG.pdf,Yes,4
9000003903,Los Angeles Cnty Sanitation Districts,Whittier Narrows Water Reclamation Plant,,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=235826,443746,NPDES PERMIT,2848_R4-2021-0096_WDR_PKG.pdf,Yes,3
2 215012001,Las Gallinas Valley Sanitary District,Las Gallinas WWTP,CA0037851,2,Major,R2-2020-0022,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=236598,439063,NPDES PERMIT,R2-2020-0022.pdf,No,1
9000003903,Lincoln City,Lincoln City WWTF,,SB,Major,2020-0015-DWQ,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=238365,456827,NPDES PERMIT,r5-2024-0024_npdes.pdf,Yes,1
5A510100001,Live Oak City,Live Oak City WWTP,CAC444735,5S,Major,R5-2023-0025,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=214647,444735,ENROLLEE - NPDES,R5-2017-0085-018.pdf,No,1
2 019025001,Livermore City,City of Livermore Water Reclamation Plant,CA0038008,2,"Major, Minor",R2-2022-0025,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=237195,448551,NPDES PERMIT,City of Livermore - R2-2022-2025.pdf,No,1
9000003903,Lodi City,White Slough Water Pollution Control Facility,,5S,Major,R5-2025-0046,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=272444,461529,ENROLLEE - NPDES,R5-2023-0025-010.pdf,Yes,1
4B190106002,Los Angeles City Bureau of Sanitation,Hyperion WWTP,CA0109991,4,Major,R4-2023-0033,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=232063,447793,NPDES PERMIT,Hyperion NPDES CA0109991 CI-1492_FINAL+SIGNED.pdf,No,2
4B190106004,Los Angeles City Bureau of Sanitation,Donald C. Tillman WWRP,CA0056227,4,Major,R4-2022-0341,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=267571,447892,NPDES PERMIT,Adopted DCTWRP NPDES CI-5695_01242023.pdf,No,2
4B190106005,Los Angeles City Bureau of Sanitation,Terminal Island Water Reclamation Plant,CA0053856,4,Major,R4-2021-0095,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=267130,443776,NPDES PERMIT,TIWRP Adopted Permit 06102021_signed.pdf,No,4
4B190106001,Los Angeles City Bureau of Sanitation,Los Angeles-Glendale WWRP,CA0053953,4,Major,R4-2022-0343,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=235738,452152,NPDES PERMIT,Final LAG NPDES permit_CI 5675 Final_Signed.pdf,No,1
9000003903,Los Angeles Cnty DPW Sewer Maintenance Div,Malibu Mesa WRP,,4,Minor,00-167,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=242162,413232,NPDES PERMIT,6599_R4-2021-0062_WDR.pdf,Yes,3
9000003903,Los Angeles Cnty Sanitation Districts,Valencia WRP,,4,Major,87-048-A01,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=270849,435564,NPDES PERMIT,4993_R4-2022-0174_WDR_PKG.pdf,Yes,2
9000003903,Los Angeles Cnty Sanitation Districts,Saugus Water Reclamation Plant,,4,Major,87-049-A01,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=260494,442544,NPDES PERMIT,2960_R4-2022-0175_WDR_PKG.pdf,Yes,2
5C221012001,Mariposa PUD,Mariposa WWTP,CAC441902,5F,Minor,R5-2023-0025,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=273207,441902,ENROLLEE - NPDES,r5-2017-0085-017.pdf,No,1
5C240108001,Merced City,Merced WWTF,CA0079219,5F,Major,R5-2026-0005,https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportName=facilityAtAGlance&placeID=214652,464454,NPDES PERMIT,r5-2026-0005_npdes.pdf,No,1
