Source,Process,Support_Manual,Support_Pred,TP,FP,FN,TN,Precision,Recall,F1,Accuracy,Missed_Rate,Hallucinated_Rate,State_Accuracy,Level
Keyword,Comminution,8,7,5,2,3,30,0.7142857142857143,0.625,0.6666666666666666,0.875,0.375,0.2857142857142857,0.625,Unit_Process
Keyword,Primary Clarification,17,18,17,1,0,22,0.9444444444444444,1.0,0.9714285714285714,0.975,0.0,0.05555555555555555,0.9411764705882353,Unit_Process
Keyword,Secondary Clarification,31,12,11,1,20,8,0.9166666666666666,0.3548387096774194,0.5116279069767442,0.475,0.6451612903225806,0.08333333333333333,0.3225806451612903,Unit_Process
Keyword,Chemical Precipitation,1,0,0,0,1,39,,0.0,0.0,0.975,1.0,,0.0,Unit_Process
Keyword,Screening/Microstrainer,31,36,30,6,1,3,0.8333333333333334,0.967741935483871,0.8955223880597015,0.825,0.03225806451612903,0.16666666666666666,0.8064516129032258,Unit_Process
Keyword,Grit Removal,19,18,16,2,3,19,0.8888888888888888,0.8421052631578947,0.8648648648648649,0.875,0.15789473684210525,0.1111111111111111,0.7368421052631579,Unit_Process
Keyword,Equalization,13,14,10,4,3,23,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.825,0.23076923076923078,0.2857142857142857,0.7692307692307693,Unit_Process
Keyword,Flotation,3,6,2,4,1,33,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.875,0.3333333333333333,0.6666666666666666,0.6666666666666666,Unit_Process
Keyword,SBR,0,1,0,1,0,39,0.0,,0.0,0.975,,1.0,,Unit_Process
Keyword,Oxidation Ditch,5,5,5,0,0,35,1.0,1.0,1.0,1.0,0.0,0.0,0.8,Unit_Process
Keyword,Pure Oxygen,1,0,0,0,1,39,,0.0,0.0,0.975,1.0,,0.0,Unit_Process
Keyword,Extended Aeration,2,1,1,0,1,38,1.0,0.5,0.6666666666666666,0.975,0.5,0.0,0.5,Unit_Process
Keyword,Stepfeed,0,0,0,0,0,40,,,,1.0,,,,Unit_Process
Keyword,Facultative Lagoon,2,1,1,0,1,38,1.0,0.5,0.6666666666666666,0.975,0.5,0.0,0.5,Unit_Process
Keyword,Aerated Lagoon,1,0,0,0,1,39,,0.0,0.0,0.975,1.0,,0.0,Unit_Process
Keyword,Anaerobic Lagoon,1,0,0,0,1,39,,0.0,0.0,0.975,1.0,,0.0,Unit_Process
Keyword,Polishing Lagoon,1,1,1,0,0,39,1.0,1.0,1.0,1.0,0.0,0.0,1.0,Unit_Process
Keyword,Stabilization Pond,5,0,0,0,5,35,,0.0,0.0,0.875,1.0,,0.0,Unit_Process
Keyword,AO,5,0,0,0,5,35,,0.0,0.0,0.875,1.0,,0.0,Unit_Process
Keyword,A2O,0,0,0,0,0,40,,,,1.0,,,,Unit_Process
Keyword,MLE,0,0,0,0,0,40,,,,1.0,,,,Unit_Process
Keyword,UCT,0,0,0,0,0,40,,,,1.0,,,,Unit_Process
Keyword,Four Stage Bardenpho,1,0,0,0,1,39,,0.0,0.0,0.975,1.0,,0.0,Unit_Process
Keyword,Five Stage Bardenpho,0,0,0,0,0,40,,,,1.0,,,,Unit_Process
Keyword,Chemical N Removal,0,0,0,0,0,40,,,,1.0,,,,Unit_Process
Keyword,Chemical P Removal,0,0,0,0,0,40,,,,1.0,,,,Unit_Process
Keyword,Secondary Filtration,1,0,0,0,1,39,,0.0,0.0,0.975,1.0,,0.0,Unit_Process
Keyword,Media Filtration,15,13,11,2,4,23,0.8461538461538461,0.7333333333333333,0.7857142857142857,0.85,0.26666666666666666,0.15384615384615385,0.7333333333333333,Unit_Process
Keyword,Biologically Active Filtration,0,0,0,0,0,40,,,,1.0,,,,Unit_Process
Keyword,Trickling Filter,4,6,4,2,0,34,0.6666666666666666,1.0,0.8,0.95,0.0,0.3333333333333333,0.75,Unit_Process
Keyword,Rotating Biological Contactor,0,0,0,0,0,40,,,,1.0,,,,Unit_Process
Keyword,Anaerobic Filter,0,0,0,0,0,40,,,,1.0,,,,Unit_Process
Keyword,Membrane Aerated Biofilm Reactor,0,0,0,0,0,40,,,,1.0,,,,Unit_Process
Keyword,Nanofiltration,0,0,0,0,0,40,,,,1.0,,,,Unit_Process
Keyword,Electrodialysis Reversal,0,0,0,0,0,40,,,,1.0,,,,Unit_Process
Keyword,Electrodialysis,0,0,0,0,0,40,,,,1.0,,,,Unit_Process
Keyword,Reverse Osmosis,1,6,1,5,0,34,0.16666666666666666,1.0,0.2857142857142857,0.875,0.0,0.8333333333333334,0.0,Unit_Process
Keyword,Ultrafiltration,0,0,0,0,0,40,,,,1.0,,,,Unit_Process
Keyword,Microfiltration,2,2,1,1,1,37,0.5,0.5,0.5,0.95,0.5,0.5,0.5,Unit_Process
Keyword,Membrane Bioreactor,4,5,3,2,1,34,0.6,0.75,0.6666666666666666,0.925,0.25,0.4,0.75,Unit_Process
Keyword,Wetland,4,4,3,1,1,35,0.75,0.75,0.75,0.95,0.25,0.25,0.75,Unit_Process
Keyword,UV-AOP,0,0,0,0,0,40,,,,1.0,,,,Unit_Process
Keyword,Coagulation,2,2,1,1,1,37,0.5,0.5,0.5,0.95,0.5,0.5,0.5,Unit_Process
Keyword,Flocculation,5,5,4,1,1,34,0.8,0.8,0.8,0.95,0.2,0.2,0.8,Unit_Process
Keyword,Ion Exchange,0,1,0,1,0,39,0.0,,0.0,0.975,,1.0,,Unit_Process
Keyword,Activated Carbon,0,0,0,0,0,40,,,,1.0,,,,Unit_Process
Keyword,Chlorination,25,29,24,5,1,10,0.8275862068965517,0.96,0.8888888888888888,0.85,0.04,0.1724137931034483,0.88,Unit_Process
Keyword,Dechlorination,27,0,0,0,27,13,,0.0,0.0,0.325,1.0,,0.0,Unit_Process
Keyword,UV Disinfection,14,3,3,0,11,26,1.0,0.21428571428571427,0.35294117647058826,0.725,0.7857142857142857,0.0,0.14285714285714285,Unit_Process
Keyword,Ozonation,1,0,0,0,1,39,,0.0,0.0,0.975,1.0,,0.0,Unit_Process
