Facility Name,place_id
Big Bear WWRF,259181
Mountain Home Conservation Camp,241826
Dos Palos WWTF,273111
East Brother Light StationWWTP,223236
Exeter WWTF,273112
Gustine WWTF,273116
Madera Cnty #22A-Oakhurst WWTF,201069
Maxwell PUD WWTF,239874
Reedley WWTF,273131
San Juan Bautista WWTP,255337
Susanville Sanitary District WWTP,259689
Taft WWTF,214665
Canyon Fork WWTF,273145
Kings Canyon MHP,235051
Creekside MHP WWTP,259187
Amador City WW Export System,205396
Wildwood Est Leachfield,272563
Plymouth WWTP,248753
Pine Grove Community Leachfield System,248424
Mace Meadows Leachfield/Fairway Pines Leachfield,239038
Gayla Manor WWTP,226847
CSA 3-Lake Camanche WWTP,216284
American River Resort WWTP,205543
Motel 6 and Americas Best Value Inn Wastewater Treatment System,209383
Arbuckle WWTP,206149
Armona CSD WWTF,206355
Arvin WWTF,273104
Avenal WWTF,273160
Badger Hill Septic Tank Management Program,256301
Black Oak General Store,209726
Baker WTF,208572
Bakersfield WWTP #3,273209
Bakersfield WWTP #2,273208
Berryessa Pines WWTF,209349
Big Pine STP,209528
Big Pine Indian RES WTF,209527
Biola WWTF,273163
Bishop Sewage Treatment Plant,209662
Bohemian Grove,602220
Boron STP,210082
Bridgeport PUD Treatment Plant,210365
Buttonwillow WWTF,273164
Byron Sanitary District WWTF,210972
Harney Lane Migrant Center,240716
Dixon Migrant Center WWTF,220385
CIM WWTP,259185
"CCC @ Susanville, CSP-LC WTF",213580
Wasco State Prison WWTF,271740
Tehachapi Correctional Inst WWTF,263072
Sierra Conservation CTR-WWTP-1 (NON15),256920
Kern Valley State Prison WWTF,234915
CDC Pelican Bay Prison WWTP,213596
CDC CCWF & VSP WWTF,213592
Ben Lomond Conservation Camp,209225
Peoria Flat Baseline Conservation Camp,247966
Miramonte Conservation Camp,240914
Granite Bay State Park,229145
San Luis Rec Area/Basalt Camp,255383
Gianelli (San Luis) Pump-Generate Plant WWTF,255382
Wagon Train Road Package Plant,259226
Forest Meadows WWT & RP,224889
Copper Cove WWRF,215671
Big Trees County Houses WWTP,209539
Carmel Valley Ranch WWTP (Producer),213294
WHITE OAKS SUBDIVISION Onsite WW Treatment System,272434
Pasadera Reclamation Facility (Producer),247731
Las Palmas Ranch Reclamation Facility,236601
California City WTF,212648
Canada Woods Reclamation Facility,213029
Caspar South Water District,213470
Ceres WWTP,213947
Chowchilla WWTF,273106
Gridley WWTF,227980
Clearlake Oaks Co WTR Dis WWTP,214812
Coalinga WWTF,273107
Cool Village WWTF,215637
Corona WWRF #2,259173
Fresno Cnty Juvenile Justice WWTF,234146
Fresno Cnty #47-Quail Lake WWTF,201083
Fresno Cnty #41-Shaver Lake WWTF,201080
Fresno Cnty #34-Millerton New Town WWTF,201076
Fresno Cnty #31B-Shaver Lake WWTF,201074
Deer Creek RV Park,219395
Creekside Village,251660
Crestline SD Three WTF's,216135
CWMS WWTP (at Markham Vineyards),216322
Deer Meadow Leachfield,236755
Del Rey WWTF,273167
Desert Lake CSD WTF,219661
Dorris City STP,220567
