WDID,Facility_Name,NPDES_No
2 071107001,West County Agency Outfall,CA0038539
2 386009001,SF - OCEANSIDE Water Pollution Control Plant,CA0037681
5A450103001,Clear Creek WWTP,CA0079731
5B50NP00031,North Valley Regional Recycled Water Program - Modesto WWTP & Turlock RWQCF,CA0085316
8 302006002,Los Alisos WD WWTP,CA8000326
8 362918001,IEUA Regional Plant No. 5,CA8000409
9 000000030,Encina Ocean Outfall,CA0107395
9 000000117,El Toro WD WRP,CA0107611
9 000000117,IRWD Los Alisos WRP,CA0107611
9 000000117,SOCWA - Coastal TP,CA0107611
9 000000175,City of San Clemente WRP,CA0107417
9 000000175,SMWD - Chiquita WRP,CA0107417
9 000000175,SMWD Oso Creek WRP,CA0107417
9 000000175,SOCWA - 3A Treatment Plant,CA0107417
9 000000146,Oceanside Ocean Outfall,CA0107433
9 000003607,City of San Diego North City Pure Water Facility,CA0109398
9000003903,Vallecitos WD Meadowlark WRP,CA0107395
9000003903,Encina Water Pollution Control Facility,
9000003903,Hayward WPCF,CA0037869
9000003903,Tapia WRF,CA0056014
9000003903,San Luis Rey Water Reclamation Facility (NPDES - Ocean Discharge),
9000003903,Richmond WPCP,CA0038539
9000003903,San Leandro WPCP,CA0038881
9000003903,El Estero Water Resource Center NPDES,CA0048143
