Agency,Agency Address,Facility Name,Facility Address,Latitude,Longitude,Place/Project Type,SIC/NAICS,County,Region,Program,Regulatory Measure Status,Regulatory Measure Type,Order No.,WDID,NPDES No.,Adoption Date,Effective Date,Termination Date,Expiration/Review Date,Design Flow,Major/Minor,Complexity,TTWQ,CAF Population,CAF Subtype,AEU,# Enforcement Actions within 5 years,# Violations within 5 years,Unnamed: 29
Willits City,"111 East Commercial Street, Willits, CA 95490",Willits City WWTP,"300 North Lenore Street, Willits, CA 95490",39.41935,-123.3422889,Wastewater Treatment Facility,4952,Mendocino,1,"NPDMUNILRG, SLIC",Active,NPDES Permit,R1-2021-0021,1B80078OMEN,CA0023060,12/02/2021,02/01/2022,,2027-01-31,1.3,Major,A,2.0,,,,1.0,10.0,
Loleta CSD,"Po Box 236, Loleta, CA 95551",Loleta WWTF,"2656 Eel River Drive, Loleta, CA 95551",40.6383,-124.22553,Wastewater Treatment Facility,4952,Humboldt,1,NPDMUNIOTH,Active,NPDES Permit,R1-2020-0002,1B80081OHUM,CA0023671,04/16/2020,06/01/2020,,2025-05-31,0.1,Minor,B,2.0,,,,2.0,170.0,
College of the Redwoods,"7351 Tompkins Hill Road, Eureka, CA 95501","College of the Redwoods, POTW","7351 Tompkins Hill Road, Eureka, CA 95501",40.698944,-124.203269,Wastewater Treatment Facility,8221,Humboldt,1,"NPDMUNIOTH, WDRMUNIOTH",Active,Enrollee - WDR,2014-0153-DWQ,1B80121OHUM,CA0006700,06/07/2018,06/07/2018,,2023-06-06,0.08,Minor,C,3.0,,,,1.0,0.0,
Manila CSD,"1901 Park Street, Arcata, CA 95521",Manila CSD WWTP,"365 Lupin Drive, Arcata, CA 95521",40.85109,-124.16887,Wastewater Treatment Facility,4952,Humboldt,1,WDRMUNILRG,Active,WDR,R1-2023-0003,1B80162OHUM,,06/15/2023,06/15/2023,,2038-06-15,0.14,,B,3.0,,,,0.0,0.0,
Blue Lake City,"Po Box 458, Blue Lake, CA 95525",Blue Lake City POTW,"100 Wastewater Way, Blue Lake, CA 95525",40.88588,-124.00186,Wastewater Treatment Facility,4952,Humboldt,1,WDRMUNILRG,Active,WDR,R1-2012-0050,1B81129OHUM,,06/07/2012,06/07/2012,,2022-06-07,0.18,,B,2.0,,,,0.0,0.0,
Windsor Water District,"Po Box 100, Windsor, CA 95492-0100","Windsor Wastewater Treatment, Reclamation, and Disposal Facility","8400 Windsor Road, Windsor, CA 95492",38.538307,-122.816771,Wastewater Treatment Facility,4952,Sonoma,1,"NPDMUNILRG, SLIC",Active,NPDES Permit,R1-2020-0010,1B82037OSON,CA0023345,08/20/2020,10/01/2020,,2025-09-30,2.25,Major,A,1.0,,,,0.0,44.0,
Sonoma County Water Agency (SCWA),"404 Aviation Boulevard, Santa Rosa, CA 95403",SCWA Russian River CSD,"18400 Neely Road, Guerneville, CA 95446",38.485295,-123.000878,Wastewater Treatment Facility,4952,Sonoma,1,NPDMUNIOTH,Active,NPDES Permit,R1-2021-0002,1B82045OSON,CA0024058,06/17/2021,08/01/2021,,2026-07-31,0.71,Minor,A,1.0,,,,1.0,34.0,
Healdsburg City,"401 Grove Street, Healdsburg, CA 95448",Healdsburg City WWTP,"340 Foreman Lane, Healdsburg, CA 95448",38.58393,-122.86181,Wastewater Treatment Facility,4952,Sonoma,1,"NPDESWW, NPDMUNILRG, SLIC",Active,NPDES Permit,R1-2022-0017,1B82046OSON,CA0025135,10/07/2022,12/01/2022,,2027-11-30,1.4,Major,A,1.0,,,,0.0,2.0,
McKinleyville Community Service District,"Po Box 2037, Mckinleyville, CA 95519",McKinleyville WWTP,"675 Hiller Road, Mckinleyville, CA 95521",40.942438,-124.1224326,Wastewater Treatment Facility,4952,Humboldt,1,"NPDMUNILRG, NPDMUNIOTH, SLIC",Active,NPDES Permit,R1-2024-0023,1B82084OHUM,CA0024490,06/13/2024,08/01/2024,,2029-07-31,1.61,"Major, Minor",A,2.0,,,,1.0,2.0,
Arcata City,"736 F Street, Arcata, CA 95521",Arcata City WWTF,"600 South G Street, Arcata, CA 95521",40.86643,-124.08665,Wastewater Treatment Facility,4952,Humboldt,SB,"NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,1B82114OHUM,,,07/09/2020,,,,Major,,,,,,3.0,182.0,
Eureka City,"531 K Street, Eureka, CA 95501",Eureka City Elk River WWTP,"4301 Hilfiker Lane, Eureka, CA 95501",40.767,-124.195,Wastewater Treatment Facility,4952,Humboldt,1,"NPDMUNILRG, SLIC, WDRMUNIENROTH",Active,NPDES Permit,R1-2023-0016,1B82151OHUM,CA0024449,10/05/2023,12/01/2023,,2028-11-30,5.24,Major,A,1.0,,,,3.0,49.0,
Covelo CSD,"Po Box 65, Covelo, CA 95428",Covelo POTW,"75997 Commercial Street, Covelo, CA 95428",39.78761,-123.24819,Wastewater Treatment Facility,4952,Mendocino,1,NPDMUNIOTH,Active,NPDES Permit,R1-2023-0006,1B83009OMEN,CA0023574,06/15/2023,08/01/2023,,2028-07-31,0.077,Minor,B,2.0,,,,2.0,55.0,
"Harwood Products, Inc.","Po Box 224, Branscomb, CA 95417",Harwood Products Branscomb Mill,"14210 Branscomb Road, Branscomb, CA 95417",39.65425,-123.62615,Wastewater Treatment Facility,2421,Mendocino,1,"NPDINDSML, WDRINDIVLRG",Active,WDR,R1-2002-0031,1B83056OMEN,,05/16/2002,05/16/2002,,2021-05-16,0.0001,Minor,B,2.0,,,,0.0,0.0,
Santa Rosa City Dept of Public Works,"69 Stony Circle, Santa Rosa, CA 95401",Santa Rosa Laguna Subregional Water Reclamation Facility,"4300 Llano Road, Santa Rosa, CA 95407",38.36877,-122.76594,Wastewater Treatment Facility,4952,Sonoma,1,"NPDMUNILRG, NPDNONMUNIPRCS, SLIC",Active,NPDES Permit,R1-2020-0012,1B83099OSON,CA0022764,08/20/2020,10/01/2020,,2025-09-30,21.34,Major,A,1.0,,,,2.0,64.0,
Forestville Water District,"Po Box 261, Forestville, CA 95436",Forestville Water District,"6194 Forestville Street, Forestville, CA 95436",38.469722,-122.889722,Wastewater Treatment Facility,4952,Sonoma,1,NPDMUNIOTH,Active,NPDES Permit,R1-2024-0004,1B83100OSON,CA0023043,04/04/2024,06/01/2024,,2029-05-31,0.13,Minor,B,1.0,,,,0.0,51.0,
"Scotia Town, LLC","Po Box 245, Scotia, CA 95565",Scotia Town - City,"Williams Street, Scotia, CA 95565",40.485278,-124.1025,Wastewater Treatment Facility,,Humboldt,1,NPDMUNIOTH,Active,Co-Permitee,R1-2012-0065,1B83104OHUM,CA0006017,04/26/2012,07/01/2012,,2017-06-30,0.282,Minor,B,2.0,,,,1.0,39.0,
Mendocino County WWD #2 Anchor Bay,"35501 South Hwy 1 Unit #4, Gualala, CA 95445",Mendocino County WWD#2-Anchor Bay,"46890 Getchell Gulch Road, Gualala, CA 95445",38.80352,-123.57286,Wastewater Treatment Facility,4952,Mendocino,1,NPDMUNIOTH,Active,NPDES Permit,R1-2021-0005,1B83118OMEN,CA0024040,04/15/2021,06/01/2021,,2026-05-31,0.024,Minor,B,2.0,,,,0.0,19.0,
Garberville Sanitary District,"Po Box 211, Garberville, CA 95542",Garberville POTW,"410 Bear Canyon Road, Garberville, CA 95560",40.10471,-123.80029,Wastewater Treatment Facility,4952,Humboldt,1,"WDRMUNILRG, WDRMUNIOTH",Active,WDR,R1-2018-0033,1B83120OHUM,,09/06/2018,09/06/2018,,2028-09-06,0.162,,B,2.0,,,,0.0,0.0,
Mendocino City CSD,"Po Box 1029, Mendocino, CA 95460",Mendocino City CSD,"10500 Kelly Street, Mendocino, CA 95460",39.305282,-123.806256,Wastewater Treatment Facility,4952,Mendocino,1,NPDMUNIOTH,Active,NPDES Permit,R1-2022-0001,1B83129OMEN,CA0022870,08/04/2022,10/01/2022,,2027-09-30,0.3,Minor,B,2.0,,,,0.0,7.0,
Rio Dell City,"675 Wildwood Avenue, Rio Dell, CA 95562",Rio Dell City WWTF,"475 Hilltop Drive, Rio Dell, CA 95562",40.49716,-124.09453,Wastewater Treatment Facility,4952,Humboldt,1,"NPDMUNILRG, NPDMUNIOTH, WDRMUNIENROTH",Active,NPDES Permit,R1-2023-0022,1B83134OHUM,CA0022748,10/05/2023,12/01/2023,,2028-11-30,0.9,"Major, Minor",A,2.0,,,,3.0,65.0,
Fortuna City,"Po Box 545, Fortuna, CA 95540",Fortuna City WWTP,"180 Dinsmore, Fortuna, CA 95540",40.59083,-124.15844,Wastewater Treatment Facility,4952,Humboldt,SB,"NPDMUNILRG, SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,1B83135OHUM,,,07/09/2020,,,,Major,,,,,,3.0,47.0,
