Agency,Agency Address,Facility Name,Facility Address,Latitude,Longitude,Place/Project Type,SIC/NAICS,County,Region,Program,Regulatory Measure Status,Regulatory Measure Type,Order No.,WDID,NPDES No.,Adoption Date,Effective Date,Termination Date,Expiration/Review Date,Design Flow,Major/Minor,Complexity,TTWQ,CAF Population,CAF Subtype,AEU,# Enforcement Actions within 5 years,# Violations within 5 years,Unnamed: 29
California Department of State Hospitals,"10333 El Camino Real, Atascadero, CA 93422",Atascadero State Hospital,"10333 El Camino Real, Atascadero, CA 93422",35.46305,-120.63514,Wastewater Treatment Facility,8063,San Luis Obispo,3,WDRMUNILRG,Active,Enrollee - WDR,R3-2020-0020,3 400801001,,,08/31/2021,,2030-09-24,0.5,,B,2.0,,,,3.0,57.0,
San Luis Obispo CSA #9 Los Osos WTP,"1055 Monterey Street 207, San Luis Obispo, CA 93408",Los Osos Water Recycling Facility,"2300 Los Osos Valley Road, Los Osos, CA 93402",35.30821,-120.80028,Wastewater Treatment Facility,4952,San Luis Obispo,SB,"SLIC, WDRMUNILRG, WDRMUNIOTH, WDRNONMUNIPRCS",Active,Co-Permitee,2020-0015-DWQ,3 400910371,,,07/09/2020,,,,,,,,,,0.0,24.0,
Heritage Ranch CSD,"4870 Heritage Road, Paso Robles, CA 93446",Heritage Ranch WWTP,"4870 Heritage Road, Paso Robles, CA 93446",35.722487,-120.88405,Wastewater Treatment Facility,4952,San Luis Obispo,3,NPDMUNIOTH,Active,NPDES Permit,R3-2017-0026,3 401013001,CA0048941,09/21/2017,12/01/2017,,2022-11-30,0.4,Minor,B,2.0,,,,3.0,31.0,
Cayucos SD,"Po Box 333, Cayucos, CA 93430",Cayucos SD WWTP,"800 Toro Creek Road, Morro Bay, CA 93442",35.42045,-120.86297,Wastewater Treatment Facility,4952,San Luis Obispo,3,NPDMUNIOTH,Active,NPDES Permit,R3-2020-0004,3 401019759,CA3000001,07/16/2020,12/01/2020,,2025-11-30,0.34,Minor,B,2.0,,,,0.0,23.0,
San Miguelito Mutual Water Company,"6680 Bay Laurel Place, Avila Beach, CA 93424",San Miguelito Wild Cherry Canyon,"3560 Wild Cherry Canyon, San Luis Obispo, CA 93405",35.19498,-120.75857,Wastewater Treatment Facility,4952,San Luis Obispo,3,WDRMUNILRG,Active,Enrollee - WDR,R3-2020-0020,3 401021001,,,04/18/2024,,2030-09-24,0.15,,B,2.0,,,,0.0,28.0,
Nipomo CSD,"Po Box 326, Nipomo, CA 93444-0326",Nipomo CSD Black Lake - Reclaimed Water Producer,"1526 Willow, Nipomo, CA 93444",35.047352,-120.546507,Wastewater Treatment Facility,4952,San Luis Obispo,3,WDRMUNILRG,Active,Enrollee - WDR,2014-0153-DWQ,3 401028001,,,05/31/2023,,2029-09-23,0.1,,B,3.0,,,,0.0,17.0,
San Luis Obispo CSA #18 San Luis Obispo Country Club,"1055 Monterey Street 207, San Luis Obispo, CA 93408",Country Club Estates SLO Co CSA-18,"1045 Greystone Place, San Luis Obispo, CA 93401",35.21412,-120.6309,Wastewater Treatment Facility,,San Luis Obispo,3,WDRMUNILRG,Active,Enrollee - WDR,2014-0153-DWQ,3 401039001,,,11/20/2025,,2029-09-23,0.1,,B,3.0,,,,1.0,210.0,
Buellton City,"Po Box 1819, Buellton, CA 93427",Buellton WWTP,"79 Industrial Way, Buellton, CA 93427",34.610047,-120.201847,Wastewater Treatment Facility,4952,Santa Barbara,3,WDRMUNILRG,Active,Enrollee - WDR,R3-2020-0020,3 420100001,,,05/25/2022,,2030-09-24,0.65,,B,2.0,,,,0.0,29.0,
Carpinteria SD,"5300 6th Street, Carpinteria, CA 93013",Carpinteria SD WWTP,"5351 Sixth Street, Carpinteria, CA 93013",34.392202,-119.518033,Wastewater Treatment Facility,4952,Santa Barbara,SB,"NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,3 420101001,,,07/09/2020,,,,Major,,,,,,0.0,11.0,
Goleta SD,"1 William Moffett Place, Goleta, CA 93117",Goleta SD WWTP,"1 Moffett Place, Goleta, CA 93117",34.4234913,-119.8324455,Wastewater Treatment Facility,4952,Santa Barbara,SB,"NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,3 420102001,,,07/09/2020,,,,Major,,,,,,0.0,4.0,
Guadalupe City,"918 Obispo Street, Guadalupe, CA 93434",Guadalupe WWTP,"5125 West Main Street, Guadalupe, CA 93434",34.96174,-120.5899,Wastewater Treatment Facility,4952,Santa Barbara,3,WDRMUNILRG,Active,Enrollee - WDR,R3-2020-0020,3 420103001,,,05/30/2023,,2030-09-24,1.5,,B,2.0,,,,2.0,93.0,
Laguna County Sanitation District,"620 West Foster Road, Santa Maria, CA 93455",Laguna County Sanitation District Reclamation Plant,"3500  Black Road, Santa Maria, CA 93455",34.89129,-120.50414,Wastewater Treatment Facility,4952,Santa Barbara,3,"SLIC, WDRMUNILRG",Active,Enrollee - WDR,2016-0068-DDW,3 420104001,,,02/13/2023,,,,,C,3.0,,,,0.0,23.0,
Lompoc City,"Po Box 8001, Lompoc, CA 93438-8001",Lompoc City Regional Wastewater Reclamation Plant,"1801 West Central Avenue, Lompoc, CA 93436",34.66213,-120.483039,Wastewater Treatment Facility,4952,Santa Barbara,3,"NPDMUNILRG, REC, SLIC",Active,NPDES Permit,R3-2022-0004,3 420105001,CA0048127,02/17/2022,05/01/2022,,2027-04-30,5.0,Major,A,2.0,,,,2.0,28.0,
Montecito Sanitary District,"1042 Monte Cristo Lane, Santa Barbara, CA 93108",Montecito SD WWTP,"1042 Monte Cristo Lane, Montecito, CA 93108",34.42059,-119.65052,Wastewater Treatment Facility,4952,Santa Barbara,3,"NPDMUNILRG, SLIC",Active,NPDES Permit,R3-2022-0010,3 420107001,CA0047899,08/25/2022,11/01/2022,,2027-10-31,1.5,Major,A,2.0,,,,0.0,11.0,
Santa Barbara City PWD,"Po Box 1990, Santa Barbara, CA 93102-1990",El Estero Water Resource Center NPDES,"520 East Yanonali Street, Santa Barbara, CA 93103",34.417606,-119.68567,Wastewater Treatment Facility,4952,Santa Barbara,SB,"NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,3 420108001,,,07/09/2020,,,,Major,,,,,,1.0,32.0,
Santa Barbara City PWD,"Po Box 1990, Santa Barbara, CA 93102-1990","El Estero Reclamation Facility, Recycle Water Use","520 East Yanonali Street, Santa Barbara, CA 93103",34.417642,-119.684622,Wastewater Treatment Facility,4952,Santa Barbara,SB,"REC, SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,3 420108005,,,07/09/2020,,,,,,,,,,0.0,1.0,
City of Santa Maria,"110 South Pine Street 101, Santa Maria, CA 93458",City of Santa Maria WWTP,"601 Black Road, Santa Maria, CA 93458",34.9489,-120.4908,Wastewater Treatment Facility,4952,Santa Barbara,3,"SLIC, WDRMUNILRG",Active,Enrollee - WDR,R3-2020-0020,3 420109001,,,06/16/2023,,2030-09-24,8.0,,B,2.0,,,,1.0,26.0,
Solvang City,"1644 Oak Street, Solvang, CA 93463",Solvang WWTP,"101 South Alisal Road, Solvang, CA 93463",34.590278,-120.157853,Wastewater Treatment Facility,4952,Santa Barbara,3,"SLIC, WDRMUNILRG",Active,Enrollee - WDR,R3-2020-0020,3 420110001,,,06/10/2022,,2030-09-24,1.5,,B,2.0,,,,1.0,61.0,
Summerland SD,"Po Box 417, Summerland, CA 93067",Summerland SD WWTP,"2435 Wallace Avenue, Summerland, CA 93067",34.419298,-119.596606,Wastewater Treatment Facility,4952,Santa Barbara,3,NPDMUNIOTH,Active,NPDES Permit,R3-2022-0014,3 420111001,CA0048054,08/25/2022,11/01/2022,,2027-10-31,0.3,Minor,B,2.0,,,,0.0,0.0,
Santa Barbara County Parks Dept,"123 East Anapamu Street, Santa Barbara, CA 93101",Cachuma Lake Recreation Area WWTP,"579 San Marcos Pass Road, Santa Barbara, CA 93105",34.57719,-119.97852,Wastewater Treatment Facility,4952,Santa Barbara,3,WDRMUNILRG,Active,Enrollee - WDR,2014-0153-DWQ,3 420113001,,,06/15/2022,,2029-09-23,0.049999,,B,2.0,,,,0.0,20.0,
Mission Hills CSD,"1550 East Burton Mesa Boulevard, Lompoc, CA 93436",Mission Hills La Purisima WWTP,"1550 East Burton Mesa Boulevard, Lompoc, CA 93436",34.68947,-120.43185,Wastewater Treatment Facility,4952,Santa Barbara,3,WDRMUNILRG,Active,WDR,R3-2019-0042,3 420114004,,05/17/2019,05/17/2019,,2029-05-17,0.57,,B,3.0,,,,0.0,11.0,
Los Alamos CSD,"Po Box 675, Los Alamos, CA 93440",Los Alamos WWTP,"8690 Bell Street, Los Alamos, CA 93440",34.75348,-120.29377,Wastewater Treatment Facility,4952,Santa Barbara,3,WDRMUNILRG,Active,Enrollee - WDR,R3-2020-0020,3 420118001,,08/24/2022,08/24/2022,,2032-08-24,0.2,,B,2.0,,,,1.0,76.0,
Cuyama Community Services District,"Po Box 368, Ew Cuyama, CA 93254",Cuyama CSD WWTP,"5033 Highway 166, New Cuyama, CA 93254",34.95129,-119.69422,Wastewater Treatment Facility,4952,Santa Barbara,3,"NPDMUNIOTH, WDRMUNIOTH",Active,Enrollee - WDR,2014-0153-DWQ,3 421003001,,,09/20/2017,,2027-09-19,0.1,Minor,B,3.0,,,,0.0,4.0,
South County Regional WW Authority,"1500 Southside Drive, Gilroy, CA 95020",SCRWA WWTP,"1500 Southside Drive, Gilroy, CA 95020",36.9826174,-121.5328007,Wastewater Treatment Facility,4952,Santa Clara,SB,"NPDMUNILRG, SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,3 430100001,,,07/09/2020,,,,Major,,,,,,0.0,15.0,
South County Regional WW Authority,"1500 Southside Drive, Gilroy, CA 95020",SCRWA Reclamation Facility and Use Areas,"1500 Southside Drive, Gilroy, CA 95020",36.98759,-121.53745,Wastewater Treatment Facility,4952,Santa Clara,3,"WDR, WDRMUNILRG",Active,WDR,98-052,3 430100003,,05/29/1998,05/29/1998,,2008-05-29,15.0,,B,2.0,,,,0.0,0.0,
Santa Cruz City,"809 Center Street 201, Santa Cruz, CA 95060-3826",Santa Cruz WWTP,"110 California Street, Santa Cruz, CA 95060",36.961587,-122.030999,Wastewater Treatment Facility,4952,Santa Cruz,SB,"NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,3 440102001,,,07/09/2020,,,,Major,,,,,,1.0,18.0,
Scotts Valley,"2 Civic Center Drive, Scotts Valley, CA 95066",Scotts Valley WWTP,"700 Lundy Lane, Scotts Valley, CA 95066",37.041592,-122.026715,Wastewater Treatment Facility,4952,Santa Cruz,SB,"NPDMUNIOTH, SLIC",Active,Co-Permitee,2020-0015-DWQ,3 440103001,,,07/09/2020,,,,"Major, Minor",,,,,,1.0,13.0,
Watsonville City,"250 Main Street, Watsonville, CA 95077-5000",Watsonville WWTP,"401 Panabaker Lane, Watsonville, CA 95077",36.886751,-121.785478,Wastewater Treatment Facility,4952,Santa Cruz,SB,"NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,3 440104001,,,07/09/2020,,,,Major,,,,,,1.0,15.0,
City of Santa Cruz,"809 Center Street, Santa Cruz, CA 95060",Santa Cruz WWTP,"110 California Street, Santa Cruz, CA 95060",36.961587,-122.030999,Wastewater Treatment Facility,4952,Santa Cruz,3,NPDMUNILRG,Active,NPDES Permit,R3-2023-0001,3 440124003,CA0048194,12/15/2023,03/01/2024,,2029-02-28,17.0,Major,A,1.0,,,,1.0,18.0,
Santa Cruz CSA 07,"701 Ocean Street, Santa Cruz, CA 95060",Boulder Creek Golf & Cntry Club WWTP,"16901 Big Basin Way, Boulder Creek, CA 95006",37.15394,-122.16183,Wastewater Treatment Facility,4952,Santa Cruz,3,"REC, WDRMUNILRG",Active,Enrollee - WDR,2014-0153-DWQ,3 441000001,,,09/30/2022,,2029-09-23,0.1,,B,2.0,,,,0.0,6.0,
Pajaro Valley Water Management Agency,"36 Brennan Street, Watsonville, CA 95076-4303",Pajaro Valley WMA and City of Watsonville Water Reclamation,"401 Panabaker Lane, Watsonville, CA 95076",36.88617,-121.78613,Wastewater Treatment Facility,,Santa Cruz,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,3 441208240,,,07/09/2020,,,,,,,,,,0.0,10.0,
Scotts Valley,"2 Civic Center Drive, Scotts Valley, CA 95066",Scotts Valley WWTF Producer,"700 Lundy Ln, Scotts Valley, CA 95066",37.041247,-122.02551,Wastewater Treatment Facility,,Santa Cruz,3,WDRMUNILRG,Active,WDR,R3-2001-0066,3 449902003,,07/13/2001,07/13/2001,,2016-07-13,1.0,,C,3.0,,,,1.0,8.0,
Santa Clarita Valley SD of Los Angeles Cnty,"Po Box 4998, Whittier, CA 90607-4998",Saugus Water Reclamation Plant,"26200 Springbrook Avenue, Santa Clarita, CA 91350",34.413831,-118.539766,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNILRG, SLIC",Active,NPDES Permit,R4-2022-0175,4A190107021,CA0054313,05/12/2022,07/01/2022,,2027-06-30,6.5,Major,A,1.0,,,,0.0,39.0,
Santa Clarita Valley SD of Los Angeles Cnty,"Po Box 4998, Whittier, CA 90607-4998",Valencia WRP,"28185 The Old Road, Valencia, CA 91355",34.429975,-118.591001,Wastewater Treatment Facility,4941(+),Los Angeles,4,"NPDMUNILRG, NPDNONMUNIPRCS, SLIC",Active,NPDES Permit,R4-2022-0174,4A190107023,CA0054216,05/12/2022,07/01/2022,,2027-06-30,21.6,"Major, Minor",A,1.0,,,,0.0,46.0,
Los Angeles Cnty Sanitation Districts,"Po Box 4998, Whittier, CA 90607-4998",Saugus Water Reclamation Plant,"26200 Springbrook Avenue, Santa Clarita, CA 91350",34.413831,-118.539766,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNILRG, REC",Active,Reclamation Requirements,87-049-A01,4A190107083,,04/27/1987,04/27/1987,,,6.5,Major,B,2.0,,,,0.0,39.0,
Los Angeles Cnty Sanitation Districts,"Po Box 4998, Whittier, CA 90607-4998",Valencia WRP,"28185 The Old Road, Valencia, CA 91355",34.429975,-118.591001,Wastewater Treatment Facility,4941(+),Los Angeles,4,"NPDMUNILRG, REC",Active,Reclamation Requirements,87-048-A01,4A190107084,,04/27/1987,04/27/1987,,,4.5,Major,B,2.0,,,,0.0,46.0,
Newhall Ranch SD,"1955 Workman Mill Road, Whittier, CA 90601",Newhall Ranch WRP,"Hwy 126 at Los  Angeles/Ventura County Line, Newhall, CA 91355",34.403166,-118.6896667,Wastewater Treatment Facility,4952,Los Angeles,4,NPDMUNILRG,Active,NPDES Permit,R4-2024-0390,4A190118001,CA0064556,12/19/2024,03/01/2025,,2030-02-28,2.0,Major,A,1.0,,,,0.0,5.0,
Camarillo Sanitary District,,Camarillo WRP,"150 East Howard Road, Camarillo, CA 93012",34.193773651637,-119.002139824121,Wastewater Treatment Facility,4952,Ventura,SB,"NPDMUNILRG, NPDNONMUNIPRCS, REC, SLIC",Active,Co-Permitee,2020-0015-DWQ,4A560100001,,,07/09/2020,,,,"Major, Minor",,,,,,2.0,72.0,
Fillmore City,"250 Central Avenue, Fillmore, CA 93015-1907",Fillmore WWTP and Wastewater Recycling Plant,"C Street & River Street, Fillmore, CA 93015",34.39048,-118.94034,Wastewater Treatment Facility,4952,Ventura,SB,"NPDMUNILRG, SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,4A560101001,,,07/09/2020,,,,Major,,,,,,0.0,0.0,
City of Fillmore,"250 Central Avenue, Fillmore, CA 93015",Fillmore Water Recycling Plant,"1580 River Street, Fillmore, CA 93015",34.39064,-118.94017,Wastewater Treatment Facility,,Ventura,4,WDRMUNILRG,Active,WDR,R4-2023-0426,4A560101001,,12/21/2023,12/21/2023,,,1.8,,A,2.0,,,,0.0,0.0,
Ventura County Water and Sanitation,"6767 Spring Road P.O. Box 250, Moorpark, CA 93020",Moorpark WRF - WDR,"9550 Los Angeles Avenue, Moorpark, CA 93021",34.2714968,-118.936156,Wastewater Treatment Facility,,Ventura,4,WDRMUNILRG,Active,WDR,R4-2023-0089,4A560103002,,04/27/2023,04/27/2023,,,5.0,Major,A,2.0,,,,0.0,0.0,
Ventura Cnty Special Districts,"Po Box 250, Moorpark, CA 93020",Moorpark WRF - WRR,"9550 Los Angeles Avenue, Moorpark, CA 93021",34.271889,-118.935988,Wastewater Treatment Facility,9511(+),Ventura,SB,"NPDMUNILRG, NPDNONMUNIPRCS, REC, SLIC",Active,Co-Permitee,2020-0015-DWQ,4A560103003,,,07/09/2020,,,,Major,,,,,,0.0,0.0,
Ojai Valley Sanitary District,"1072 Tico Road, Ojai, CA 93023",Ojai Valley WWTP,"6363 North Ventura Avenue, Ventura, CA 93001",34.34376667,-119.29798333,Wastewater Treatment Facility,4952,Ventura,4,"NPDMUNILRG, SLIC",Active,NPDES Permit,R4-2023-0430,4A560104001,CA0053961,12/21/2023,02/01/2024,,2029-01-31,3.0,Major,A,1.0,,,,2.0,19.0,
Oxnard City Wastewater Division,"6001 South Perkins Road, Oxnard, CA 93033",Oxnard WWTP,"6001 South Perkins Road, Oxnard, CA 93033",34.141648,-119.185403,Wastewater Treatment Facility,4952,Ventura,4,"NPDMUNILRG, SLIC",Active,NPDES Permit,R4-2024-0252,4A560105001,CA0054097,05/23/2024,07/01/2024,,2029-06-30,31.7,Major,A,1.0,,,,0.0,2.0,
Camrosa Water District,"7385 Santa Rosa Road, Camarillo, CA 93012",Camrosa Water Reclamation Facility,"1900 South Lewis Road, Camarillo, CA 93012",34.17162,-119.053202,Wastewater Treatment Facility,4952,Ventura,SB,"NPDMUNILRG, REC, SLIC",Active,Co-Permitee,2020-0015-DWQ,4A560106003,,,07/09/2020,,,,Major,,,,,,0.0,2.0,
Ventura City,"P.O. Box 2299, Ventura, CA 93002-2299",Ventura WRF,"1400 Spinnaker Drive, Ventura, CA 93002",34.23639,-119.25861,Wastewater Treatment Facility,4953(+),Ventura,SB,"NPDMUNILRG, NPDNONMUNIPRCS, REC, SLIC, WDR",Active,Co-Permitee,2020-0015-DWQ,4A560107001,,,07/09/2020,,,,Major,,,,,,1.0,27.0,
City of Ventura,"501 Poli Street 120, Ventura, CA 93001",Ventura WRF,"1400 Spinnaker Drive, Ventura, CA 93002",34.23639,-119.25861,Wastewater Treatment Facility,4953(+),Ventura,4,NPDMUNILRG,Active,NPDES Permit,R4-2025-0272,4A560107009,CA0064726,12/18/2025,12/18/2025,,2030-12-17,10.0,Major,A,1.0,,,,1.0,27.0,
Santa Paula City,"970 Ventura Street, Santa Paula, CA 93060",Santa Paula WRF,"926 Calpipe Road, Santa Paula, CA 93060",34.3353,-119.08293,Wastewater Treatment Facility,4952,Ventura,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,4A560108002,,,07/09/2020,,,,,,,,,,0.0,6.0,
Ventura Regional Sanitation District,"4105 West Gonzalez Road, Oxnard, CA 93036",Jose Flores WWTP,"14195 Lirio Avenue, Saticoy, CA 93003",34.276133,-119.146775,Wastewater Treatment Facility,4952,Ventura,4,WDRMUNILRG,Active,WDR,R4-2013-0092,4A560109001,,06/06/2013,06/06/2013,,,0.25,,B,2.0,,,,0.0,12.0,
Simi Valley City,"2929 Tapo Canyon Road, Simi Valley, CA 93063",Simi Valley WQCP,"600 West Los Angeles Avenue, Simi Valley, CA 93065",34.28594,-118.814288,Wastewater Treatment Facility,4952,Ventura,SB,"NPDMUNILRG, REC, SLIC",Active,Co-Permitee,2020-0015-DWQ,4A560110001,,,07/09/2020,,,,Major,,,,,,1.0,90.0,
Thousand Oaks City ,"2100 East Thousand Oaks Boulevard, Thousand Oaks, CA 91362",Hill Canyon WWTP,"9600 Santa Rosa Road, Camarillo, CA 93012",34.213194,-118.921167,Wastewater Treatment Facility,4952(+),Ventura,SB,"NPDMUNILRG, NPDNONMUNIPRCS, SLIC",Active,Co-Permitee,2020-0015-DWQ,4A560112001,,,07/09/2020,,,,"Major, Minor",,,,,,1.0,7.0,
Ventura County Water and Sanitation,"6767 Spring Road P.O. Box 250, Moorpark, CA 93020",New Piru WTF,"2815 East Telegraph Road, Piru, CA 93015",34.40082,-118.82542,Wastewater Treatment Facility,,Ventura,4,WDRMUNILRG,Active,WDR,R4-2023-0292,4A560114007,,06/22/2023,08/31/2023,,,0.5,,B,2.0,,,,0.0,23.0,
Limoneira Co,"1411 Cummings Road, Santa Paula, CA 93060",Limoneira WWTP,"1141 Cummings Road, Santa Paula, CA 93060",34.33095,-119.126236,Wastewater Treatment Facility,4952,Ventura,4,"WDRINDIVLRG, WDRMUNILRG",Active,WDR,R4-2024-0300,4A565014002,,06/27/2024,06/27/2024,,,0.18,,B,3.0,,,,0.0,0.0,
Avalon City,"Po Box 707, Avalon, CA 90704",Avalon WWTF,"123 Pebbly Beach Road, Avalon, CA 90704",33.342175,-118.318494,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNILRG, SLIC",Active,NPDES Permit,R4-2024-0253,4B190100001,CA0054372,05/23/2024,07/01/2024,,2029-06-30,1.2,Major,A,1.0,,,,2.0,39.0,
Burbank City DPW,"Po Box 6459, Burbank, CA 91510-6459",Burbank WRP,"740 North Lake Street, Burbank, CA 91502",34.18195,-118.319332,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNILRG, REC, SLIC",Active,NPDES Permit,R4-2023-0358,4B190101001,CA0055531,10/19/2023,01/01/2024,,2028-12-31,12.5,Major,A,1.0,,,,1.0,4.0,
Las Virgenes MWD,"4232 Las Virgenes Road, Calabasas, CA 91302",Tapia WRF,"731 Malibu Canyon Road, Calabasas, CA 91302",34.081499,-118.704268,Wastewater Treatment Facility,4952,Los Angeles,SB,"NPDMUNILRG, NPDNONMUNIPRCS, REC, SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,4B190104001,,,07/09/2020,,,,"Major, Minor",,,,,,3.0,226.0,
Los Angeles City Bureau of Sanitation,"1149 South Broadway Street 9th Flr, Los Angeles, CA 90015",Los Angeles-Glendale WWRP,"4600 Colorado Boulevard, Los Angeles, CA 90039",34.14081,-118.273975,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNILRG, REC, SLIC, WDRMUNILRG",Active,NPDES Permit,R4-2022-0343,4B190106001,CA0053953,12/08/2022,02/01/2023,,2028-01-31,20.0,Major,A,1.0,,,,1.0,17.0,
Los Angeles City Bureau of Sanitation,"1149 South Broadway Street 9th Flr, Los Angeles, CA 90015",Hyperion WWTP,"12000 Vista del Mar Boulevard, Playa Del Rey, CA 90293",33.924482,-118.431805,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNILRG, REC, SLIC",Active,NPDES Permit,R4-2023-0033,4B190106002,CA0109991,02/23/2023,05/01/2023,,2028-04-30,450.0,Major,A,1.0,,,,5.0,146.0,
Los Angeles City Bureau of Sanitation,"1149 South Broadway Street 9th Flr, Los Angeles, CA 90015",Donald C. Tillman WWRP,"6100 Woodley Avenue, Van Nuys, CA 91406",34.179565,-118.481951,Wastewater Treatment Facility,4952,Los Angeles,4,"LNDISP, NPDMUNILRG, REC, SLIC, WDRMUNILRG",Active,NPDES Permit,R4-2022-0341,4B190106004,CA0056227,12/08/2022,02/01/2023,,2028-01-31,80.0,Major,A,1.0,,,,1.0,47.0,
Los Angeles City Bureau of Sanitation,"1149 South Broadway Street 9th Flr, Los Angeles, CA 90015",Terminal Island Water Reclamation Plant,"445 Ferry Street, San Pedro, CA 90731",33.748967,-118.25265,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNILRG, SLIC",Active,NPDES Permit,R4-2021-0095,4B190106005,CA0053856,06/10/2021,08/01/2021,,2026-07-31,30.0,Major,A,1.0,,,,1.0,14.0,
Los Angeles City Bureau of Sanitation,"1149 South Broadway Street 9th Flr, Los Angeles, CA 90015",Hyperion Advanced Water Purification Facility,"12000 vista del mar Boulevard, Los Angeles, CA 90293",33.92570556,-118.4282611,Wastewater Treatment Facility,,Los Angeles,4,WDRMUNILRG,Active,WDR,R4-2023-0357,4B190106006,,10/19/2023,10/19/2023,,2028-10-19,1.5,,B,3.0,,,,0.0,0.0,
Los Angeles Cnty DPW Sewer Maintenance Div,"900 South Fremont Avenue, Alhambra, CA 91803",Trancas WPCP,"6338 Paseo Canyon Drive, Malibu, CA 90265",34.031602537235,-118.839941425934,Wastewater Treatment Facility,4952,Los Angeles,4,WDRMUNILRG,Active,WDR,R4-2023-0294,4B190107004,,06/22/2023,06/22/2023,,,0.22,,B,2.0,,,,0.0,0.0,
Joint Outfall System,"1955 Workman Mill Road, Whittier, CA 90601",A.K. Warren Water Resource Facility,"24501 South Figueroa Street, Carson, CA 90745",33.802811,-118.283795,Wastewater Treatment Facility,4952,Los Angeles,4,NPDMUNILRG,Active,NPDES Permit,R4-2023-0181,4B190107013,CA0053813,05/25/2023,07/01/2023,,2028-06-30,400.0,Major,A,1.0,,,,0.0,15.0,
Joint Outfall System,"1955 Workman Mill Road, Whittier, CA 90601",Long Beach WRP,"7400 East Willow Street, Long Beach, CA 90815",33.800781,-118.088048,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNILRG, REC",Active,NPDES Permit,R4-2022-0032,4B190107014,CA0054119,02/10/2022,04/01/2022,,2027-03-31,25.0,Major,A,1.0,,,,1.0,21.0,
Joint Outfall System,"1955 Workman Mill Road, Whittier, CA 90601",Los Coyotes WRP,"16515 Piuma Avenue, Cerritos, CA 90703",33.87972,-118.10722,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNILRG, REC",Active,NPDES Permit,R4-2021-0142,4B190107015,CA0054011,12/09/2021,02/01/2022,,2027-01-31,37.5,Major,A,1.0,,,,0.0,10.0,
Joint Outfall System,"1955 Workman Mill Road, Whittier, CA 90601",Whittier Narrows Water Reclamation Plant,"301 North Rosemead Boulevard, El Monte, CA 91733",34.032712,-118.068302,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNILRG, REC",Active,NPDES Permit,R4-2021-0096,4B190107016,CA0053716,06/10/2021,08/01/2021,,2026-07-31,15.0,Major,A,1.0,,,,0.0,9.0,
Joint Outfall System,"1955 Workman Mill Road, Whittier, CA 90601",Pomona Water Reclamation Plant,"295 Humane Way, Pomona, CA 91766",34.055874,-117.790379,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNILRG, REC",Active,NPDES Permit,R4-2021-0097,4B190107019,CA0053619,06/10/2021,08/01/2021,,2026-07-31,15.0,Major,A,1.0,,,,0.0,35.0,
Joint Outfall System,"1955 Workman Mill Road, Whittier, CA 90601",San Jose Creek Water Reclamation Plant,"1965 South Workman Mill Road, Whittier, CA 90601",34.035108,-118.023042,Wastewater Treatment Facility,4952,Los Angeles,4,NPDMUNILRG,Active,NPDES Permit,R4-2021-0131,4B190107020,CA0053911,10/14/2021,12/01/2021,,2026-11-30,100.0,Major,A,1.0,,,,0.0,31.0,
Los Angeles Cnty DPW,"Po Box 1460, Alhambra, CA 91802-5912",Malibu Mesa WRP,"3863 Malibu Country Drive, Malibu, CA 90265",34.035694,-118.710344,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNIOTH, REC",Active,NPDES Permit,R4-2021-0062,4B190107048,CA0059099,04/08/2021,06/01/2021,,2026-05-31,0.6,Minor,B,1.0,,,,0.0,1.0,
Los Angeles Cnty DPW Sewer Maintenance Div,"900 South Fremont Avenue, Alhambra, CA 91803",Malibu Mesa WRP,"3863 Malibu Country Drive, Malibu, CA 90265",34.035694,-118.710344,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNIOTH, REC",Active,Reclamation Requirements,00-167,4B190107055,,11/09/2000,11/09/2000,,2050-11-09,0.2,Minor,B,3.0,,,,0.0,1.0,
