FACILITY_NAME
CA Dept of Corrections Centinela WWTP
California Men's Colony WWTP
Cayucos SD WWTP
Coachella Valley WD WWTP
Copper Cove WWRF
Country Life MHPRV Asset Partners LP WWTP
Date Gardens MHP WWTP
Deuel Vocational Institution
EBDA Common Outfall
East County Advanced Water Purification (AWP) Project
Edward C. Little Water Recycling Plant (Recycled Water Irrigation)
El Portal WWTF
Groundwater Replenishment System - Advanced WTF
HARRF DISCH to San Elijo Ocean Outfall
Hammonton Gold Village WWTP
IEUA Regional Plant No. 2
Irvine Desalter Project Shallow GW Unit
Juanita Millender-McDonald Carson Regional Water Recycling Plant
Membrane Filtration/Reverse Osmosis Facility - Escondido
Mountain House WWTP
Newhall Ranch WRP
Northwest WWTF
Redway POTW
SCWA Russian River CSD
SF Arprt Mel Leong TP-Industrl
SOCWA - Regional TP
SOCWA Aliso Creek Ocean Outfall
SOCWA San Juan Creek Ocean Outfall
Sac City Combined WW Collection/TRT Sys
Samoa Pacific WWTP (Samoa Town Site)
Thunder Valley Casino WWTP
UC Davis Main WWTP
US Navy Naval Air Facility WWTP
USMC Camp Pendleton Southern Regional Tertiary Treatment Plant
USS-UPI LLC - NPDES/SUB15
White Slough Water Pollution Control Facility
