FACILITY_NAME,CWNS_ID
TULELAKE STP,06001001001
MONTAGUE WWTF,06001002001
WEAVERVILLE WWTF,06001003001
Westport STF,06001004001
BLUE LAKE WWTF,06001007001
GARBERVILLE WWTF,06001012001
HOPLAND WWTF,06001013001
MIRANDA WWTF,06001016001
BODEGA BAY WWTF,06001038001
Yreka WWTF,06001042001
Oakmont WWTP,06001045003
POINT ARENA WWTF,06001048001
CALPELLA WWTP,06001050001
WEED WWTF,06001054001
DORRIS WWTF,06001064001
Etna Wastewater Treatment Facility,06001065001
NEWELL WWTF,06001085001
Geyserville WWTF,06001096001
LARKFIELD-WIKIUP WWTF,06001099001
C & H SUGAR JOINT WWTP,06002034002
OCEANA MARIN WWTF,06002060003
Tomales WWTP,06002060007
S BAYSIDE WWTP,06002125001
Lake Cachuma County Park WWTF,06003003001
ATASCADERO WWTF,06003005001
CHUALAR TREATMENT PONDS,06003019001
GREENFIELD WWTF,06003022001
Cambria WQCP,06003030001
SAN MIGUEL STP,06003035001
SANTA MARIA WWTF,06003040001
Pfeiffer Big Sur WWTF,06003046001
Laguna CSD WWTF,06003049001
BEAR CREEK ESTATES WWTF,06003054002
Hollister Domestic WWTP,06003063001
CUYAMA WWTF,06003068001
GONZALES WWTF,06003070001
GUADALUPE WWTF,06003072001
TRES PINOS WWTF,06003083001
LACSD (Lancaster WRP),06004009009
LACSD (Palmdale WRP),06004009010
Moorpark WWTF,06004014001
New Piru WWTF,06004020001
Santa Paula WRF,06004044001
OAKDALE WWTF,06005001001
HANFORD WWTF,06005008001
Bakersfield WWTP #2,06005010001
Bakersfield WWTP #3,06005010002
KERMAN WWTF,06005012001
COULTERVILLE WWTF,06005014001
ORANGE COVE WWTF,06005022001
LOS BANOS WWTF,06005026001
Woodlake WWTF,06005032001
Williams WWTF,06005033001
LINDSAY WWTF,06005039001
Delano WWTF,06005042003
Chowchilla WWTP,06005043001
DOS PALOS STP,06005046001
FRANKLIN WWTF,06005051001
GRAYSON WWTF,06005055001
HURON WWTF,06005056001
ISLETON WWTF,06005057001
IVANHOE WWTF,06005058001
LAKE CO NW REG WWTP,06005060004
Lodi WPCF,06005062001
Maxwell WWTP,06005063001
Planada WWTF,06005066001
RIVERBANK WWTF,06005068001
Selma-Kingsburg-Fowler CSD WWTF,06005071001
Visalia WWTP,06005078001
WASCO WWTF,06005079001
WATERFORD WWTP,06005080001
Vallecito/Douglas Flat WWTF,06005082002
PLYMOUTH WWTF,06005094001
Hughson WWTF,06005108001
SONORA WWTP,06005109001
IONE WWTF,06005112001
DEL REY WWTF,06005113001
KETTLEMAN CITY STP,06005123001
Marysville WWTF,06005125001
PATTERSON WWTF,06005126001
ARVIN WWTF,06005142001
DELHI STP,06005143001
LAKEPORT SOUTH WWTF,06005145001
ESCALON WWTF,06005158001
GROVELAND WWTF,06005159001
JAMESTOWN WWTF,06005160001
WOODBRIDGE WWTF,06005164001
KNIGHTS LANDING WWTF,06005169001
DINUBA WWTF,06005177001
Exeter WWTF,06005178001
MADERA STP,06005197001
Sheridan WWTF,06005218001
Pleasant Grove WWTP,06005227002
DIXON WWTF,06005235001
WINTERS WWTF,06005236001
MOKELUMNE HILL WWTF,06005238001
REEDLEY WWTP,06005244001
Corcoran WWTF,06005246001
AVENAL WWTF,06005261001
BIGGS WWTF,06005265001
BYRON SAN DIS WWTF,06005271001
CLEARLAKE OAKS WWTF,06005282001
COALINGA WWTF,06005284001
Gustine WWTF,06005297001
HAMILTON CITY WWTF,06005299001
Lamont WWTF,06005306001
LEMOORE STP,06005310001
LONDON WWTF,06005316001
McCloud WWTF,06005319001
MURPHYS WWTF,06005322001
ORLAND WWTF,06005325001
TAFT WWTF,06005347001
Tipton WWTF,06005351001
WHEATLAND WWTF,06005357001
Woodville WWTF,06005360001
LOYALTON WWTF,06005366001
Malaga WWTF,06005367001
Camino Heights Wastewater Treatment Plant,06005551001
POPLAR WWTF,06005607001
Reeder Tract  WWTF,06005693001
BIEBER WWTF,06005780001
South Tahoe WWTF,06006004001
Barstow WRF,06006005001
Tahoe-Truckee WWTP,06006008001
Mammoth Community WWTF,06006010001
JUNE LAKE WWTF,06006011001
HILTON CREEK WWTF,06006012001
L. ARROWHEAD WWTF,06006013001
HOUSTON CREEK WWTF,06006021001
BRIDGEPORT WWTF,06006027001
DESERT LAKE WWTF,06006031001
Rosamond WWTF,06006041001
MOJAVE WWTF,06006049001
PALM SPRINGS WWRF,06007003001
Blythe Regional WWTF,06007010001
Alan Horton WWTF,06007021001
Imperial Commun Colleges Dist WWTF,06007023001
BANNING WWTF,06007032001
San Jacinto Regional WRF,06008006001
Moreno Valley Regional WRF,06008006002
BIG BEAR AREA REG WWTF,06008007001
Corona WWTF #2,06008020002
Railroad Canyon WWTP,06008034001
Gafner Water Recycling Facility,06009014002
Ralph W. Chapman WRF,06009015003
Rancho Santa Fe WWTF,06009016001
Whispering Palms WPCF,06009020001
Hale Avenue RRF,06009032001
Padre Dam WRF,06009036001
RANCHO DEL CAMPO WWTF,06009058001
Santa Rosa WRF,06000000124
North of River Sanitary District,06000000165
Redlands WWRF,06000000307
S. MARIN SUBREG OUTFALL,06002155001
