PERMIT_NUMBER,Facility_Name
CA0038873,"SF-SE Water Pollution Control Plant, N-Point & Bayside"
CA1000001,Samoa Pacific WWTP (Samoa Town Site)
CA0104264,Country Life MHPRV Asset Partners LP WWTP
CA0081574,Hammonton Gold Village WWTP
CA0084069,Mineral WWTP
CA0104973,Coachella Valley WD WWTP
CA0079111,Sac City Combined WW Collection/TRT Sys
CA0083771,Northwest WWTF
CA0085260,Ironhouse WWTF
