Unit Process,Facility/Project Name,CWNS Number,Treatment Type,Present,Projected,Change Type,Back Up,Planned Year,Additional Notes,Last Updated Date,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
Aeration (Post-treatment),ELKHART WWTP,18002060001,Primary,Y,Y,No Change,N,,,11/12/2008,IN0025674,Individual Permit,"ELKHART, CITY OF",Elkhart,St. Joseph,04050001,2nd Congressional District,IN,5,MAP
Aeration (Post-treatment),Cave City WWTP,05000708001,Primary,Y,Y,No Change,N,,,01/27/2012,AR0022110,Individual Permit,Cave City,Sharp,Lower Black,11010009,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Norphlet WWTP,05000722001,Primary,Y,Y,No Change,N,,,02/08/2012,AR0035653,Individual Permit,Norphlet,Union,Lower Ouachita-Smackover,08040201,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Mountain Home WWTP,05000086001,Primary,Y,Y,No Change,N,,,02/08/2012,AR0021211,Individual Permit,Mountain Home,Baxter,Middle White,11010004,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Decatur WWTP,05000094001,Primary,Y,Y,No Change,N,,,01/30/2012,AR0022292,Individual Permit,Decatur,Benton,Lower Neosho,11070209,3rd Congressional District,AR,6,MAP
Aeration (Post-treatment),Harrison WWTP,05000109001,Primary,Y,Y,No Change,N,,,01/31/2012,AR0034321,Individual Permit,Harrison,Boone,Bull Shoals Lake,11010003,3rd Congressional District,AR,6,MAP
Aeration (Post-treatment),Sugarloaf WTD WWTP,05000110002,Primary,Y,Y,No Change,N,,,02/13/2012,AR0043753,Individual Permit,Sugarloaf WWTD,Boone,Bull Shoals Lake,11010003,3rd Congressional District,AR,6,MAP
Aeration (Post-treatment),Warren WWTP,05000115001,Primary,Y,Y,No Change,N,,,02/13/2012,AR0043427,Individual Permit,Warren,Bradley,Lower Saline,08040204,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Berryville WWTP,05000121001,Primary,Y,Y,No Change,N,,,01/26/2012,AR0021792,Individual Permit,Berryville,Carroll,Beaver Reservoir,11010001,3rd Congressional District,AR,6,MAP
Aeration (Post-treatment),Eureka Springs WWTP,05000123001,Primary,Y,Y,No Change,N,,,01/30/2012,AR0021865,Individual Permit,Eureka Springs,Carroll,Beaver Reservoir,11010001,3rd Congressional District,AR,6,MAP
Aeration (Post-treatment),Green Forest WWTP,05000124001,Primary,Y,Y,No Change,N,,,01/31/2012,AR0021741,Individual Permit,Green Forest,Carroll,Beaver Reservoir,11010001,3rd Congressional District,AR,6,MAP
Aeration (Post-treatment),Eudora WWTP,05000127001,Primary,Y,Y,No Change,N,,,01/30/2012,AR0033839,Individual Permit,Eudora,Chicot,Bayou Macon,08050002,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Lake Village WWTP,05000128001,Primary,Y,Y,No Change,N,,,02/06/2012,AR0021849,Individual Permit,Lake Village,Chicot,Bayou Macon,08050002,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Amity WWTP,05000129001,Primary,Y,Y,No Change,N,,,01/25/2012,AR0051101,Individual Permit,Amity,Clark,Little Missouri,08040103,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Arkadelphia WWTP,05000130001,Primary,Y,Y,No Change,N,,,01/25/2012,AR0020605,Individual Permit,Arkadelphia,Clark,Upper Ouachita,08040102,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Caddo Valley WWTP,05000132001,Primary,Y,Y,No Change,N,,,01/27/2012,AR0045411,Individual Permit,Caddo Valley,Clark,Upper Ouachita,08040102,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Gurdon WWTP,05000135001,Primary,Y,Y,No Change,N,,,01/31/2012,AR0022551,Individual Permit,Gurdon,Clark,Little Missouri,08040103,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Greenway WWTP,05000139001,Primary,Y,Y,No Change,N,,,01/31/2012,AR0051047,Individual Permit,Greenway,Clay,Lower St. Francis,08020203,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Quitman WWTP,05000156001,Primary,Y,Y,No Change,N,,,02/09/2012,AR0040321,Individual Permit,Quitman,Cleburne,Cadron,11110205,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Rison WWTP,05000161001,Primary,Y,Y,No Change,N,,,02/09/2012,AR0021695,Individual Permit,Rison,Cleveland,Lower Saline,08040204,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),McNeil WWTP,05000165001,Primary,Y,Y,No Change,N,,,02/08/2012,AR0021555,Individual Permit,McNeil,Columbia,Loggy Bayou,11140203,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Bono WWTP,05000177001,Primary,Y,Y,No Change,N,,,01/27/2012,AR0020699,Individual Permit,Bono,Craighead,Cache,08020302,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Brookland WWTP,05000178001,Primary,Y,Y,No Change,N,,,01/27/2012,AR0037974,Individual Permit,Brookland,Craighead,Lower St. Francis,08020203,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Mountainburg WWTP,05000191001,Primary,Y,Y,No Change,N,,,02/08/2012,AR0021512,Individual Permit,Mountainburg,Crawford,Frog-Mulberry,11110201,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Mitchellville WWTP,05000227001,Primary,Y,Y,No Change,N,,,02/08/2012,AR0037125,Individual Permit,Mitchellville,Desha,Bayou Macon,08050002,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Charleston WWTP,05000254001,Primary,Y,Y,No Change,N,,,01/27/2012,AR0033791,Individual Permit,Charleston,Franklin,Frog-Mulberry,11110201,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Mammoth Spring WWTP,05000259001,Primary,Y,Y,No Change,N,,,02/07/2012,AR0023850,Individual Permit,Mammoth Spring,Fulton,Spring,11010010,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Salem WWTP,05000260001,Primary,Y,Y,No Change,N,,,02/10/2012,AR0034789,Individual Permit,Salem,Fulton,Spring,11010010,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Poyen WWTP,05000269001,Primary,Y,Y,No Change,N,,,02/09/2012,AR0048445,Individual Permit,Poyen,Grant,Upper Saline,08040203,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Blevins WWTP,05000279001,Primary,Y,Y,No Change,N,,,01/26/2012,AR0041688,Individual Permit,Blevins,Hempstead,Little Missouri,08040103,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Perrytown WWTP,05000288001,Primary,Y,Y,No Change,N,,,02/09/2012,AR0047180,Individual Permit,Perrytown,Hempstead,Little Missouri,08040103,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Dierks WWTP,05000300001,Primary,Y,Y,No Change,N,,,01/30/2012,AR0021709,Individual Permit,Dierks,Howard,Lower Little,11140109,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Wynne WWTP,05000301001,Primary,Y,Y,No Change,N,,,02/13/2012,AR0021903,Individual Permit,Wynne,Cross,L'anguille,08020205,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Bentonville WWTP,05000304001,Primary,Y,Y,No Change,N,,,01/26/2012,AR0022403,Individual Permit,Bentonville,Benton,Elk,11070208,3rd Congressional District,AR,6,MAP
Aeration (Post-treatment),Dermott WWTP,05000309002,Primary,Y,Y,No Change,N,,,01/30/2012,AR0022250,Individual Permit,Dermott,Chicot,Boeuf,08050001,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Waldron WWTP,05000312001,Primary,Y,Y,No Change,N,,,02/13/2012,AR0035769,Individual Permit,Waldron,Scott,Poteau,11110105,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Hoxie WWTP,05000313001,Primary,Y,Y,No Change,N,,,02/02/2012,AR0020141,Individual Permit,Hoxie,Lawrence,Upper White-Village,11010013,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Harrisburg WWTP,05000318001,Primary,Y,Y,No Change,N,,,01/31/2012,AR0033863,Individual Permit,Harrisburg,Poinsett,L'anguille,08020205,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Pea Ridge WWTP,05000320001,Primary,N,Y,New,N,,,07/12/2012,AR0020672,Individual Permit,Pea Ridge,Benton,Elk,11070208,3rd Congressional District,AR,6,MAP
Aeration (Post-treatment),Marshall WWTP,05000321001,Primary,Y,Y,No Change,N,,,02/07/2012,AR0034011,Individual Permit,Marshall,Searcy,Buffalo,11010005,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Huntsville WWTP,05000322001,Primary,Y,Y,Increase Capacity,N,,,02/02/2012,AR0022004,Individual Permit,Huntsville,Madison,Beaver Reservoir,11010001,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Glenwood WWTP,05000323001,Primary,Y,Y,No Change,N,,,01/31/2012,AR0035645,Individual Permit,Glenwood,Pike,Upper Ouachita,08040102,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Yellville WWTP,05000326001,Primary,Y,Y,No Change,N,,,02/13/2012,AR0034037,Individual Permit,Yellville,Marion,Bull Shoals Lake,11010003,3rd Congressional District,AR,6,MAP
Aeration (Post-treatment),Green Bay MSD - Combined,55009511001,Primary,Y,Y,No Change,N,,,02/24/2005,WI0020991,Individual Permit,Green Bay Metropolitan Sewerage District,Brown,Lower Fox,04030204,8th Congressional District,WI,5,MAP
Aeration (Post-treatment),IXONIA SD #1 - STP,55009645001,Primary,Y,Y,No Change,N,,,02/09/2005,WI0031038,Individual Permit,IXONIA S.D. #1,Jefferson,Upper Rock,07090001,5th Congressional District,WI,5,MAP
Aeration (Post-treatment),"KNIGHT, TOWN OF - STP",55009787001,Primary,Y,Y,No Change,N,,,09/22/2004,WI0028941,Individual Permit,KNIGHT TOWN OF,Iron,Lake Superior,04020300,7th Congressional District,WI,5,MAP
Aeration (Post-treatment),CHELSEA SD WWTP,55009942001,Primary,Y,Y,No Change,N,,,12/10/2004,WI0035718,Individual Permit,CHELSEA SD,Clark,Castle Rock,07070003,7th Congressional District,WI,5,MAP
Aeration (Post-treatment),LAND O'LAKES SD #1 STP,55009943001,Primary,Y,N,Abandonment,N,,,02/24/2005,WI0029386,Individual Permit,LAND O'LAKES SD #1,Vilas,Upper Wisconsin,07070001,7th Congressional District,WI,5,MAP
Aeration (Post-treatment),Fayetteville - Noland WWTP,05000005001,Primary,Y,Y,No Change,N,,,01/30/2012,AR0020010,Individual Permit,Fayetteville,Washington,Beaver Reservoir,11010001,3rd Congressional District,AR,6,MAP
Aeration (Post-treatment),Fayetteville - Westside WWTP,05000005002,Primary,Y,Y,No Change,N,,,01/29/2009,AR0050288,Individual Permit,Fayetteville,Washington,Illinois,11110103,3rd Congressional District,AR,6,MAP
Aeration (Post-treatment),Jonesboro - West WWTP,05000006001,Primary,Y,Y,No Change,N,,,02/02/2012,AR0037907,Individual Permit,Jonesboro,Craighead,Cache,08020302,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Jonesboro - East WWTP,05000006002,Primary,Y,Y,No Change,N,,,02/02/2012,AR0043401,Individual Permit,Jonesboro,Craighead,Lower St. Francis,08020203,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Jacksonville WWTP,05000010005,Primary,Y,Y,No Change,N,,,06/03/2008,AR0041335,Individual Permit,Jacksonville,Pulaski,Bayou Meto,08020402,2nd Congressional District,AR,6,MAP
Aeration (Post-treatment),Texarkana - North WWTP,05000011002,Primary,Y,Y,No Change,N,,,02/13/2012,AR0048691,Individual Permit,Texarkana,Miller,McKinney-Posten Bayous,11140201,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Springdale WWTP,05000012001,Primary,Y,Y,No Change,N,,,06/03/2008,AR0022063,Individual Permit,Springdale,Washington,Illinois,11110103,3rd Congressional District,AR,6,MAP
Aeration (Post-treatment),Benton WWTP,05000013001,Primary,Y,Y,No Change,N,,,01/26/2012,AR0036498,Individual Permit,Benton,Saline,Upper Saline,08040203,2nd Congressional District,AR,6,MAP
Aeration (Post-treatment),Conway - Stone Dam Creek WWTP,05000014001,Primary,Y,Y,No Change,N,,,01/27/2012,AR0033359,Individual Permit,Conway Corporation,Faulkner,Lake Conway-Point Remove,11110203,2nd Congressional District,AR,6,MAP
Aeration (Post-treatment),Forrest City WWTP,05000016001,Primary,Y,Y,No Change,N,,,01/30/2012,AR0020087,Individual Permit,Forrest City,St. Francis,L'anguille,08020205,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Magnolia WWTP,05000018002,Primary,Y,Y,No Change,N,,,02/07/2012,AR0043613,Individual Permit,Magnolia,Columbia,Loggy Bayou,11140203,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Rogers WWTP,05000019001,Primary,Y,Y,No Change,N,,,02/09/2012,AR0043397,Individual Permit,Rogers,Benton,Illinois,11110103,3rd Congressional District,AR,6,MAP
Aeration (Post-treatment),Paragould WWTP,05000021002,Primary,Y,Y,No Change,N,,,02/09/2012,AR0033766,Individual Permit,Paragould,Greene,Lower St. Francis,08020203,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Stuttgart WWTP,05000022001,Primary,Y,Y,No Change,N,,,02/13/2012,AR0034380,Individual Permit,Stuttgart,Arkansas,Bayou Meto,08020402,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Bauxite WWTP,05000026001,Primary,Y,Y,No Change,N,,,01/25/2012,AR0049786,Individual Permit,Bauxite,Saline,Upper Saline,08040203,2nd Congressional District,AR,6,MAP
Aeration (Post-treatment),Clinton - East WWTP,05000726001,Primary,Y,Y,No Change,N,,,01/27/2012,AR0048836,Individual Permit,Clinton,Van Buren,Little Red,11010014,2nd Congressional District,AR,6,MAP
Aeration (Post-treatment),Prairie Grove WWTP,05000743001,Primary,Y,Y,Increase Capacity,N,,,02/09/2012,AR0022098,Individual Permit,Prairie Grove,Washington,Illinois,11110103,3rd Congressional District,AR,6,MAP
Aeration (Post-treatment),McCrory WWTP,05000770001,Primary,Y,Y,No Change,N,,,02/08/2012,AR0044954,Individual Permit,McCrory,Woodruff,Cache,08020302,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Gillham Regional WWD WWTP,05000783001,Primary,Y,Y,No Change,N,,,01/31/2012,AR0047996,Individual Permit,Gillham Regional WW Dist,Sevier,Lower Little,11140109,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),STILLWATER WWT,40000014001,Primary,Y,Y,No Change,N,,,08/03/2001,OK0027057,Individual Permit,"STILLWATER, CITY OF",Payne,Lower Cimarron,11050003,3rd Congressional District,OK,6,MAP
Aeration (Post-treatment),TULSA LOWER BIRD CREEK WWT,40000166007,Primary,Y,Y,No Change,N,,,07/17/2001,OK0042935,Individual Permit,TULSA METROPOLITAN UTILITY AUTHORITY,Rogers,Bird,11070107,1st Congressional District,OK,6,MAP
Aeration (Post-treatment),VINITA WWT,40000406001,Primary,Y,Y,No Change,N,,,06/01/2001,OK0037788,Individual Permit,"VINITA, CITY OF",Craig,Lower Neosho,11070209,2nd Congressional District,OK,6,MAP
Aeration (Post-treatment),Lake City WWTP,05000333001,Primary,Y,Y,No Change,N,,,02/06/2012,AR0034134,Individual Permit,Lake City,Craighead,Lower St. Francis,08020203,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Greenbrier WWTP,05000335001,Primary,Y,Y,No Change,N,,,01/31/2012,AR0036536,Individual Permit,Greenbrier,Faulkner,Cadron,11110205,2nd Congressional District,AR,6,MAP
Aeration (Post-treatment),Kingsland WWTP,05000352001,Primary,Y,Y,No Change,N,,,02/06/2012,AR0043672,Individual Permit,Kingsland,Cleveland,Lower Saline,08040204,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Bigelow Septic Tanks,05000365001,Primary,N,Y,New,N,,,01/26/2012,,,Bigelow,Perry,Fourche La Fave,11110206,2nd Congressional District,AR,6,MAP
Aeration (Post-treatment),Mineral Springs WWTP,05000400001,Primary,Y,Y,No Change,N,,,02/08/2012,AR0021261,Individual Permit,Mineral Springs,Howard,Lower Little,11140109,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Tollette WWTP,05000404001,Primary,Y,Y,No Change,N,,,02/13/2012,AR0045144,Individual Permit,Tollette,Howard,Lower Little,11140109,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Melbourne WWTP,05000425001,Primary,Y,Y,No Change,N,,,02/08/2012,AR0020036,Individual Permit,Melbourne,Izard,Middle White,11010004,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Clarksville WWTP,05000453001,Primary,Y,Y,No Change,N,,,01/27/2012,AR0022187,Individual Permit,Clarksville,Johnson,Dardanelle Reservoir,11110202,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Bradley WWTP,05000461001,Primary,Y,Y,No Change,N,,,01/27/2012,AR0020621,Individual Permit,Bradley,Lafayette,Bodcau Bayou,11140205,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Stamps WWTP,05000465001,Primary,Y,Y,No Change,N,,,02/13/2012,AR0048305,Individual Permit,Stamps,Lafayette,Bodcau Bayou,11140205,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Ravenden  WWTP,05000475001,Primary,Y,Y,No Change,N,,,02/09/2012,AR0041254,Individual Permit,Ravenden,Lawrence,Spring,11010010,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Star City WWTP,05000491001,Primary,Y,Y,No Change,N,,,02/13/2012,AR0046477,Individual Permit,Star City,Lincoln,Bayou Bartholomew,08040205,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Foreman WWTP,05000495001,Primary,Y,Y,No Change,N,,,01/30/2012,AR0023817,Individual Permit,Foreman,Little River,Lower Little,11140109,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Wilton WWTP,05000499001,Primary,Y,Y,No Change,N,,,02/13/2012,AR0040886,Individual Permit,Wilton,Little River,Lower Little,11140109,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Hot Springs - Southwest WWTP,05000500001,Primary,Y,Y,No Change,N,,,02/02/2012,AR0050148,Individual Permit,Hot Springs,Garland,Ouachita Headwaters,08040101,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Subiaco WWTP,05000510001,Primary,Y,Y,No Change,N,,,02/13/2012,AR0040991,Individual Permit,Subiaco,Logan,Dardanelle Reservoir,11110202,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Cabot WWTP,05000513001,Primary,Y,Y,No Change,N,,,01/27/2012,AR0021661,Individual Permit,Cabot,Lonoke,Bayou Meto,08020402,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Carlisle WWTP,05000514001,Primary,Y,Y,Rehabilitation,N,,,01/27/2012,AR0033740,Individual Permit,Carlisle,Lonoke,Bayou Meto,08020402,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Flippin WWTP,05000529001,Primary,Y,Y,No Change,N,,,01/30/2012,AR0021717,Individual Permit,Flippin,Marion,Bull Shoals Lake,11010003,3rd Congressional District,AR,6,MAP
Aeration (Post-treatment),Fouke WWTP,05000535001,Primary,Y,Y,No Change,N,,,01/30/2012,AR0041548,Individual Permit,Fouke,Miller,Lower Sulphur,11140302,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Joiner WWTP,05000544001,Primary,Y,Y,No Change,N,,,02/02/2012,AR0022152,Individual Permit,Joiner,Mississippi,Lower St. Francis,08020203,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Brinkley WWTP,05000557001,Primary,Y,Y,No Change,N,,,01/27/2012,AR0021890,Individual Permit,Brinkley,Monroe,Cache,08020302,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Prescott WWTP,05000573001,Primary,Y,Y,No Change,N,,,02/09/2012,AR0033481,Individual Permit,Prescott,Nevada,Little Missouri,08040103,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Jasper WWTP,05000580001,Primary,Y,Y,No Change,N,,,02/02/2012,AR0034584,Individual Permit,Jasper,Newton,Buffalo,11010005,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),Trumann WWTP,05000619001,Primary,Y,Y,No Change,N,,,02/13/2012,AR0035602,Individual Permit,Trumann,Poinsett,Lower St. Francis,08020203,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Weiner WWTP,05000622001,Primary,Y,Y,No Change,N,,,02/13/2012,AR0020354,Individual Permit,Weiner,Poinsett,Cache,08020302,1st Congressional District,AR,6,MAP
Aeration (Post-treatment),Mena WWTP,05000626001,Primary,Y,Y,No Change,N,,,02/08/2012,AR0036692,Individual Permit,Mena,Polk,Ouachita Headwaters,08040101,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),London WWTP,05000632001,Primary,N,Y,New,N,,,02/07/2012,,,London,Pope,Dardanelle Reservoir,11110202,3rd Congressional District,AR,6,MAP
Aeration (Post-treatment),Haskell - North WWTP,05000674002,Primary,N,Y,New,N,,,01/31/2012,AR0051713,Individual Permit,Haskell,Saline,Upper Saline,08040203,2nd Congressional District,AR,6,MAP
Aeration (Post-treatment),Greenwood WWTP,05000693001,Primary,Y,Y,No Change,N,,,01/31/2012,AR0022454,Individual Permit,Greenwood,Sebastian,Frog-Mulberry,11110201,3rd Congressional District,AR,6,MAP
Aeration (Post-treatment),De Queen WWTP,05000701001,Primary,Y,Y,No Change,N,,,01/30/2012,AR0021733,Individual Permit,De Queen,Sevier,Lower Little,11140109,4th Congressional District,AR,6,MAP
Aeration (Post-treatment),INDEPENDENCE WWTP,20001523001,Primary,Y,Y,No Change,N,,,06/24/2001,KS0095486,Individual Permit,"INDEPENDENCE     ,CITYOF",Montgomery,Middle Verdigris,11070103,2nd Congressional District,KS,7,MAP
Aeration (Post-treatment),TORONTO WWTP,20001536001,Primary,N,Y,New,N,,,07/02/2001,KS0021890,Individual Permit,"TORONTO, CITY OF",Woodson,Upper Verdigris,11070101,2nd Congressional District,KS,7,MAP
Aeration (Post-treatment),GARDEN CITY WWTP,20001614001,Primary,Y,Y,No Change,N,,,06/24/2001,KS0038962,Individual Permit,"GARDEN CITY     ,CITYOF",Finney,Middle Arkansas-Lake McKinney,11030001,1st Congressional District,KS,7,MAP
Aeration (Post-treatment),O'FALLON STP,29001193006,Primary,Y,Y,No Change,N,,,03/18/2009,MO0028720,Individual Permit,"O'FALLON, CITY OF",St. Charles,Peruque-Piasa,07110009,8th Congressional District,MO,7,MAP
Aeration (Post-treatment),WICHITA WWTP #3,20000193002,Primary,Y,Y,No Change,N,,,01/25/2009,KS0095681,Individual Permit,City of Wichita,Sedgwick,Middle Arkansas-Slate,11030013,4th Congressional District,KS,7,MAP
Aeration (Post-treatment),EUDORA WWTP,20000418001,Primary,Y,Y,No Change,N,,,06/23/2001,KS0094609,Individual Permit,"EUDORA, CITY OF",Douglas,Lower Kansas,10270104,2nd Congressional District,KS,7,MAP
Aeration (Post-treatment),OLATHE CEDAR CREEK WWTP,20000449006,Primary,Y,Y,No Change,N,,,07/03/2001,KS0081299,Individual Permit,"OLATHE, CITY OF",Johnson,Lower Kansas,10270104,3rd Congressional District,KS,7,MAP
Aeration (Post-treatment),MCPHERSON WWTP,20000511001,Primary,Y,Y,No Change,N,,,06/28/2001,KS0036196,Individual Permit,"MCPHERSON      ,CITYOF",McPherson,Little Arkansas,11030012,1st Congressional District,KS,7,MAP
Aeration (Post-treatment),NEWTON WWTP,20000513001,Primary,Y,Y,No Change,N,,,06/30/2001,KS0038971,Individual Permit,"NEWTON      ,CITYOF",Harvey,Little Arkansas,11030012,4th Congressional District,KS,7,MAP
Aeration (Post-treatment),GENESEO WWTP,20000530001,Primary,N,Y,New,N,,,06/24/2001,KS0098175,Individual Permit,"GENESEO, CITY OF",Rice,Little Arkansas,11030012,1st Congressional District,KS,7,MAP
Aeration (Post-treatment),GARNETT WWTP (South Site),20000716001,Primary,N,Y,New,N,,,07/08/2001,KS0096377,Individual Permit,"GARNETT, CITY OF",Anderson,Upper Marais Des Cygnes,10290101,2nd Congressional District,KS,7,MAP
Aeration (Post-treatment),JO CO NELSON COMPLEX WWTP,20000830001,Primary,Y,Y,No Change,N,,,07/06/2001,KS0055492,Individual Permit,JOHNSON CO UNIFIED SD,Johnson,Lower Missouri-Crooked,10300101,3rd Congressional District,KS,7,MAP
Aeration (Post-treatment),EMPORIA WWTP,20000925001,Primary,Y,Y,No Change,N,,,06/23/2001,KS0046728,Individual Permit,"EMPORIA      ,CITYOF",Lyon,Lower Cottonwood,11070203,1st Congressional District,KS,7,MAP
Aeration (Post-treatment),FRONTENAC WWTP,20000930001,Primary,Y,Y,No Change,N,,,06/24/2001,KS0026131,Individual Permit,"FRONTENAC, CITY OF",Crawford,Spring,11070207,2nd Congressional District,KS,7,MAP
Aeration (Post-treatment),JUNCTION CITY SW WWTP,20001144001,Primary,Y,Y,No Change,N,,,06/26/2001,KS0092151,Individual Permit,"JUNCTION CITY     ,CITYOF",Geary,Lower Smoky Hill,10260008,1st Congressional District,KS,7,MAP
Aeration (Post-treatment),HOXIE WWTP,20001221001,Primary,N,Y,New,N,,,07/21/2001,KS0030562,Individual Permit,"HOXIE, CITY OF",Sheridan,Upper South Fork Solomon,10260013,1st Congressional District,KS,7,MAP
Aeration (Post-treatment),ELLINWOOD WWTP,20000130001,Primary,Y,Y,No Change,N,,,06/23/2001,KS0090999,Individual Permit,"ELLINWOOD, CITY OF",Barton,Coon-Pickerel,11030004,1st Congressional District,KS,7,MAP
Aeration (Post-treatment),MAIZE WWTP,20000157001,Primary,Y,Y,No Change,N,,,06/28/2001,KS0092258,Individual Permit,"MAIZE      ,CITYOF",Sedgwick,Middle Arkansas-Slate,11030013,4th Congressional District,KS,7,MAP
Aeration (Post-treatment),ADAIR WWT,40000637001,Primary,N,Y,New,N,,,08/14/2001,OK0027197,Individual Permit,"ADAIR, CITY OF",Mayes,Lower Neosho,11070209,2nd Congressional District,OK,6,MAP
Aeration (Post-treatment),ROCK CREEK STP,41000022013,Primary,Y,Y,Rehabilitation,N,,,03/11/2009,OR0029777,Individual Permit,"CLEAN WATER SERVICES, INC",Washington,Tualatin,17090010,1st Congressional District,OR,10,MAP
Aeration (Post-treatment),King County South Treatment Plant,53000776001,Primary,Y,Y,No Change,N,,,11/05/2008,WA0029581,Individual Permit,MUN OF METRO SEATTLE,King,Duwamish,17110013,9th Congressional District,WA,10,MAP
Aeration (Post-treatment),Spokane County Regional WWTP,53001220000,Primary,N,Y,New,N,,,10/05/2004,,,Spokane County,Spokane,Upper Spokane,17010305,5th Congressional District,WA,10,MAP
Aeration (Post-treatment),TWIN FALLS STP,16000004001,Primary,Y,Y,New,N,,"New aeration Basin 5, with anoxic selection.  Modify all existing aeration basins to include anoxic selection.",06/13/2012,ID0021270,Individual Permit,"TWIN FALLS, CITY OF",Twin Falls,Upper Snake-Rock,17040212,2nd Congressional District,ID,10,MAP
Aeration (Post-treatment),"BOISE, CITY OF- LANDER STREET",16000005001,Primary,Y,Y,No Change,N,,,03/20/2009,ID0020443,Individual Permit,"BOISE, CITY OF",Ada,Lower Boise,17050114,2nd Congressional District,ID,10,MAP
Aeration (Post-treatment),"BOISE, CITY OF--WEST BOISE",16000005002,Primary,Y,Y,No Change,N,,,01/03/2005,ID0023981,Individual Permit,"BOISE, CITY OF",Ada,Lower Boise,17050114,1st Congressional District,ID,10,MAP
Aeration (Post-treatment),NAMPA STP,16000008001,Primary,Y,Y,No Change,N,,,09/27/2001,ID0022063,Individual Permit,"NAMPA, CITY OF",Canyon,Lower Boise,17050114,1st Congressional District,ID,10,MAP
Aeration (Post-treatment),Lake Havasu City North Regional WWTP,04001505030,Primary,N,Y,New,N,,,12/13/2004,,,Lake Havasu City,Mohave,Havasu-Mohave Lakes,15030101,4th Congressional District,AZ,9,MAP
