Unit Process,Facility/Project Name,CWNS Number,Treatment Type,Present,Projected,Change Type,Back Up,Planned Year,Additional Notes,Last Updated Date,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
"Activated Sludge, Anaerobic/Anoxic",MISSOULA WWTP,30000047001,Advanced,Y,Y,No Change,N,,,01/15/2009,MT0022594,Individual Permit,CITY OF MISSOULA,Missoula,Middle Clark Fork,17010204,0th Congressional District,MT,8,MAP
"Activated Sludge, Anaerobic/Anoxic",WELLSVILLE,49000021001,Advanced,N,Y,New,N,,,02/16/2009,UT0020371,Individual Permit,WELLSVILLE CITY CORP,Cache,Little Bear-Logan,16010203,1st Congressional District,UT,8,MAP
"Activated Sludge, Anaerobic/Anoxic",SALT LAKE CITY,49000055001,Advanced,N,Y,New,N,,,11/09/2012,UT0021725,Individual Permit,SALT LAKE CITY,Salt Lake,Jordan,16020204,2nd Congressional District,UT,8,MAP
"Activated Sludge, Anaerobic/Anoxic",DUCK CREEK,49000309001,Advanced,N,Y,New,N,,,02/04/2009,,,Kane County Water Conservancy District,Kane,Upper Virgin,15010008,2nd Congressional District,UT,8,MAP
"Activated Sludge, Anaerobic/Anoxic",TWIN FALLS STP,16000004001,Advanced,N,Y,New,N,,,03/20/2009,ID0021270,Individual Permit,"TWIN FALLS, CITY OF",Twin Falls,Upper Snake-Rock,17040212,2nd Congressional District,ID,10,MAP
"Activated Sludge, Anaerobic/Anoxic",COEUR D ALENE S/T PLANT,16000006001,Advanced,N,Y,New,N,,,03/14/2009,ID0022853,Individual Permit,"COEUR D ALENE, CITY OF",Kootenai,Upper Spokane,17010305,1st Congressional District,ID,10,MAP
"Activated Sludge, Anaerobic/Anoxic",EAGLE SEWAGE LAGOONS,16000014001,Advanced,N,Y,New,N,,,10/22/2012,,,EAGLE WATER & SEWER DISTRICT,Ada,Lower Boise,17050114,1st Congressional District,ID,10,MAP
"Activated Sludge, Anaerobic/Anoxic",Phoenix 23rd Ave WWTP,04001316001,Advanced,Y,Y,Increase Capacity,N,,,01/15/2009,AZ0020559,Individual Permit,"Phoenix, City of",Maricopa,Middle Gila,15050100,7th Congressional District,AZ,9,MAP
"Activated Sludge, Anaerobic/Anoxic",PCRWRD Ina Road WPCF,04001903001,Advanced,Y,Y,Increase Capacity,N,,,04/22/2009,AZ0020001,Individual Permit,Pima County Regional Wastewater Reclamation Dept,Pima,Upper Santa Cruz,15050301,1st Congressional District,AZ,9,MAP
"Activated Sludge, Anaerobic/Anoxic",SOUTH BEND WWTP,18000405001,Advanced,Y,Y,No Change,N,,,03/11/2009,IN0024520,Individual Permit,SOUTH BEND BOARDOF PUBLIC,St. Joseph,Kankakee,07120001,2nd Congressional District,IN,5,MAP
"Activated Sludge, Anaerobic/Anoxic",ROCKFISH CREEK WWTP,37002601002,Advanced,Y,Y,No Change,N,,,12/09/2008,NC0050105,Individual Permit,"FAYETTEVILLE, CITY OF",Cumberland,Upper Cape Fear,03030004,2nd Congressional District,NC,4,MAP
"Activated Sludge, Anaerobic/Anoxic",ROCKY MOUNT WWTP,37003301001,Advanced,Y,Y,No Change,N,,,01/26/2009,NC0030317,Individual Permit,"ROCKY MOUNT, CITY OF",Edgecombe,Upper Tar,03020101,1st Congressional District,NC,4,MAP
"Activated Sludge, Anaerobic/Anoxic",LOWER MUDDY CREEK WWTP,37003401002,Advanced,Y,Y,No Change,N,,,07/10/2008,NC0050342,Individual Permit,CITY/COUNTY UTILITIES COM,Forsyth,Upper Yadkin,03040101,5th Congressional District,NC,4,MAP
"Activated Sludge, Anaerobic/Anoxic",NORTH SIDE WWTP,37005401002,Advanced,Y,Y,No Change,N,,Modified Johannesburg,02/24/2009,NC0024236,Individual Permit,KINSTON DEPT OF PW,Lenoir,Middle Neuse,03020202,1st Congressional District,NC,4,MAP
"Activated Sludge, Anaerobic/Anoxic",IRWIN CREEK WWTP,37006001003,Advanced,Y,Y,No Change,N,,,02/09/2009,NC0024945,Individual Permit,CHARLOTTE-MECKLENBURG UTI,Mecklenburg,Lower Catawba,03050103,12th Congressional District,NC,4,MAP
"Activated Sludge, Anaerobic/Anoxic",SUGAR CREEK WWTP,37006001005,Advanced,Y,Y,No Change,N,,,02/10/2009,NC0024937,Individual Permit,CHARLOTTE-MECKLENBURG UTI,Mecklenburg,Lower Catawba,03050103,9th Congressional District,NC,4,MAP
"Activated Sludge, Anaerobic/Anoxic",MASON FARM WWTP,37006805001,Advanced,Y,Y,No Change,N,,,02/06/2009,NC0025241,Individual Permit,ORANGE WAT AND SEW AUTH,Orange,Haw,03030002,4th Congressional District,NC,4,MAP
"Activated Sludge, Anaerobic/Anoxic",GRANT CREEK WWTP,37008001002,Advanced,Y,Y,No Change,N,,,03/15/2009,NC0023884,Individual Permit,"SALISBURY, CITY OF",Rowan,Lower Yadkin,03040103,5th Congressional District,NC,4,MAP
"Activated Sludge, Anaerobic/Anoxic",GRAND RAPIDS WWTP,26000313001,Advanced,Y,Y,No Change,N,,,12/12/2008,MI0026069,Individual Permit,"GRAND RAPIDS, CITY OF",Kent,Lower Grand,04050006,3rd Congressional District,MI,5,MAP
"Activated Sludge, Anaerobic/Anoxic",NORTH SHORE S.D. - GURNEE STP,17000537002,Advanced,Y,Y,No Change,N,,,02/19/2009,IL0035092,Individual Permit,NORTH SHORE SD,Lake,Des Plaines,07120004,14th Congressional District,IL,5,MAP
"Activated Sludge, Anaerobic/Anoxic",BLUE LAKE TREATMENT PLANT,27000001002,Advanced,Y,Y,No Change,N,,,01/09/2009,MN0029882,Individual Permit,Metropolitan Council Environmental Services,Scott,Lower Minnesota,07020012,2nd Congressional District,MN,5,MAP
"Activated Sludge, Anaerobic/Anoxic",SENECA TREATMENT PLANT,27000001003,Advanced,Y,Y,No Change,N,,,01/12/2009,MN0030007,Individual Permit,Metropolitan Council Environmental Services (MCES),Dakota,Twin Cities,07010206,2nd Congressional District,MN,5,MAP
"Activated Sludge, Anaerobic/Anoxic",ST CLOUD WWTF,27000045001,Advanced,N,Y,New,N,2010,,01/15/2009,MN0040878,Individual Permit,ST CLOUD CITY OF,Stearns,Mississippi Headwaters,07010101,6th Congressional District,MN,5,MAP
"Activated Sludge, Anaerobic/Anoxic",Holiday Island SID WWTP,05000054001,Advanced,Y,Y,Process Improvement,N,,,02/01/2012,AR0037249,Individual Permit,Holiday Island SID,Carroll,Beaver Reservoir,11010001,3rd Congressional District,AR,6,MAP
"Activated Sludge, Anaerobic/Anoxic",Berryville WWTP,05000121001,Advanced,Y,Y,No Change,N,,,01/26/2012,AR0021792,Individual Permit,Berryville,Carroll,Beaver Reservoir,11010001,3rd Congressional District,AR,6,MAP
"Activated Sludge, Anaerobic/Anoxic",Green Forest WWTP,05000124001,Advanced,Y,N,Abandonment,N,,,01/31/2012,AR0021741,Individual Permit,Green Forest,Carroll,Beaver Reservoir,11010001,3rd Congressional District,AR,6,MAP
"Activated Sludge, Anaerobic/Anoxic",Huntsville WWTP,05000322001,Advanced,Y,Y,Rehabilitation,N,,,02/02/2012,AR0022004,Individual Permit,Huntsville,Madison,Beaver Reservoir,11010001,4th Congressional District,AR,6,MAP
"Activated Sludge, Anaerobic/Anoxic",Lincoln WWTP,05000742001,Advanced,Y,Y,No Change,N,,,02/07/2012,AR0035246,Individual Permit,Lincoln,Washington,Illinois,11110103,3rd Congressional District,AR,6,MAP
"Activated Sludge, Anaerobic/Anoxic",Plant #2 - Harlingen,48001104003,Advanced,Y,Y,No Change,N,,,02/26/2009,TX0047929,Individual Permit,HARLINGEN,Cameron,Central Laguna Madre,12110207,34th Congressional District,TX,6,MAP
"Activated Sludge, Anaerobic/Anoxic",Elsa WWTP,48001115001,Advanced,Y,Y,No Change,N,,,03/10/2009,TX0104990,Individual Permit,ELSA,Hidalgo,South Laguna Madre,12110208,15th Congressional District,TX,6,MAP
"Activated Sludge, Anaerobic/Anoxic",Zacate Creek WWTP,48001125001,Advanced,Y,Y,Process Improvement,N,,,01/20/2009,TX0025461,Individual Permit,LAREDO,Webb,International Falcon Reservoir,13080003,28th Congressional District,TX,6,MAP
"Activated Sludge, Anaerobic/Anoxic",Main WWTP #1,48007027001,Advanced,Y,Y,"Increase Capacity, Process Improvement",N,,,02/10/2009,TX0047309,Individual Permit,GALVESTON,Galveston,West Galveston Bay,12040204,14th Congressional District,TX,6,MAP
"Activated Sludge, Anaerobic/Anoxic",Big Spring WWTP,48002015001,Advanced,Y,Y,No Change,N,,,11/07/2012,TX0047023,Individual Permit,BIG SPRING,Howard,Mustang Draw,12080004,19th Congressional District,TX,6,MAP
