facility_name,pdf_file,completion_token,prompt_toke,total_token,reasoning_token
Healdsburg City WWTP,22_0017_Healdsburg_WWTF_NPDES.pdf,6234,9150,15384,4844
Ukiah City WWTP,24_0016_Ukiah_NPDES_07.18.2024_signed.pdf,6165,6050,12215,4234
City of Morro Bay Water Reclamation Facility,7-18-22_MorroBay_finalorder.pdf,5977,4514,10491,4364
Dunsmuir WWTP,r5-2024-0009_npdes.pdf,3970,4763,8733,2660
Wastewater Recovery Center,r5-2025-0027_npdes.pdf,6845,6224,13069,4938
