facility_name,pdf_file,completion_token,prompt_toke,total_token,reasoning_token
Healdsburg City WWTP,22_0017_Healdsburg_WWTF_NPDES.pdf,7348,8701,16049,6016
Ukiah City WWTP,24_0016_Ukiah_NPDES_07.18.2024_signed.pdf,6428,5955,12383,4800
City of Morro Bay Water Reclamation Facility,7-18-22_MorroBay_finalorder.pdf,8164,4471,12635,6784
Dunsmuir WWTP,r5-2024-0009_npdes.pdf,5033,4655,9688,3968
Wastewater Recovery Center,r5-2025-0027_npdes.pdf,9274,6108,15382,7488
