facility_name,txt_file,extraction_file,completion_token,prompt_token,total_token,reasoning_token,cost_usd
Healdsburg City WWTP,22_0017_Healdsburg_WWTF_NPDES.txt,22_0017_Healdsburg_WWTF_NPDES_229922.json,4255,3527,7782,3660,
Ukiah City WWTP,24_0016_Ukiah_NPDES_07.18.2024_signed.txt,24_0016_Ukiah_NPDES_07.18.2024_signed_268960.json,7316,3643,10959,5819,
City of Morro Bay Water Reclamation Facility,7-18-22_MorroBay_finalorder.txt,7-18-22_MorroBay_finalorder_241479.json,5359,3674,9033,4539,
Dunsmuir WWTP,r5-2024-0009_npdes.txt,r5-2024-0009_npdes_220850.json,5636,3782,9418,4393,
Wastewater Recovery Center,r5-2025-0027_npdes.txt,r5-2025-0027_npdes_258739.json,6658,4591,11249,5048,
