run,n_facilities,Macro Unit Process F1,Unit Process Accuracy (%),Macro Category F1,State Accuracy
main,591.0,0.6679,61.17744200244199,0.6961,0.6196
run_1,39.0,0.6623,60.752378452301045,0.6791,0.6139
run_2,40.0,0.6874,62.6152698179014,0.7096,0.6281
mean,,0.6726,,0.6949,0.6206
std,,0.0132,,0.0153,0.0071
variance,,0.0002,,0.0002,0.0001
