CWNS_NUM,LAGOON_CODE,LAGOON_NAME
1000011001,LAGOON,"Lagoon, Other"
1000023001,LAGOON,"Lagoon, Other"
1000023002,LAGOON,"Lagoon, Other"
1000023390,LAGOON,"Lagoon, Other"
1000028001,LAGOON_AER,"Lagoon, Aerated"
1000034001,LAGOON,"Lagoon, Other"
1000037001,LAGOON,"Lagoon, Other"
1000038001,LAGOON,"Lagoon, Other"
1000051001,LAGOON,"Lagoon, Other"
1000060001,LAGOON,"Lagoon, Other"
1000064001,LAGOON,"Lagoon, Other"
1000071001,LAGOON,"Lagoon, Other"
1000073001,LAGOON,"Lagoon, Other"
1000075001,LAGOON,"Lagoon, Other"
1000086001,LAGOON,"Lagoon, Other"
1000101001,LAGOON_AER,"Lagoon, Aerated"
1000115001,LAGOON,"Lagoon, Other"
1000124001,LAGOON,"Lagoon, Other"
1000128003,LAGOON,"Lagoon, Other"
1000131002,LAGOON,"Lagoon, Other"
1000141001,LAGOON,"Lagoon, Other"
1000161001,LAGOON,"Lagoon, Other"
1000162001,LAGOON,"Lagoon, Other"
1000169001,LAGOON,"Lagoon, Other"
1000186001,LAGOON,"Lagoon, Other"
1000192001,LAGOON_AER,"Lagoon, Aerated"
1000209001,LAGOON,"Lagoon, Other"
1000221001,LAGOON,"Lagoon, Other"
1000231001,LAGOON,"Lagoon, Other"
1000234001,LAGOON,"Lagoon, Other"
1000244001,LAGOON,"Lagoon, Other"
1000247001,LAGOON,"Lagoon, Other"
1000248001,LAGOON,"Lagoon, Other"
1000250001,LAGOON,"Lagoon, Other"
1000256001,LAGOON,"Lagoon, Other"
1000308001,LAGOON,"Lagoon, Other"
1000316001,LAGOON,"Lagoon, Other"
1000318001,LAGOON,"Lagoon, Other"
1000331001,LAGOON,"Lagoon, Other"
1000347001,LAGOON_AER,"Lagoon, Aerated"
1000348001,LAGOON,"Lagoon, Other"
1000349002,LAGOON,"Lagoon, Other"
1000355001,LAGOON,"Lagoon, Other"
1000358001,LAGOON,"Lagoon, Other"
1000367001,LAGOON,"Lagoon, Other"
1000369001,LAGOON,"Lagoon, Other"
1000374001,LAGOON,"Lagoon, Other"
1000401001,LAGOON,"Lagoon, Other"
1000406001,LAGOON_AER,"Lagoon, Aerated"
1000414001,LAGOON,"Lagoon, Other"
1000534001,LAGOON,"Lagoon, Other"
1000797001,LAGOON,"Lagoon, Other"
13000078003,LAGOON,"Lagoon, Other"
13000080001,LAGOON,"Lagoon, Other"
13000083001,LAGOON,"Lagoon, Other"
13000093001,LAGOON,"Lagoon, Other"
13000111001,LAGOON,"Lagoon, Other"
13000119001,LAGOON,"Lagoon, Other"
13000128001,LAGOON,"Lagoon, Other"
13000141001,LAGOON,"Lagoon, Other"
13000160001,LAGOON,"Lagoon, Other"
13000163001,LAGOON,"Lagoon, Other"
13000163002,LAGOON,"Lagoon, Other"
13000165001,LAGOON,"Lagoon, Other"
13000167001,LAGOON,"Lagoon, Other"
13000503001,LAGOON,"Lagoon, Other"
13000506001,LAGOON,"Lagoon, Other"
13000514001,LAGOON,"Lagoon, Other"
13000537001,LAGOON,"Lagoon, Other"
13000546001,LAGOON,"Lagoon, Other"
13000554001,LAGOON,"Lagoon, Other"
13000572001,LAGOON,"Lagoon, Other"
13000574001,LAGOON,"Lagoon, Other"
13000574002,LAGOON,"Lagoon, Other"
13000598001,LAGOON,"Lagoon, Other"
13000602001,LAGOON,"Lagoon, Other"
13000608001,LAGOON,"Lagoon, Other"
13000610001,LAGOON,"Lagoon, Other"
13000613001,LAGOON,"Lagoon, Other"
13000622001,LAGOON,"Lagoon, Other"
13000632001,LAGOON,"Lagoon, Other"
13000635001,LAGOON,"Lagoon, Other"
