"CWNS_ID","FACILITY_ID","STATE_CODE","FLOW_TYPE","CURRENT_DESIGN_FLOW","FUTURE_DESIGN_FLOW"
"53001660001",1180986,WA,Municipal Flow,,
"53001660001",1180986,WA,Industrial Flow,,
"53001660001",1180986,WA,Infiltration Flow,,
"53001660001",1180986,WA,Wet Weather Peak,,
"53001660001",1180986,WA,Total Flow,0.195,0.195
"48001004001",1182873,TX,Municipal Flow,0.08,0.08
"48001004001",1182873,TX,Industrial Flow,,
"48001004001",1182873,TX,Infiltration Flow,,
"48001004001",1182873,TX,Wet Weather Peak,,
"48001004001",1182873,TX,Total Flow,0.08,0.08
"48001117001",1182918,TX,Municipal Flow,0.35,1.2
"48001117001",1182918,TX,Industrial Flow,,
"48001117001",1182918,TX,Infiltration Flow,,
"48001117001",1182918,TX,Wet Weather Peak,,
"48001117001",1182918,TX,Total Flow,0.35,1.2
"48001146001",1182949,TX,Municipal Flow,1.5,1.5
"48001146001",1182949,TX,Industrial Flow,0.01,0.01
"48001146001",1182949,TX,Infiltration Flow,,
"48001146001",1182949,TX,Wet Weather Peak,,
"48001146001",1182949,TX,Total Flow,1.51,1.51
"48002010001",1183113,TX,Municipal Flow,0.38,0.38
"48002010001",1183113,TX,Industrial Flow,,
"48002010001",1183113,TX,Infiltration Flow,,
"48002010001",1183113,TX,Wet Weather Peak,,
"48002010001",1183113,TX,Total Flow,0.38,0.38
"48002058001",1183140,TX,Municipal Flow,0.7,0.7
"48002058001",1183140,TX,Industrial Flow,,
"48002058001",1183140,TX,Infiltration Flow,,
"48002058001",1183140,TX,Wet Weather Peak,,
"48002058001",1183140,TX,Total Flow,0.7,0.7
"48002061001",1183142,TX,Municipal Flow,0.152,0.152
"48002061001",1183142,TX,Industrial Flow,,
"48002061001",1183142,TX,Infiltration Flow,,
"48002061001",1183142,TX,Wet Weather Peak,,
"48002061001",1183142,TX,Total Flow,0.152,0.152
"48002141001",1183164,TX,Municipal Flow,0.2,0.2
"48002141001",1183164,TX,Industrial Flow,,
"48002141001",1183164,TX,Infiltration Flow,,
"48008029001",1184375,TX,Industrial Flow,0.87,0.87
"48008029001",1184375,TX,Infiltration Flow,,
"48008029001",1184375,TX,Wet Weather Peak,,
"48009516001",1184517,TX,Municipal Flow,2.5,5
"48009516001",1184517,TX,Industrial Flow,,
"48009516001",1184517,TX,Infiltration Flow,,
"48009516001",1184517,TX,Wet Weather Peak,,
"48009516001",1184517,TX,Total Flow,2.5,5
"51000009001",1192591,VA,Municipal Flow,,
"51000009001",1192591,VA,Industrial Flow,,
"51000009001",1192591,VA,Infiltration Flow,,
"51000009001",1192591,VA,Wet Weather Peak,,
"51000009001",1192591,VA,Total Flow,1,1
"51000130001",1192710,VA,Municipal Flow,2.6,2.6
"51000130001",1192710,VA,Industrial Flow,0.4,0.4
"51000130001",1192710,VA,Infiltration Flow,,
"51000130001",1192710,VA,Wet Weather Peak,,
"51000130001",1192710,VA,Total Flow,3,3
"36003133002",1220577,NY,Industrial Flow,,
"36003133002",1220577,NY,Infiltration Flow,,
"36003133002",1220577,NY,Wet Weather Peak,,
"36003133002",1220577,NY,Total Flow,0.055,0.055
"36005029001",1220843,NY,Municipal Flow,2.62,2.62
"36005029001",1220843,NY,Industrial Flow,,
"36005029001",1220843,NY,Infiltration Flow,,
"36005029001",1220843,NY,Wet Weather Peak,,
"36005029001",1220843,NY,Total Flow,2.62,2.62
"36008048005",1221248,NY,Municipal Flow,0.043,0.043
"36008048005",1221248,NY,Industrial Flow,,
"36008048005",1221248,NY,Infiltration Flow,,
"36008048005",1221248,NY,Wet Weather Peak,,
"36008048005",1221248,NY,Total Flow,0.043,0.043
"36008061002",1221261,NY,Municipal Flow,0.4,0.4
"36008061002",1221261,NY,Industrial Flow,,
"36008061002",1221261,NY,Infiltration Flow,0.1,0.1
"36008061002",1221261,NY,Wet Weather Peak,,
"36008061002",1221261,NY,Total Flow,0.5,0.5
"36008160001",1221306,NY,Municipal Flow,0.061,0.061
"36008160001",1221306,NY,Industrial Flow,,
"36008160001",1221306,NY,Infiltration Flow,,
"36008160001",1221306,NY,Wet Weather Peak,,
"36008160001",1221306,NY,Total Flow,0.061,0.061
"36009031001",1221355,NY,Municipal Flow,,
"36009031001",1221355,NY,Industrial Flow,,
"36009031001",1221355,NY,Infiltration Flow,,
"36009031001",1221355,NY,Wet Weather Peak,,
"36009031001",1221355,NY,Total Flow,7,7
"48001114001",1227764,TX,Municipal Flow,5.9,11
"48001114001",1227764,TX,Industrial Flow,,
"48001114001",1227764,TX,Infiltration Flow,,
"19000511001",1123900,IA,Wet Weather Peak,,
"19000886001",1124226,IA,Municipal Flow,0.43,0.43
"19000886001",1124226,IA,Industrial Flow,,
"19000886001",1124226,IA,Infiltration Flow,,
"19000886001",1124226,IA,Wet Weather Peak,,1.72
"19000886001",1124226,IA,Total Flow,0.43,0.43
"16000078001",1128628,ID,Municipal Flow,0.065,0.065
"16000078001",1128628,ID,Industrial Flow,,
"16000078001",1128628,ID,Infiltration Flow,,
"16000078001",1128628,ID,Wet Weather Peak,,
"16000078001",1128628,ID,Total Flow,0.065,0.065
"16000153001",1128681,ID,Municipal Flow,,
"16000153001",1128681,ID,Industrial Flow,,
"16000153001",1128681,ID,Infiltration Flow,,
"16000153001",1128681,ID,Wet Weather Peak,,
"16000153001",1128681,ID,Total Flow,0.08,0.11
"16000185001",1128709,ID,Municipal Flow,2,3.48
"16000185001",1128709,ID,Industrial Flow,,
"16000185001",1128709,ID,Infiltration Flow,,
"16000185001",1128709,ID,Wet Weather Peak,,
"16000185001",1128709,ID,Total Flow,2,3.48
"16000219001",1128740,ID,Municipal Flow,,
"16000219001",1128740,ID,Industrial Flow,,
"16000219001",1128740,ID,Infiltration Flow,,
"16000219001",1128740,ID,Wet Weather Peak,,
"16000219001",1128740,ID,Total Flow,0.074,0.074
"20000503001",1130327,KS,Municipal Flow,0.168,0.168
"20000503001",1130327,KS,Industrial Flow,,
"20000503001",1130327,KS,Infiltration Flow,,
"20000503001",1130327,KS,Wet Weather Peak,,
"20000503001",1130327,KS,Total Flow,0.168,0.168
"20001315001",1130584,KS,Municipal Flow,0.04,0.02
"20001315001",1130584,KS,Industrial Flow,,
"20001315001",1130584,KS,Infiltration Flow,,
"20001315001",1130584,KS,Wet Weather Peak,,
"20001315001",1130584,KS,Total Flow,0.04,0.02
"20006846001",1130691,KS,Municipal Flow,0.065,0.065
"20006846001",1130691,KS,Industrial Flow,,
"20006846001",1130691,KS,Infiltration Flow,,
"20006846001",1130691,KS,Wet Weather Peak,0.099,0.099
"20006846001",1130691,KS,Total Flow,0.065,0.065
"29001009001",1133239,MO,Municipal Flow,,
"29001009001",1133239,MO,Industrial Flow,,
"29001009001",1133239,MO,Infiltration Flow,,
"29001009001",1133239,MO,Wet Weather Peak,,
"29001009001",1133239,MO,Total Flow,11,11
"29001015001",1133262,MO,Municipal Flow,6.56,6.56
"29001015001",1133262,MO,Industrial Flow,0.54,0.54
"29001015001",1133262,MO,Infiltration Flow,,
"29001015001",1133262,MO,Wet Weather Peak,,
"29001015001",1133262,MO,Total Flow,7.1,7.1
"29001022001",1133274,MO,Municipal Flow,,
"29001022001",1133274,MO,Industrial Flow,,
"29001022001",1133274,MO,Infiltration Flow,,
"29001022001",1133274,MO,Wet Weather Peak,,
"29001022001",1133274,MO,Total Flow,27,27
"29001066001",1133347,MO,Municipal Flow,0.06,0.098
"29001066001",1133347,MO,Industrial Flow,,
"29001066001",1133347,MO,Infiltration Flow,,
"29001066001",1133347,MO,Wet Weather Peak,,
"29001066001",1133347,MO,Total Flow,0.06,0.098
"29001237034",1133600,MO,Municipal Flow,0.006,0
"29001237034",1133600,MO,Industrial Flow,,
"29001237034",1133600,MO,Infiltration Flow,,
"29001237034",1133600,MO,Wet Weather Peak,,
"29001237034",1133600,MO,Total Flow,0.006,0
"29002011001",1133629,MO,Municipal Flow,,
"29002011001",1133629,MO,Industrial Flow,,
"29002011001",1133629,MO,Infiltration Flow,,
"29002011001",1133629,MO,Wet Weather Peak,,
"29002011001",1133629,MO,Total Flow,0.037,0.037
"29002480001",1133862,MO,Municipal Flow,0.044,0.044
"29002480001",1133862,MO,Industrial Flow,,
"29002480001",1133862,MO,Infiltration Flow,,
"29002480001",1133862,MO,Wet Weather Peak,0.086,0.086
"29002480001",1133862,MO,Total Flow,0.044,0.044
"29003715000",1134005,MO,Municipal Flow,,
"29003715000",1134005,MO,Industrial Flow,,
"29003715000",1134005,MO,Infiltration Flow,,
"29003715000",1134005,MO,Wet Weather Peak,,
"29003715000",1134005,MO,Total Flow,0.04,0.04
"29004052001",1134071,MO,Municipal Flow,,
"29004052001",1134071,MO,Industrial Flow,,
"29004052001",1134071,MO,Infiltration Flow,,
"29004052001",1134071,MO,Wet Weather Peak,,
"29004052001",1134071,MO,Total Flow,0.85,0.85
"21000056001",1139524,KY,Municipal Flow,46.5,46.5
"21000056001",1139524,KY,Industrial Flow,0,
"21000056001",1139524,KY,Infiltration Flow,,
"21000056001",1139524,KY,Wet Weather Peak,,
"21000056001",1139524,KY,Total Flow,46.5,46.5
"21000093001",1139558,KY,Municipal Flow,0.5,0.75
"21000093001",1139558,KY,Industrial Flow,,
"21000093001",1139558,KY,Infiltration Flow,,
"21000093001",1139558,KY,Wet Weather Peak,,
"21000093001",1139558,KY,Total Flow,0.5,0.75
"21000203001",1139634,KY,Municipal Flow,0.11,0.28
"21000203001",1139634,KY,Industrial Flow,,
"21000203001",1139634,KY,Infiltration Flow,,
"21000203001",1139634,KY,Wet Weather Peak,,
"21000203001",1139634,KY,Total Flow,0.11,0.28
"23000011001",1142442,ME,Municipal Flow,14.2,14.2
"23000011001",1142442,ME,Industrial Flow,0,0
"23000011001",1142442,ME,Infiltration Flow,,
"23000011001",1142442,ME,Wet Weather Peak,32,32
"23000011001",1142442,ME,Total Flow,14.2,14.2
"23000048001",1142483,ME,Municipal Flow,0.5,1.07
"23000048001",1142483,ME,Industrial Flow,,
"23000048001",1142483,ME,Infiltration Flow,1.5,1.5
"23000048001",1142483,ME,Wet Weather Peak,2.8,2.8
"23000048001",1142483,ME,Total Flow,2,2.57
"23000089001",1142528,ME,Municipal Flow,0.75,0.75
"23000089001",1142528,ME,Industrial Flow,,
"23000089001",1142528,ME,Infiltration Flow,,
"23000089001",1142528,ME,Wet Weather Peak,0.96,0.96
"23000089001",1142528,ME,Total Flow,0.75,0.75
"23000101001",1142540,ME,Municipal Flow,0.19,0.19
"23000101001",1142540,ME,Industrial Flow,,
"23000101001",1142540,ME,Infiltration Flow,,
"23000101001",1142540,ME,Wet Weather Peak,0.529,0.529
"23000101001",1142540,ME,Total Flow,0.19,0.19
"31001461001",1145954,NE,Municipal Flow,0.02,0.03
"31001461001",1145954,NE,Industrial Flow,,
"31001461001",1145954,NE,Infiltration Flow,,
"31001461001",1145954,NE,Wet Weather Peak,,
"31001461001",1145954,NE,Total Flow,0.02,0.03
"31001467001",1145957,NE,Municipal Flow,0.04,0.04
"53000420001",1180796,WA,Municipal Flow,31.3,36.3
"53000420001",1180796,WA,Industrial Flow,,
"53000420001",1180796,WA,Infiltration Flow,,
"53000420001",1180796,WA,Wet Weather Peak,,
"53000420001",1180796,WA,Total Flow,31.3,36.3
"53000776001",1180844,WA,Municipal Flow,122,122
"53000776001",1180844,WA,Industrial Flow,,
"53000776001",1180844,WA,Infiltration Flow,,
"53000776001",1180844,WA,Wet Weather Peak,,
"53000776001",1180844,WA,Total Flow,122,122
"53000795001",1180849,WA,Municipal Flow,0.67,0.67
"53000795001",1180849,WA,Industrial Flow,,
"53000795001",1180849,WA,Infiltration Flow,,
"53000795001",1180849,WA,Wet Weather Peak,,
"53000795001",1180849,WA,Total Flow,0.67,0.67
"53001730001",1180997,WA,Municipal Flow,0.11,0.11
"53001730001",1180997,WA,Industrial Flow,,
"53001730001",1180997,WA,Infiltration Flow,,
"53001730001",1180997,WA,Wet Weather Peak,,
"53001730001",1180997,WA,Total Flow,0.11,0.11
"53002125001",1181036,WA,Municipal Flow,0.54,0.54
"53002125001",1181036,WA,Industrial Flow,,
"53002125001",1181036,WA,Infiltration Flow,,
"53002125001",1181036,WA,Wet Weather Peak,,
"53002125001",1181036,WA,Total Flow,0.54,0.54
"53002445001",1181070,WA,Municipal Flow,0.051,0.051
"53002445001",1181070,WA,Industrial Flow,,
"53002445001",1181070,WA,Infiltration Flow,,
"53002445001",1181070,WA,Wet Weather Peak,,
"53002445001",1181070,WA,Total Flow,0.051,0.051
"48000005001",1182793,TX,Municipal Flow,9.6,9.6
"48000005001",1182793,TX,Industrial Flow,,
"48000005001",1182793,TX,Infiltration Flow,,
"48000005001",1182793,TX,Wet Weather Peak,,
"48000005001",1182793,TX,Total Flow,9.6,9.6
"48000169001",1182850,TX,Municipal Flow,0.045,0.045
"48000169001",1182850,TX,Industrial Flow,,
"48000169001",1182850,TX,Infiltration Flow,,
"48000169001",1182850,TX,Wet Weather Peak,,
"48000169001",1182850,TX,Total Flow,0.045,0.045
"48001008001",1182878,TX,Municipal Flow,3.8,3.8
"48001008001",1182878,TX,Industrial Flow,,
"48001008001",1182878,TX,Infiltration Flow,,
"48001008001",1182878,TX,Wet Weather Peak,,
"48001008001",1182878,TX,Total Flow,3.8,3.8
"48003066001",1183222,TX,Municipal Flow,0.25,0.25
"48003066001",1183222,TX,Industrial Flow,,
"48003066001",1183222,TX,Infiltration Flow,,
"48003066001",1183222,TX,Wet Weather Peak,,
"48003066001",1183222,TX,Total Flow,0.25,0.25
"48003114001",1183259,TX,Municipal Flow,0.08,0.08
"48003114001",1183259,TX,Industrial Flow,,
"48003114001",1183259,TX,Infiltration Flow,,
"48003114001",1183259,TX,Wet Weather Peak,,
"48003114001",1183259,TX,Total Flow,0.08,0.08
"48004089001",1183398,TX,Municipal Flow,0.63,0.63
"48004089001",1183398,TX,Industrial Flow,,
"48004089001",1183398,TX,Infiltration Flow,,
"48004089001",1183398,TX,Wet Weather Peak,,
"48004089001",1183398,TX,Total Flow,0.63,0.63
"48004150001",1183457,TX,Municipal Flow,0.066,0.066
"48004150001",1183457,TX,Industrial Flow,,
"48004150001",1183457,TX,Infiltration Flow,,
"48004150001",1183457,TX,Wet Weather Peak,,
"48004150001",1183457,TX,Total Flow,0.066,0.066
"48004354010",1183525,TX,Municipal Flow,1.2,1.2
"48004354010",1183525,TX,Industrial Flow,,
"48004354010",1183525,TX,Infiltration Flow,,
"48004354010",1183525,TX,Wet Weather Peak,,
"48004354010",1183525,TX,Total Flow,1.2,1.2
"48005243001",1183665,TX,Municipal Flow,0.06,0.06
"48005243001",1183665,TX,Industrial Flow,,
"48005243001",1183665,TX,Infiltration Flow,,
"48005243001",1183665,TX,Wet Weather Peak,,
"48005243001",1183665,TX,Total Flow,0.06,0.06
"48006043002",1183706,TX,Municipal Flow,3.3,6
"48006043002",1183706,TX,Industrial Flow,,
"48006043002",1183706,TX,Infiltration Flow,,
"48006043002",1183706,TX,Wet Weather Peak,,
"48006043002",1183706,TX,Total Flow,3.3,6
"48007524001",1184121,TX,Municipal Flow,1.3,1.3
"48007524001",1184121,TX,Industrial Flow,,
"48007524001",1184121,TX,Infiltration Flow,,
"48007524001",1184121,TX,Wet Weather Peak,,
"48007524001",1184121,TX,Total Flow,1.3,1.3
"48007651002",1184195,TX,Municipal Flow,0.042,0.042
"48007651002",1184195,TX,Industrial Flow,,
"48007651002",1184195,TX,Infiltration Flow,,
"48007651002",1184195,TX,Wet Weather Peak,,
"48007651002",1184195,TX,Total Flow,0.042,0.042
"48007792001",1184273,TX,Municipal Flow,0.25,0.25
"48007792001",1184273,TX,Industrial Flow,,
"48007792001",1184273,TX,Infiltration Flow,,
"48007792001",1184273,TX,Wet Weather Peak,,
"55000380001",1206069,WI,Municipal Flow,,
"55000380001",1206069,WI,Industrial Flow,,
"55000380001",1206069,WI,Infiltration Flow,,
"55000380001",1206069,WI,Wet Weather Peak,,
"55000380001",1206069,WI,Total Flow,5.6,5.6
"55000708001",1206102,WI,Municipal Flow,,
"55000708001",1206102,WI,Industrial Flow,,
"55000708001",1206102,WI,Infiltration Flow,,
"55000708001",1206102,WI,Wet Weather Peak,50.1,50.1
"55000708001",1206102,WI,Total Flow,12.5,12.5
"55001930001",1206267,WI,Municipal Flow,0.013,0.013
"55001930001",1206267,WI,Industrial Flow,,
"55001930001",1206267,WI,Infiltration Flow,,
"55001930001",1206267,WI,Wet Weather Peak,,
"55001930001",1206267,WI,Total Flow,0.013,0.013
"55004920001",1206676,WI,Municipal Flow,0.089,0.089
"55004920001",1206676,WI,Industrial Flow,,
"55004920001",1206676,WI,Infiltration Flow,,
"55004920001",1206676,WI,Wet Weather Peak,,
"55004920001",1206676,WI,Total Flow,0.089,0.089
"55009631001",1206901,WI,Municipal Flow,,
"55009631001",1206901,WI,Industrial Flow,,
"55009631001",1206901,WI,Infiltration Flow,,
"55009631001",1206901,WI,Wet Weather Peak,,
"55009631001",1206901,WI,Total Flow,0.3,0.3
"55009669001",1206917,WI,Municipal Flow,0.018,0.018
"55009669001",1206917,WI,Industrial Flow,,
"55009669001",1206917,WI,Infiltration Flow,,
"55009669001",1206917,WI,Wet Weather Peak,,
"55009669001",1206917,WI,Total Flow,0.018,0.018
"24000090016",1214410,MD,Municipal Flow,0.06,0.06
"24000090016",1214410,MD,Industrial Flow,,
"24000090016",1214410,MD,Infiltration Flow,,
"24000090016",1214410,MD,Wet Weather Peak,,
"24000090016",1214410,MD,Total Flow,0.06,0.06
"36001010006",1220251,NY,Municipal Flow,72,72
"36001010006",1220251,NY,Industrial Flow,,
"36001010006",1220251,NY,Infiltration Flow,,
"36001010006",1220251,NY,Wet Weather Peak,,
"36001010006",1220251,NY,Total Flow,72,72
"36001013001",1220260,NY,Municipal Flow,3.7,3.7
"36001013001",1220260,NY,Industrial Flow,0.3,0.3
"36001013001",1220260,NY,Infiltration Flow,,
"36001013001",1220260,NY,Wet Weather Peak,,
"36001013001",1220260,NY,Total Flow,4,4
"36006026001",1220956,NY,Municipal Flow,,
"36006026001",1220956,NY,Industrial Flow,,
"36006026001",1220956,NY,Infiltration Flow,,
"36006026001",1220956,NY,Wet Weather Peak,,
"36006026001",1220956,NY,Total Flow,0.5,0.5
"36006060001",1220978,NY,Municipal Flow,1.7,1.7
"36006060001",1220978,NY,Industrial Flow,,
"36006060001",1220978,NY,Infiltration Flow,0.3,0.3
"36006060001",1220978,NY,Wet Weather Peak,,
"36006060001",1220978,NY,Total Flow,2,2
"36007075001",1221090,NY,Municipal Flow,2.1,2.1
"36007075001",1221090,NY,Industrial Flow,0.2,0.2
"36007075001",1221090,NY,Infiltration Flow,0.2,0.2
"36007075001",1221090,NY,Wet Weather Peak,,
"36007075001",1221090,NY,Total Flow,2.5,2.5
"36009090001",1221437,NY,Municipal Flow,3.5,3.5
"36009090001",1221437,NY,Industrial Flow,,
"36009090001",1221437,NY,Infiltration Flow,,
"36009090001",1221437,NY,Wet Weather Peak,,
"36009090001",1221437,NY,Total Flow,3.5,3.5
"48008023001",1227937,TX,Municipal Flow,0.2,0.2
"48008023001",1227937,TX,Industrial Flow,,
"48008023001",1227937,TX,Infiltration Flow,,
"48008023001",1227937,TX,Wet Weather Peak,,
"48008023001",1227937,TX,Total Flow,0.2,0.2
"48008036001",1227938,TX,Municipal Flow,0.26,0.285
"48008036001",1227938,TX,Industrial Flow,,
"48008036001",1227938,TX,Infiltration Flow,,
"48008036001",1227938,TX,Wet Weather Peak,,
"48008036001",1227938,TX,Total Flow,0.26,0.285
"55002070001",1229182,WI,Municipal Flow,3,3
"55002070001",1229182,WI,Industrial Flow,0.6,0.6
"55002070001",1229182,WI,Infiltration Flow,,
"55002070001",1229182,WI,Wet Weather Peak,,
"55002070001",1229182,WI,Total Flow,3.6,3.6
"55002220001",1229184,WI,Municipal Flow,,
"55002220001",1229184,WI,Industrial Flow,,
"55002220001",1229184,WI,Infiltration Flow,,
"55002220001",1229184,WI,Wet Weather Peak,,
"55002220001",1229184,WI,Total Flow,2.2,2.2
"31000907001",1230201,NE,Municipal Flow,0.008,0.006
"31000907001",1230201,NE,Industrial Flow,,
"31000907001",1230201,NE,Infiltration Flow,,
"31000907001",1230201,NE,Wet Weather Peak,,
"31000907001",1230201,NE,Total Flow,0.008,0.006
"31001610001",1230233,NE,Municipal Flow,0.23,0.23
"31001610001",1230233,NE,Industrial Flow,,
"31001610001",1230233,NE,Infiltration Flow,,
"31001610001",1230233,NE,Wet Weather Peak,,
"31001610001",1230233,NE,Total Flow,0.23,0.23
"27000138001",1231493,MN,Municipal Flow,0.35,0.35
"27000138001",1231493,MN,Industrial Flow,,
"27000138001",1231493,MN,Infiltration Flow,,
"27000138001",1231493,MN,Wet Weather Peak,,
"27000138001",1231493,MN,Total Flow,0.35,0.35
"27000352001",1231508,MN,Municipal Flow,2.36,2.36
