"CWNS_ID","FACILITY_ID","STATE_CODE","FLOW_TYPE","CURRENT_DESIGN_FLOW","FUTURE_DESIGN_FLOW"
"30000044001",1159112,MT,Municipal Flow,0.033,0.031
"30000044001",1159112,MT,Industrial Flow,,
"30000044001",1159112,MT,Infiltration Flow,,
"30000044001",1159112,MT,Wet Weather Peak,,
"30000044001",1159112,MT,Total Flow,0.033,0.031
"30000180001",1159221,MT,Municipal Flow,0.5,0.5
"30000180001",1159221,MT,Industrial Flow,,
"30000180001",1159221,MT,Infiltration Flow,,
"30000180001",1159221,MT,Wet Weather Peak,,
"30000180001",1159221,MT,Total Flow,0.5,0.5
"28001370001",1160522,MS,Municipal Flow,0.07,0.07
"28001370001",1160522,MS,Industrial Flow,,
"28001370001",1160522,MS,Infiltration Flow,,
"28001370001",1160522,MS,Wet Weather Peak,,
"28001370001",1160522,MS,Total Flow,0.07,0.07
"41000189001",1164420,OR,Municipal Flow,0.03,0.03
"41000189001",1164420,OR,Industrial Flow,,
"41000189001",1164420,OR,Infiltration Flow,,
"41000189001",1164420,OR,Wet Weather Peak,,
"41000189001",1164420,OR,Total Flow,0.03,0.03
"41000235001",1164450,OR,Municipal Flow,0.07,0.073
"41000235001",1164450,OR,Industrial Flow,,
"41000235001",1164450,OR,Infiltration Flow,,
"41000235001",1164450,OR,Wet Weather Peak,,
"41000235001",1164450,OR,Total Flow,0.07,0.073
"41000244001",1164458,OR,Municipal Flow,0.25,0.25
"41000244001",1164458,OR,Industrial Flow,,
"41000244001",1164458,OR,Infiltration Flow,,
"41000244001",1164458,OR,Wet Weather Peak,,
"41000244001",1164458,OR,Total Flow,0.25,0.25
"47000010001",1165962,TN,Municipal Flow,0.299,0.299
"47000010001",1165962,TN,Industrial Flow,,
"47000010001",1165962,TN,Infiltration Flow,,
"47000010001",1165962,TN,Wet Weather Peak,,
"47000010001",1165962,TN,Total Flow,0.299,0.299
"47000325001",1166025,TN,Municipal Flow,3.27,3.27
"47000325001",1166025,TN,Industrial Flow,0.23,0.23
"47000325001",1166025,TN,Infiltration Flow,,
"47000325001",1166025,TN,Wet Weather Peak,,
"47000325001",1166025,TN,Total Flow,3.5,3.5
"47000555001",1166059,TN,Municipal Flow,3,3
"47000555001",1166059,TN,Industrial Flow,,
"47000555001",1166059,TN,Infiltration Flow,,
"47000555001",1166059,TN,Wet Weather Peak,,
"47000555001",1166059,TN,Total Flow,3,3
"47001360001",1166204,TN,Municipal Flow,1.22,1.22
"47001360001",1166204,TN,Industrial Flow,0.28,0.28
"47001360001",1166204,TN,Infiltration Flow,,
"47001360001",1166204,TN,Wet Weather Peak,1.46,1.46
"47001360001",1166204,TN,Total Flow,1.5,1.5
"47002034001",1166253,TN,Municipal Flow,0.624,0.624
"47002034001",1166253,TN,Industrial Flow,0.026,0.026
"47002034001",1166253,TN,Infiltration Flow,,
"47002034001",1166253,TN,Wet Weather Peak,,
"47002034001",1166253,TN,Total Flow,0.65,0.65
"22000210001",1168183,LA,Municipal Flow,0.175,0.175
"22000210001",1168183,LA,Industrial Flow,,
"22000210001",1168183,LA,Infiltration Flow,,
"22000210001",1168183,LA,Wet Weather Peak,,
"22000210001",1168183,LA,Total Flow,0.175,0.175
"22001230001",1168267,LA,Municipal Flow,0.75,0.75
"22001230001",1168267,LA,Industrial Flow,,
"22001230001",1168267,LA,Infiltration Flow,,
"22001230001",1168267,LA,Wet Weather Peak,,
"22001230001",1168267,LA,Total Flow,0.75,0.75
"22001430001",1168280,LA,Municipal Flow,3,3
"22001430001",1168280,LA,Industrial Flow,,
"22001430001",1168280,LA,Infiltration Flow,,
"22003072002",1168337,LA,Municipal Flow,0.8,0.8
"22003072002",1168337,LA,Industrial Flow,,
"22003072002",1168337,LA,Infiltration Flow,,
"22003072002",1168337,LA,Wet Weather Peak,,
"22003072002",1168337,LA,Total Flow,0.8,0.8
"22003157001",1168417,LA,Municipal Flow,0.35,0.35
"22003157001",1168417,LA,Industrial Flow,,
"22003157001",1168417,LA,Infiltration Flow,,
"22003157001",1168417,LA,Wet Weather Peak,,
"22003157001",1168417,LA,Total Flow,0.35,0.35
"22003221001",1168456,LA,Municipal Flow,2.5,2.5
"22003221001",1168456,LA,Industrial Flow,,
"22003221001",1168456,LA,Infiltration Flow,,
"22003221001",1168456,LA,Wet Weather Peak,,
"22003221001",1168456,LA,Total Flow,2.5,2.5
"40000009002",1172427,OK,Municipal Flow,3.43,3.43
"40000009002",1172427,OK,Industrial Flow,0.07,0.07
"40000009002",1172427,OK,Infiltration Flow,,
"40000009002",1172427,OK,Wet Weather Peak,,
"40000009002",1172427,OK,Total Flow,3.5,3.5
"40000180001",1172572,OK,Municipal Flow,0.35,0
"40000180001",1172572,OK,Industrial Flow,,
"40000180001",1172572,OK,Infiltration Flow,,
"40000180001",1172572,OK,Wet Weather Peak,,
"40000180001",1172572,OK,Total Flow,0.35,0
"40000302001",1172602,OK,Municipal Flow,0.3,0.3
"40000302001",1172602,OK,Industrial Flow,,
"40000302001",1172602,OK,Infiltration Flow,,
"40000302001",1172602,OK,Wet Weather Peak,,
"40000302001",1172602,OK,Total Flow,0.3,0.3
"40000617001",1172790,OK,Municipal Flow,0.36,0.36
"40000617001",1172790,OK,Industrial Flow,,
"40000617001",1172790,OK,Infiltration Flow,,
"40000617001",1172790,OK,Wet Weather Peak,,
"40000617001",1172790,OK,Total Flow,0.36,0.36
"06001079001",1175232,CA,Municipal Flow,3.01,3.01
"06001079001",1175232,CA,Industrial Flow,,
"06001079001",1175232,CA,Infiltration Flow,,
"06001079001",1175232,CA,Wet Weather Peak,7,21.7
"06001079001",1175232,CA,Total Flow,3.01,3.01
"06005008001",1175528,CA,Municipal Flow,4.5,4.5
"06005008001",1175528,CA,Industrial Flow,0.5,0.5
"06005008001",1175528,CA,Infiltration Flow,,
"06005008001",1175528,CA,Wet Weather Peak,,
"06005008001",1175528,CA,Total Flow,5,5
"06005028001",1175550,CA,Municipal Flow,,
"06005028001",1175550,CA,Industrial Flow,,
"06005028001",1175550,CA,Infiltration Flow,,
"06005028001",1175550,CA,Wet Weather Peak,,
"06005028001",1175550,CA,Total Flow,1.069,2.34
"06005261001",1175742,CA,Municipal Flow,1.11,1.11
"06005261001",1175742,CA,Industrial Flow,,
"06005261001",1175742,CA,Infiltration Flow,,
"06005261001",1175742,CA,Wet Weather Peak,,
"06005261001",1175742,CA,Total Flow,1.11,1.11
"06009031002",1176067,CA,Municipal Flow,,
"06009031002",1176067,CA,Industrial Flow,,
"06009031002",1176067,CA,Infiltration Flow,,
"06009031002",1176067,CA,Wet Weather Peak,,
"06009031002",1176067,CA,Total Flow,32,56.7
"53000335001",1180789,WA,Municipal Flow,,
"53000335001",1180789,WA,Industrial Flow,,
"53000335001",1180789,WA,Infiltration Flow,,
"53000335001",1180789,WA,Wet Weather Peak,,
"53000335001",1180789,WA,Total Flow,1.3,1.75
