facility_name,txt_file,extraction_file,completion_token,prompt_token,total_token,reasoning_token,cost_usd
Healdsburg City WWTP,22_0017_Healdsburg_WWTF_NPDES.txt,22_0017_Healdsburg_WWTF_NPDES_229922.json,5535,8513,14048,4352,
Ukiah City WWTP,24_0016_Ukiah_NPDES_07.18.2024_signed.txt,24_0016_Ukiah_NPDES_07.18.2024_signed_268960.json,7397,8650,16047,5376,
City of Morro Bay Water Reclamation Facility,7-18-22_MorroBay_finalorder.txt,7-18-22_MorroBay_finalorder_241479.json,8387,8673,17060,6720,
Dunsmuir WWTP,r5-2024-0009_npdes.txt,r5-2024-0009_npdes_220850.json,5167,8765,13932,3968,
Wastewater Recovery Center,r5-2025-0027_npdes.txt,r5-2025-0027_npdes_258739.json,10358,9566,19924,8064,
