facility_name,place_id,n_queries,n_chunks,rerank_model,prompt_token,completion_token
Avila WWTP,206888,7,12,gpt-5-mini,43871,33327
Calistoga City Dunaweal WWTP,212750,9,12,gpt-5-mini,55428,43503
City of Morro Bay Water Reclamation Facility,882248,9,12,gpt-5-mini,57634,45748
Clovis WWTF,214899,8,12,gpt-5-mini,50877,39195
Coachella Valley WD WWTP,216446,9,12,gpt-5-mini,56478,42933
Covelo POTW,215966,9,12,gpt-5-mini,57495,43416
Dunsmuir WWTP,220850,9,12,gpt-5-mini,57447,43862
EBMUD WPCP,222132,9,12,gpt-5-mini,57044,44947
Membrane Filtration/Reverse Osmosis Facility - Escondido,846371,9,12,gpt-5-mini,55904,43336
Eureka City Elk River WWTP,223010,9,12,gpt-5-mini,56690,43951
Forestville Water District,224901,8,12,gpt-5-mini,51010,40188
Delleker WWTP,219530,8,12,gpt-5-mini,50552,40790
Healdsburg City WWTP,229922,9,12,gpt-5-mini,58035,45219
Holtville City WWTP,230588,9,12,gpt-5-mini,55747,43437
IEUA Regional Plant No. 1,259165,9,12,gpt-5-mini,56403,42709
IEUA Regional Plant No. 2,259166,9,12,gpt-5-mini,56403,42702
Whittier Narrows Water Reclamation Plant,235826,7,12,gpt-5-mini,44044,33680
San Jose Creek Water Reclamation Plant,260156,9,12,gpt-5-mini,57472,44660
Linda Cnty Water District WWTP,237060,9,12,gpt-5-mini,55937,44280
Malibu Mesa WRP,242162,9,12,gpt-5-mini,56292,42034
City of Manteca WW Quality Control Facility,239343,9,12,gpt-5-mini,56848,42869
Marin CSD 5 Paradise Cove WWTP,239498,9,12,gpt-5-mini,55401,44093
McKinleyville WWTP,240093,9,12,gpt-5-mini,57602,44863
Montecito SD WWTP,241288,9,12,gpt-5-mini,57024,43963
Mountain House WWTP,241598,9,12,gpt-5-mini,57717,43788
Mt. View Sanitary District WWTP,241815,9,12,gpt-5-mini,56637,43742
Nevada City WWTP,244141,9,12,gpt-5-mini,56977,44397
OCSD Plant 1,758392,9,12,gpt-5-mini,56465,44695
Palo Alto Regional WQCP,247457,9,12,gpt-5-mini,56411,44063
Redway POTW,252211,8,12,gpt-5-mini,50883,39542
Hammonton Gold Village WWTP,229559,7,12,gpt-5-mini,46296,34578
San Jose/Santa Clara WPCP,255333,9,12,gpt-5-mini,55881,42398
San Simeon WWTP,255462,9,12,gpt-5-mini,55964,44729
Saugus Water Reclamation Plant,260494,9,12,gpt-5-mini,58185,44585
Sewerage Commission Oroville Region WWTP,246251,9,12,gpt-5-mini,57806,43781
Shasta Lake WWTF,256627,9,12,gpt-5-mini,56810,43520
SVCW WWTP,255833,9,12,gpt-5-mini,55980,41435
J.B. Latham WWTP,236649,9,12,gpt-5-mini,56388,44247
Wastewater Recovery Center,258739,9,12,gpt-5-mini,56584,44286
Summerland SD WWTP,259377,9,12,gpt-5-mini,55350,43308
Mineral WWTP,240864,5,12,gpt-5-mini,32756,26505
Discovery Bay WWTP,220315,9,12,gpt-5-mini,57499,43653
Treasure Island WWTP/DOD,266328,9,12,gpt-5-mini,56632,41943
UC Davis Main WWTP,268926,9,12,gpt-5-mini,57242,43420
Ukiah City WWTP,268960,9,12,gpt-5-mini,56657,42146
US Navy Naval Air Facility WWTP,269449,9,12,gpt-5-mini,56623,42335
Vallejo Flood & Wastewater District (VFWD) WWTP,270006,9,12,gpt-5-mini,56142,44557
Watsonville WWTP,271872,9,12,gpt-5-mini,56827,43557
Woodland Water Pollution Control Facility,272960,9,12,gpt-5-mini,59457,44307
Carmel Area WWTP,213281,9,12,gpt-5-mini,56589,45057
