facility_name,pdf_file,completion_token,prompt_toke,total_token,reasoning_token
Healdsburg City WWTP,22_0017_Healdsburg_WWTF_NPDES.pdf,10187,12784,22971,8704
Ukiah City WWTP,24_0016_Ukiah_NPDES_07.18.2024_signed.pdf,11489,10037,21526,9152
City of Morro Bay Water Reclamation Facility,7-18-22_MorroBay_finalorder.pdf,9708,8557,18265,7936
Dunsmuir WWTP,r5-2024-0009_npdes.pdf,8372,8738,17110,6720
Wastewater Recovery Center,r5-2025-0027_npdes.pdf,10675,10189,20864,8448
