facility_name,pdf_file,completion_token,prompt_toke,total_token,reasoning_token
Healdsburg City WWTP,22_0017_Healdsburg_WWTF_NPDES.pdf,1849,15937,17786,0
Ukiah City WWTP,24_0016_Ukiah_NPDES_07.18.2024_signed.pdf,2941,12652,15593,0
City of Morro Bay Water Reclamation Facility,7-18-22_MorroBay_finalorder.pdf,2199,10933,13132,0
Dunsmuir WWTP,r5-2024-0009_npdes.pdf,1780,11148,12928,0
Wastewater Recovery Center,r5-2025-0027_npdes.pdf,4096,12899,16995,0
