REPORT_YEAR,CWNS_NUMBER,TREATMENT_TYPE,UNIT_PROCESS,SORT_SEQUENCE,PRES_IND,PROJ_IND,CHANGE_TYPE,BACKUP_IND,PLANNED_YEAR,ADDITIONAL_NOTES,LAST_UPDATED_TS,KEEP_UP,BLANK,CHANGE_TYPE_CAT,KEEP_UP_CODE
2012,1000165003,Disinfection,"Disinfection, Chlorination",1,Y,Y,No Change,N,,,2/25/2009,,,,
2012,1000165003,Preliminary,Aerated Grit Chambers,3,Y,Y,No Change,N,,,2/25/2009,,,,
2012,1000165003,Preliminary,Flotation,2,Y,Y,No Change,N,,,2/25/2009,,,,
2012,1000165003,Preliminary,"Screen, Mechanical Bar",1,Y,Y,No Change,N,,,2/25/2009,,,,
2012,1000165003,Secondary,"Activated Sludge, Extended Aeration",1,Y,Y,No Change,N,,,2/25/2009,,,,
2012,1000165003,Solids Handling,"Biosolids Aerobic Digestion, Air",1,Y,Y,No Change,N,,,2/25/2009,,,,
2012,1000165003,Solids Handling,"Biosolids Air Drying, Sand Beds",2,Y,Y,No Change,N,,,2/25/2009,,,,
2012,1000165003,Solids Handling,Biosolids Land Application (Spreading),3,Y,Y,No Change,N,,,2/25/2009,,,,
2012,1000176001,Advanced,"Nitrification, Biological (Combined and BOD Reduction)",2,N,Y,New,N,,Possible use of BNR application,1/14/2009,,,,
2012,1000176001,Advanced,"Phosphorus Removal, Biological",1,N,Y,New,N,,Possible use of BNR application,1/14/2009,,,,
2012,1000176001,Preliminary,Aerated Grit Chambers,1,Y,Y,"Rehabilitation, Process Improvement",N,,,9/12/2008,,,,
2012,1000176001,Preliminary,"Screen, Mechanical Bar",2,Y,Y,Rehabilitation,N,,,9/12/2008,,,,
2012,1000176001,Primary,Aeration (Pre-treatment),1,Y,Y,"Increase Level Of Treatment, Rehabilitation",N,,,9/12/2008,,,,
2012,1000176001,Primary,"Clarification, Intermediate",2,Y,Y,Rehabilitation,N,,,9/12/2008,,,,
2012,1000176001,Secondary,"Activated Sludge, Conventional",1,Y,Y,Rehabilitation,N,,,9/12/2008,,,,
2012,1000176001,Secondary,"Clarification, Secondary",2,Y,Y,Rehabilitation,N,,,9/12/2008,,,,
2012,1000176001,Solids Handling,"Biosolids Anaerobic Digestion, Other",1,Y,Y,Process Improvement,N,,,9/12/2008,,,,
2012,1000176001,Solids Handling,Biosolids Mechanical Dewatering (Filter Press),2,Y,Y,Expansion,N,,,9/12/2008,,,,
2012,1000176001,Ultraviolet Radiation,"Disinfection, Ultraviolet",1,Y,Y,"Rehabilitation, Process Improvement",N,,,9/12/2008,,,,
2012,1000196001,Disinfection,Dechlorination,2,Y,Y,Rehabilitation,N,,,3/5/2009,,,,
2012,1000196001,Disinfection,"Disinfection, Chlorination",1,Y,Y,Rehabilitation,N,,,3/5/2009,,,,
2012,1000196001,Preliminary,Aerated Grit Chambers,1,Y,Y,"Increase Capacity, Rehabilitation, Replacement",N,,,3/5/2009,,,,
2012,1000196001,Preliminary,Screen (Fine and Microstrainers),2,Y,Y,Replacement,N,,,3/5/2009,,,,
2012,1000196001,Preliminary,Vortex Solids Separators,3,Y,Y,Increase Capacity,N,,,3/5/2009,,,,
2012,1000196001,Primary,"Sedimentation, Primary",1,Y,Y,"Increase Level Of Treatment, Replacement",N,,,3/5/2009,,,,
2012,1000196001,Secondary,"Activated Sludge, With Biological Denitrification",2,Y,Y,Increase Level Of Treatment,N,,,3/5/2009,,,,
2012,1000196001,Secondary,"Clarification, Secondary",3,Y,Y,Increase Level Of Treatment,N,,,3/5/2009,,,,
2012,1000196001,Secondary,"Trickling Filter, Rock Media",1,Y,Y,"Rehabilitation, Replacement",N,,,3/5/2009,,,,
2012,1000196001,Solids Handling,"Biosolids Anaerobic Digestion, Other",1,Y,Y,Rehabilitation,N,,,3/5/2009,,,,
2012,1000196001,Solids Handling,Biosolids Land Application (Spreading),2,Y,Y,Rehabilitation,N,,,3/5/2009,,,,
2012,1000197007,Advanced,"Activated Sludge, With Biological Denitrification",1,Y,Y,No Change,N,,,3/6/2009,,,,
2012,1000197007,Preliminary,Aerated Grit Chambers,1,Y,Y,No Change,N,,,3/6/2009,,,,
2012,1000197007,Preliminary,"Screen, Mechanical Bar",2,Y,Y,No Change,N,,,3/6/2009,,,,
2012,1000197007,Primary,"Sedimentation, Primary",1,Y,Y,No Change,N,,,3/6/2009,,,,
2012,1000197007,Secondary,"Activated Sludge, Extended Aeration",1,Y,Y,No Change,N,,,3/6/2009,,,,
2012,1000197007,Secondary,"Filter, Slow Sand",2,Y,Y,No Change,N,,,3/6/2009,,,,
2012,1000197007,Solids Handling,"Biosolids Air Drying, Sand Beds",1,Y,Y,No Change,N,,,3/6/2009,,,,
2012,1000197007,Solids Handling,Biosolids Land Application (Spreading),2,Y,Y,No Change,N,,,3/6/2009,,,,
2012,1000197007,Ultraviolet Radiation,"Disinfection, UV Radiation",1,Y,Y,No Change,N,,,3/6/2009,,,,
2012,1000197023,Secondary,Reactor (Oxidation Ditch),1,Y,Y,No Change,N,,,4/5/2001,,,,
2012,1000198001,Advanced,"Phosphorus Removal, Biological",2,N,Y,New,N,,,8/25/2008,,,,
2012,1000198001,Advanced,"Phosphorus Removal, Biological (Phostrip)",1,N,Y,New,N,,,8/25/2008,,,,
2012,1000198001,Preliminary,"Screen, Bar",1,Y,Y,"Increase Capacity, Increase Level Of Treatment, Rehabilitation",N,,,8/25/2008,,,,
2012,1000198001,Primary,Aeration (Pre-treatment),1,Y,Y,Increase Capacity,N,,,8/25/2008,,,,
