FINAL_UNIT_PROCESS_NAME,ORIGINAL_UP_NAME
Rock Barrier (FT) (555),Rock Barrier (FT) (555)
"Filter, Rock",Rock Filter
Roof Runoff Management (NO.) (558),Roof Runoff Management (NO.) (558)
Rotating Biological Contractors,Rotating Biological Contactor (RBC)
Rotating Biological Contractors,Rotating Biological Contractors
Runoff Management System (NO. AND AC) (570),Runoff Management System (NO. AND AC) (570)
Filter (Sand-Intermittent),Sand Filtration/Intermittent
Filter (Sand-Recirculating),Sand Filtration/Recirculating
Screen (Bar Rack and Coarse),Screen (Bar Rack and Coarse)
Screen (Fine and Microstrainers),Screen (Fine and Microstrainers)
"Screen, Bar","Screen, Bar"
"Screen, Mechanical Bar","Screen, Mechanical Bar"
Scum Removal,Scum Removal
"Clarification, Secondary",Secondary Clarification
Sediment Basin (NO.) (350),Sediment Basin (NO.) (350)
Sediment Basins,Sediment Basins
Sediment Trap,Sediment Trap
Sediment Trap (Resource Extraction),Sediment Trap (Resource Extraction)
Sedimentation,Sedimentation
"Sedimentation, Chemical Precipitation","Sedimentation, Chemical Precipitation"
"Sedimentation, Primary","Sedimentation, Primary"
"Sedimentation, Other","Sedimentation, Other"
Seed And Fertilize,Seed And Fertilize
Seeding/Revegetation,Seeding/Revegetation
Seeding/Revegetation (Resource Extraction),Seeding/Revegetation (Resource Extraction)
Semi-automated,Semi-automated
Semi-package Plant,Semi-package Plant
Septage Receiving Facility,Septage Receiving Facility
Septage Treatment - Separate Stage,Septage Treatment - Separate Stage
Septic Tank,Septic Tank
Septic Tank Effluent Pump Sewer System,Septic Tank Effluent Pump Sewer System
"Reactor, Sequencing Batch (SBR)",Sequencing Batch Reactor (SBR)
Settling Tank,Settling Tank
Sewer System Separation,Sewer System Separation
Shore Erosion Control,Shore Erosion Control
"Lime Treatment, Single Stage Primary",Single Stage Primary Lime Treatment
"Lime Treatment, Single Stage Tertiary",Single Stage Tertiary Lime Treatment
Site Preparation And Forest Regeneration,Site Preparation And Forest Regeneration
Slope Drains,Slope Drains
"Land Application, Slow Rate, W/O Underdrain",Slow Rate Application System - No Underdrain
"Land Application, Slow Rate, With Underdrain",Slow Rate Land Application System W/Underdrain
"Filter, Slow Sand",Slow Sand Filter
Small Diameter Gravity Sewer,Small Diameter Gravity Sewer
Soil Bioengineering,Soil Bioengineering
Spill Prevention And Contingency Plan,Spill Prevention And Contingency Plan
Spring Development (NO.) (574),Spring Development (NO.) (574)
"Pond, Stabilization",Stabilization Pond
Leach Field (Standard),Standard Leach Field
Storage (In-line),Storage (In-line)
Storage (Lagoon),Storage (Lagoon)
"Storage (Off-line, e.g. Retention Basins)",Storage (Off-line)
"Storage (Off-line, e.g. Retention Basins)","Storage (Off-line, e.g. Retention Basins)"
Storage (Other),Storage (Other)
"Store, Cover, And Isolate Construction Materials.","Store, Cover, And Isolate Construction Materials."
Straw Bale Barrier,Straw Bale Barrier
Stream Channel Stabilization (FT) (584),Stream Channel Stabilization (FT) (584)
Streambank and Shoreline Protection (FT) (580),Streambank and Shoreline Protection (FT) (580)
Streamside Management Areas (SMAs),Streamside Management Areas (SMAs)
Structure for Water Control (NO.) (587),Structure for Water Control (NO.) (587)
Drainage (Subsurface) (Feet) (606),Subsurface Drain (FT) (606)
Subsurface Flow,Subsurface Flow
"Drainage (Surface, Main or Lateral) (Feet) (608)","Surface Drainage (FT), Main or Lateral (608)"
Swirl Concentrators,Swirl Concentrator
Swirl Concentrators,Swirl Concentrators
Temporary Vegetative Cover,Temporary Vegetative Cover
Terrace (FT) (600),Terrace (FT) (600)
Tidegate/Regulator Maintenance,Tidegate/Regulator Maintenance
Timber Harvesting,Timber Harvesting
"Pond, Total Containment",Total Containment Pond
Tree/Shrub Establishment (AC) (612),Tree/Shrub Establishment (AC) (612)
Trickling Filter,Trickling Filter
"Trickling Filter, Other Media",Trickling Filter - Other Media
"Trickling Filter, Plastic Media",Trickling Filter - Plastic Media
"Trickling Filter, Redwood Slats",Trickling Filter - Redwood Slats
"Trickling Filter, Rock Media",Trickling Filter - Rock Media
"Trickling Filter, Biofilter","Trickling Filter, Biofilter"
"Trickling Filter, Other Media","Trickling Filter, Other Media"
"Trickling Filter, Plastic Media","Trickling Filter, Plastic Media"
"Trickling Filter, Redwood Slats","Trickling Filter, Redwood Slats"
"Trickling Filter, Rock Media","Trickling Filter, Rock Media"
Trough or Tank (NO.) (614),Trough or Tank (NO.) (614)
"Lime Treatment, Two Stage Primary",Two Stage Primary Lime Treatment
"Lime Treatment, Two Stage Tertiary",Two Stage Tertiary Lime Treatment
"Disinfection, Ultraviolet",Ultraviolet Disinfection
Underground Outlet (FT) (620),Underground Outlet (FT) (620)
Use Exclusion (AC) (472),Use Exclusion (AC) (472)
"Disinfection, UV Radiation",UV Radiation (Disinfection)
Vacuum Sewer,Vacuum Sewer
Vegetated Filter Strips,Vegetated Filter Strips
Vegetated Filter Strips (Structural),Vegetated Filter Strips (Structural)
Vegetative Barriers Vertical Drain (NO.) (630),Vegetative Barriers Vertical Drain (NO.) (630)
"Reactor, Vertical Loop",Vertical Loop Reactor
Vortex Solids Separators,Vortex Solids Separator
Vortex Solids Separators,Vortex Solids Separators
Waste Disposal Facilities,Waste Disposal Facilities
Waste Management System (NO.) (312),Waste Management System (NO.) (312)
Waste Storage Facility (NO.) (313),Waste Storage Facility (NO.) (313)
Waste Treatment Lagoon (NO.) (359),Waste Treatment Lagoon (NO.) (359)
Waste Utilization (AC) (633),Waste Utilization (AC) (633)
Water and Sediment Control Basin (NO.) (638),Water and Sediment Control Basin (NO.) (638)
Well (NO.) (642),Well (NO.) (642)
Biosolids Wet Air Oxidation,Wet Air Oxidation
Wet Detention Practices,Wet Detention Practices
Wet Ponds,Wet Ponds
Wetland Development or Restoration (AC) (657),Wetland Development or Restoration (AC) (657)
Wetland (Surface),Wetland (Surface)
Wildlife Upland Habitat Management (AC) (645),Wildlife Upland Habitat Management (AC) (645)
Wildlife Wetland Habitat Management (AC) (644),Wildlife Wetland Habitat Management (AC) (644)
Wind Erosion Controls,Wind Erosion Controls
Windbreak/Shelterbelt Establishment (FT) (380),Windbreak/Shelterbelt Establishment (FT) (380)
Aerobic membrane bioreactor,Membrane bioreactor
