FINAL_UNIT_PROCESS_NAME,ORIGINAL_UP_NAME
"Biosolids Thickening, Gravity",Gravity Thickening
Grazing Land Mechanical Treatment (AC) (548),Grazing Land Mechanical Treatment (AC) (548)
Grinder Pump- Low Pressure Sewer,Grinder Pump- Low Pressure Sewer
Grit Removal,Grit Removal
"Growth Process, Other Attached","Growth Process, Other Attached"
"Growth Process, Other Suspended","Growth Process, Other Suspended"
Biosolids Heat Drying,Heat Drying
Biosolids Heat Recovery and Utilization,Heat Recovery And Utilization
Biosolods (Heat Treatment),Heat Treatment
Heavy Use Area Protection (AC) (561),Heavy Use Area Protection (AC) (561)
Herbaceous Wind Barriers (FT) (422A),Herbaceous Wind Barriers (FT) (422A)
Hillside Ditch (FT) (423),Hillside Ditch (FT) (423)
Holding Tank,Holding Tank
I/I Controls,I/I Controls
Imhoff Tank,Imhoff Tank
"Clarification, In-Channel",In-Channel Clarification
"Biosolids Incineration, Fluidized Bed",Incineration - Fluidized Bed
"Biosolids Incineration, Multiple Hearth",Incineration - Multiple Hearth
Incineration - Rotary Kiln,Incineration - Rotary Kiln
Infiltration Basins,Infiltration Basins
Influent Pumping,Influent Pumping
Inlet Protection,Inlet Protection
Storage (In-line),In-Line Storage
In-System Modifications,In-System Modifications
Interceptors,Interceptors
"Clarification, Intermediate",Intermediate Clarification
Ion Exchange,Ion Exchange
"Irrig H2O Conv (FT), Pipe, HP, Udg Plastic (430DD)","Irrig H2O Conv (FT), Pipe, HP, Udg Plastic (430DD)"
"Irrig H2O Conv, Pipe, Rigid Gated Pipe (430HH)","Irrig H2O Conv, Pipe, Rigid Gated Pipe (430HH)"
"Irrig H2O Conv, Pipe, Steel (430FF)","Irrig H2O Conv, Pipe, Steel (430FF)"
Irrigat. Canal or Lateral (FT) (320),Irrigat. Canal or Lateral (FT) (320)
Irrigat. Land Leveling (AC) (464),Irrigat. Land Leveling (AC) (464)
Irrigat. Storage Reserv. (NO. ANDAC-FT) (436),Irrigat. Storage Reserv. (NO. ANDAC-FT) (436)
"Irrigat. Sys. (NO.+AC), Sprinkler (442)","Irrigat. Sys. (NO.+AC), Sprinkler (442)"
"Irrigat. Sys., Tailwater Recovery (NO.) (447)","Irrigat. Sys., Tailwater Recovery (NO.) (447)"
"Irrigat. System (NO. AND AC), Trickle (441)","Irrigat. System (NO. AND AC), Trickle (441)"
Irrigation Water Management (AC)(449),Irrigation Water Management (AC)(449)
"Lagoon, Other",Lagoon
"Lagoon, Aerated","Lagoon, Aerated"
"Lagoon, Anaerobic","Lagoon, Anaerobic"
"Lagoon, Facultative","Lagoon, Facultative"
"Lagoon, Other","Lagoon, Natural (Large Area)"
"Lagoon, Other","Lagoon, Other"
"Lagoon, Polishing","Lagoon, Polishing"
Land Acquisition,Land Acquisition
Land Acquisition,"Land Application, Other"
"Land Application, Slow Rate, W/O Underdrain","Land Application, Slow Rate, W/O Underdrain"
"Land Application, Slow Rate, With Underdrain","Land Application, Slow Rate, With Underdrain"
"Land Recl, Landslide Treat (NO. AND HA, AC) (453)","Land Recl, Landslide Treat (NO. AND HA, AC) (453)"
"Land Recl, Toxic Discharge Control (NO.) (455)","Land Recl, Toxic Discharge Control (NO.) (455)"
"Land Recon, Abandoned Mined Land (AC) (543)","Land Recon, Abandoned Mined Land (AC) (543)"
Biosolids Land Application (Spreading),Land Spreading
Land Treatment,Land Treatment
Landfill Cap,Landfill Cap
Biosolids Landfill/Trenching,Landfill/Trenching
Leach Field (Multiple Unit with Soil Absorption),Leach Field (Multiple Unit with Soil Absorption)
Leach Field (Standard),Leach Field (Standard)
Biosolids Lime Stabilization,Lime Stabililization
Lime Treatment,Lime Treatment
"Lime Treatment, Single Stage Primary","Lime Treatment, Single Stage Primary"
"Lime Treatment, Single Stage Tertiary","Lime Treatment, Single Stage Tertiary"
"Lime Treatment, Two Stage Primary","Lime Treatment, Two Stage Primary"
"Lime Treatment, Two Stage Tertiary","Lime Treatment, Two Stage Tertiary"
Lined Waterway or Outlet (FT) (468),Lined Waterway or Outlet (FT) (468)
"Disinfection, Liquid Chloride",Liquid Chlorine Disinfection
Manually Controlled,Manually Controlled
Manure Transfer (NO) (634),Manure Transfer (NO) (634)
"Screen, Mechanical Bar",Mechanical Bar Screens
Mechanical Dewatering,Mechanical Dewatering
Biosolids Mechanical Dewatering (Centrifuge),Mechanical Dewatering - Centrifuge
Biosolids Mechanical Dewatering (Pressure Filter),Mechanical Dewatering - Pressure Filter
Biosolids Mechanical Dewatering (Vacuum Filter),Mechanical Dewatering - Vacuum Filter
Biosolids Mechanical Dewatering (Filter Press),Mechanical Dewatering -Filter Press
Membrane Process (Other),Membrane Process (Other)
Membrane Process (Dialysis),Membrane Process (Dialysis)
Membrane Process (Electrodialysis),Membrane Process (Electrodialysis)
Membrane Process (Reverse Osmosis),Membrane Process (Reverse Osmosis)
"Microstrainer, Primary",Microstrainer - Primary
"Microstrainer, Secondary",Microstrainer - Secondary
"Microstrainer, Primary","Microstrainer, Primary"
"Microstrainer, Secondary","Microstrainer, Secondary"
"Filter, Mixed Media",Mixed Media Filter
Mound System,Mound System
"Filter, Moving Bed",Moving Bed Filter
Mulching (AC) (484),Mulching (AC) (484)
Leach Field (Multiple Unit with Soil Absorption),Multiple Unit Leach Field (Soil Absorption)
Neutralization,Neutralization
"Nitrification, Biological (Combined and BOD Reduction)","Nitrification, Biological (Combined and BOD Reduction)"
"Nitrification, Biological (Other)","Nitrification, Biological (Other)"
"Nitrification, Biological (Separate Stage)","Nitrification, Biological (Separate Stage)"
