Method,Model,PDF_macro_F1,PDF_macro_family_F1,PDF_macro_state_acc
List,gpt-pro,0.8714147497581208,0.9357229437229437,0.8424510551741674
List,gpt-mini,0.8685242793753905,0.9532091097308488,0.8612814645308925
List,gemini-pro,0.8347235905856596,0.9379710144927536,0.6882865265931628
List,gemini-flash,0.8017027417027416,0.9201464530892448,0.7319071724106049
List,claude-sonnet,0.627576100370218,0.7069841269841269,0.5620520999468368
List,claude-haiku,0.1830252100840336,0.27076923076923076,0.12878718535469108
Ontology,gemini-pro,0.920084492166872,0.9786666666666667,0.9183450061253264
Ontology,gpt-mini,0.914588462602644,0.992,0.8843579964403764
Ontology,gpt-pro,0.9067850933693661,0.9633333333333333,0.8659829415435822
Ontology,gemini-flash,0.8177675982554031,0.918984126984127,0.7394031851697755
Ontology,claude-sonnet,0.6890450725744843,0.7722943722943723,0.6431047315257842
Ontology,claude-haiku,0.16363636363636364,0.2,0.16363636363636364
