facility_name,pdf_file,completion_token,prompt_toke,total_token,reasoning_token
Healdsburg City WWTP,22_0017_Healdsburg_WWTF_NPDES.pdf,5138,8701,13839,3584
Ukiah City WWTP,24_0016_Ukiah_NPDES_07.18.2024_signed.pdf,7669,5955,13624,5888
City of Morro Bay Water Reclamation Facility,7-18-22_MorroBay_finalorder.pdf,6844,4471,11315,5248
Dunsmuir WWTP,r5-2024-0009_npdes.pdf,4781,4655,9436,3584
Wastewater Recovery Center,r5-2025-0027_npdes.pdf,7339,6108,13447,5504
