facility_name,place_id,structured_output,completion_token,prompt_token,total_token,reasoning_token,cost_usd
Avila WWTP,206888,True,661,4917,5578,0,
Calistoga City Dunaweal WWTP,212750,True,1252,6210,7462,0,
City of Morro Bay Water Reclamation Facility,882248,True,1414,5893,7307,0,
Clovis WWTF,214899,True,897,5417,6314,0,
Coachella Valley WD WWTP,216446,True,1483,5974,7457,0,
Covelo POTW,215966,True,890,5490,6380,0,
Dunsmuir WWTP,220850,True,1107,5557,6664,0,
EBMUD WPCP,222132,True,1207,5478,6685,0,
Membrane Filtration/Reverse Osmosis Facility - Escondido,846371,True,326,7141,7467,0,
Eureka City Elk River WWTP,223010,True,763,5898,6661,0,
Forestville Water District,224901,True,676,6749,7425,0,
Delleker WWTP,219530,True,568,4926,5494,0,
Healdsburg City WWTP,229922,True,733,6174,6907,0,
Holtville City WWTP,230588,True,835,4751,5586,0,
IEUA Regional Plant No. 1,259165,True,1423,6182,7605,0,
IEUA Regional Plant No. 2,259166,True,773,6182,6955,0,
Whittier Narrows Water Reclamation Plant,235826,True,837,4868,5705,0,
San Jose Creek Water Reclamation Plant,260156,True,758,4929,5687,0,
Linda Cnty Water District WWTP,237060,True,1063,5844,6907,0,
Malibu Mesa WRP,242162,True,796,5098,5894,0,
City of Manteca WW Quality Control Facility,239343,True,1104,5491,6595,0,
Marin CSD 5 Paradise Cove WWTP,239498,True,562,4817,5379,0,
McKinleyville WWTP,240093,True,756,6347,7103,0,
Montecito SD WWTP,241288,True,810,5136,5946,0,
Mountain House WWTP,241598,True,791,4710,5501,0,
Mt. View Sanitary District WWTP,241815,True,1401,5289,6690,0,
Nevada City WWTP,244141,True,831,4953,5784,0,
OCSD Plant 1,758392,True,727,6572,7299,0,
Palo Alto Regional WQCP,247457,False,1268,6008,7276,0,
Redway POTW,252211,True,955,5155,6110,0,
Hammonton Gold Village WWTP,229559,True,453,4669,5122,0,
San Jose/Santa Clara WPCP,255333,True,1906,7438,9344,0,
San Simeon WWTP,255462,True,631,4867,5498,0,
Saugus Water Reclamation Plant,260494,True,1206,5547,6753,0,
Sewerage Commission Oroville Region WWTP,246251,True,1121,5051,6172,0,
Shasta Lake WWTF,256627,True,758,4622,5380,0,
SVCW WWTP,255833,True,1212,5566,6778,0,
Wastewater Recovery Center,258739,True,2399,6174,8573,0,
Summerland SD WWTP,259377,True,779,4812,5591,0,
Mineral WWTP,240864,True,423,5202,5625,0,
Discovery Bay WWTP,220315,True,888,5116,6004,0,
Treasure Island WWTP/DOD,266328,True,866,5741,6607,0,
UC Davis Main WWTP,268926,True,528,4534,5062,0,
Ukiah City WWTP,268960,True,1143,5672,6815,0,
US Navy Naval Air Facility WWTP,269449,True,570,4730,5300,0,
Vallejo Flood & Wastewater District (VFWD) WWTP,270006,True,894,5754,6648,0,
Watsonville WWTP,271872,True,957,5223,6180,0,
Woodland Water Pollution Control Facility,272960,True,1131,7039,8170,0,
Carmel Area WWTP,213281,True,1274,5517,6791,0,
J.B. Latham WWTP,236649,True,910,7710,8620,0,
