Source,Process,Support_Manual,Support_Pred,TP,FP,FN,TN,Precision,Recall,F1,Accuracy,Missed_Rate,Hallucinated_Rate,State_Accuracy
Keyword,Comminution,7,0,0,0,7,16,,0.0,0.0,0.6956521739130435,1.0,,0.0
Keyword,Primary Clarification,8,9,8,1,0,14,0.8888888888888888,1.0,0.9411764705882353,0.9565217391304348,0.0,0.1111111111111111,0.875
Keyword,Secondary Clarification,17,16,16,0,1,6,1.0,0.9411764705882353,0.9696969696969697,0.9565217391304348,0.058823529411764705,0.0,0.9411764705882353
Keyword,Chemical Precipitation,0,1,0,1,0,22,0.0,,0.0,0.9565217391304348,,1.0,
Keyword,Unspecified Clarification,0,18,0,18,0,5,0.0,,0.0,0.21739130434782608,,1.0,
Keyword,Screening/Microstrainer,16,0,0,0,16,7,,0.0,0.0,0.30434782608695654,1.0,,0.0
Keyword,Grit Removal,12,0,0,0,12,11,,0.0,0.0,0.4782608695652174,1.0,,0.0
Keyword,Equalization,7,0,0,0,7,16,,0.0,0.0,0.6956521739130435,1.0,,0.0
Keyword,Flotation,1,0,0,0,1,22,,0.0,0.0,0.9565217391304348,1.0,,0.0
Keyword,SBR,0,1,0,1,0,22,0.0,,0.0,0.9565217391304348,,1.0,
Keyword,Oxidation Ditch,1,1,1,0,0,22,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Keyword,Pure Oxygen,1,0,0,0,1,22,,0.0,0.0,0.9565217391304348,1.0,,0.0
Keyword,Extended Aeration,2,1,1,0,1,21,1.0,0.5,0.6666666666666666,0.9565217391304348,0.5,0.0,0.5
Keyword,Stepfeed,0,0,0,0,0,23,,,,1.0,,,
Keyword,Unspecified AS,13,12,9,3,4,7,0.75,0.6923076923076923,0.72,0.6956521739130435,0.3076923076923077,0.25,0.6923076923076923
Keyword,Facultative Lagoon,1,0,0,0,1,22,,0.0,0.0,0.9565217391304348,1.0,,0.0
Keyword,Aerated Lagoon,1,1,1,0,0,22,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Keyword,Anaerobic Lagoon,1,0,0,0,1,22,,0.0,0.0,0.9565217391304348,1.0,,0.0
