Source,Process,Support_Manual,Support_Pred,TP,FP,FN,TN,Precision,Recall,F1,Accuracy,Missed_Rate,Hallucinated_Rate,State_Accuracy,Level
<<<<<<< HEAD
Keyword,Comminution,10,9,9,0,1,29,1.0,0.9,0.9473684210526315,0.9743589743589743,0.1,0.0,0.9,Unit_Process
Keyword,Primary Clarification,17,18,17,1,0,21,0.9444444444444444,1.0,0.9714285714285714,0.9743589743589743,0.0,0.05555555555555555,0.9411764705882353,Unit_Process
Keyword,Secondary Clarification,33,12,12,0,21,6,1.0,0.36363636363636365,0.5333333333333333,0.46153846153846156,0.6363636363636364,0.0,0.36363636363636365,Unit_Process
Keyword,Chemical Precipitation,1,0,0,0,1,38,,0.0,0.0,0.9743589743589743,1.0,,0.0,Unit_Process
Keyword,Screening/Microstrainer,31,34,30,4,1,4,0.8823529411764706,0.967741935483871,0.9230769230769231,0.8717948717948718,0.03225806451612903,0.11764705882352941,0.8709677419354839,Unit_Process
Keyword,Grit Removal,18,16,16,0,2,21,1.0,0.8888888888888888,0.9411764705882353,0.9487179487179487,0.1111111111111111,0.0,0.7777777777777778,Unit_Process
Keyword,Equalization,11,13,8,5,3,23,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.7948717948717948,0.2727272727272727,0.38461538461538464,0.7272727272727273,Unit_Process
Keyword,Flotation,4,5,3,2,1,33,0.6,0.75,0.6666666666666666,0.9230769230769231,0.25,0.4,0.75,Unit_Process
Keyword,SBR,0,1,0,1,0,38,0.0,,0.0,0.9743589743589743,,1.0,,Unit_Process
Keyword,Oxidation Ditch,5,4,4,0,1,34,1.0,0.8,0.8888888888888888,0.9743589743589743,0.2,0.0,0.6,Unit_Process
Keyword,Pure Oxygen,0,0,0,0,0,39,,,,1.0,,,,Unit_Process
Keyword,Extended Aeration,2,1,1,0,1,37,1.0,0.5,0.6666666666666666,0.9743589743589743,0.5,0.0,0.5,Unit_Process
Keyword,Stepfeed,0,0,0,0,0,39,,,,1.0,,,,Unit_Process
Keyword,Nitrification,15,12,11,1,4,23,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.8717948717948718,0.26666666666666666,0.08333333333333333,0.6666666666666666,Unit_Process
Keyword,Facultative Lagoon,3,4,3,1,0,35,0.75,1.0,0.8571428571428571,0.9743589743589743,0.0,0.25,1.0,Unit_Process
Keyword,Aerated Lagoon,2,0,0,0,2,37,,0.0,0.0,0.9487179487179487,1.0,,0.0,Unit_Process
Keyword,Anaerobic Lagoon,0,0,0,0,0,39,,,,1.0,,,,Unit_Process
Keyword,Polishing Lagoon,1,1,1,0,0,38,1.0,1.0,1.0,1.0,0.0,0.0,1.0,Unit_Process
Keyword,Stabilization Pond,2,0,0,0,2,37,,0.0,0.0,0.9487179487179487,1.0,,0.0,Unit_Process
Keyword,Evaporation Pond,0,0,0,0,0,39,,,,1.0,,,,Unit_Process
Keyword,AO,5,0,0,0,5,34,,0.0,0.0,0.8717948717948718,1.0,,0.0,Unit_Process
Keyword,A2O,0,0,0,0,0,39,,,,1.0,,,,Unit_Process
Keyword,MLE,0,0,0,0,0,39,,,,1.0,,,,Unit_Process
Keyword,UCT,0,0,0,0,0,39,,,,1.0,,,,Unit_Process
Keyword,Four Stage Bardenpho,0,0,0,0,0,39,,,,1.0,,,,Unit_Process
Keyword,Five Stage Bardenpho,0,0,0,0,0,39,,,,1.0,,,,Unit_Process
Keyword,Denitrification,13,10,7,3,6,23,0.7,0.5384615384615384,0.6086956521739131,0.7692307692307693,0.46153846153846156,0.3,0.5384615384615384,Unit_Process
Keyword,Chemical N Removal,0,0,0,0,0,39,,,,1.0,,,,Unit_Process
