as_of,documents_in_force,cohort_facilities,facilities_with_planned_changes,facilities_costed,total_2022usd,cwns_matched_facilities,cwns_matched_2022usd,no_cwns_match_facilities,no_cwns_match_2022usd,new_2022usd,system_expansion_2022usd,treatment_upgrade_2022usd,rehabilitation_2022usd
2021-06-01,980,426,157,77,339210446.2067627,55,279841027.85827565,22,59369418.34848707,14127692.952830587,37482228.903815806,152375762.77725536,75855343.22437383
2022-06-01,1060,426,159,78,332902139.7858964,55,271561555.36372507,23,61340584.42217128,14127692.952830587,37482228.903815806,145868215.90434802,74083417.6027307
2023-06-01,1129,426,165,82,351736291.97487825,58,288900689.12963045,24,62835602.845247746,14127692.952830587,59812489.12648374,132567416.85585323,82393090.19446293
2024-06-01,1157,426,168,84,359243872.13607967,59,294826905.4572647,25,64416966.67881495,5591573.141169693,74345618.8537145,125551012.61713776,89338700.84524274
2025-06-01,1192,426,172,86,354920852.2476608,60,296866799.71598214,26,58054052.53167865,5591573.141169693,74345618.8537145,125551012.61713776,91378595.1039602
2026-06-01,1214,426,178,87,360124527.26134974,60,296866799.71598214,27,63257727.54536753,5591573.141169693,74345618.8537145,125551012.61713776,91378595.1039602
