
Language Model,Input cost (Price per 1M tokens),Output cost (Price per 1M tokens)
GPT 4,10.05,30.00
GPT 4o mini,0.15,0.60
GPT 4o,2.55,10.00
GPT o1,15.05,60.00
GPT o3 mini,1.15,4.40
GPT 4.1,2.05,8.00
OpenAI Text-embedding-ada-002,0.15,0.10
GPT 5,1.25,10.00
GPT 5 mini,0.25,2.00
GPT 5.2,1.25,10.00
GPT 5.4,2.55,15.00
Gemini 2.0 Flash Lite,0.07,0.30
Gemini 2.0 Flash,0.15,0.60
Gemini 2.5 Pro,2.55,15.00
Gemini 2.5 Flash,0.35,2.50
Gemini 2.5 Flash Lite,0.15,0.40
Claude 3 Haiku,0.25,1.25
Claude 3.5 Sonnet,3.05,15.00
Claude 3.7 Sonnet,3.05,15.00
Claude 4 Sonnet,3.05,15.00
Claude 4.5 Sonnet,3.05,15.00
Claude 4.6 Opus,5.05,25.00
Claude 4.6 Sonnet,3.05,15.00
Claude 4.7 Opus,5.05,25.00
Llama 4,0.35,1.15
