WDID,Facility_Name,NPDES_No,CWNS_ID,CWNS_Facility_Name
2 019025001,City of Livermore Water Reclamation Plant,CA0038008,06002109001,Livermore WRP
2 019032001,Oro Loma/Castro Valley SD WPCP,CA0037559,06000000068,Oro Loma and Castro Valley Sanitary Districts (WPCP)
2 019033001,Dublin San Ramon SD WWTP,CA0037613,06002006001,Dublin-San Ramon WWTF
2 019123001,EBDA Common Outfall,CA0037869,,
2 019123001,EBDA Common Outfall,CA0037869,,
2 071008001,Central Contra Costa SD WWTP,CA0037648,06002025001,Central Contra Costa WWTF
2 071029001,Mt. View Sanitary District WWTP,CA0037770,06002024001,MOUNTAIN VIEW WWTF
2 071032001,City of Pinole WWTP,CA0037796,06002120001,Pinole-Hercules Water Pollution Control Plant
2 071034001,Port Costa WWTP,CA0037885,06002021001,Port Costa WWTF
2 071039001,Rodeo Sanitary District WWTP,CA0037826,06002064001,RODEO WWTF
2 071107001,West County Agency Outfall,CA0038539,06002057001,West County Plant
2 215012001,Las Gallinas WWTP,CA0037851,06002108001,Las Gallinas Valley Sanitary District Sewage Treatment Plant
2 215015001,Sewerage Agency of Southern Marin (SASM) WWTP,CA0037711,06002015001,SASM WWTF
2 215021001,Marin CSD 5 - Tiburon WWTP,CA0037753,06002063001,Marin Co. SD #5 WWTF
2 215021002,Marin CSD 5 Paradise Cove WWTP,CA0037427,06002063002,PARADISE COVE WWTF
2 215023001,Sausalito Marin City STP,CA0038067,06002072001,SAUSALITO-MARIN CITY WWTF
2 215116001,Central Marin San. Agcy. WWTP,CA0038628,06002044004,Central Marin San. Agency WWTF
2 283003001,Calistoga City Dunaweal WWTP,CA0037966,06002053001,Calistoga WWTP
2 283009001,Napa Sanitation District WWTP (Soscol Water Recycling Facility),CA0037575,06002033001,NAPA SANIT. DIST WWRF
2 283021001,American Canyon Water Reclamation Facility (WRF) (formerly WWTP),CA0038768,06002054001,American Canyon WWTF
2 386009001,SF - OCEANSIDE Water Pollution Control Plant,CA0037681,06002032005,Oceanside WPCP
2 386010001,"SF-SE Water Pollution Control Plant, N-Point & Bayside",CA0038873,06002032003,Southeast WPCP
2 386013001,Treasure Island WWTP/DOD,CA0110116,06002032004,Treasure Island WWTF
2 417021002,North San Mateo County Sanitation District WWTP,CA0037737,06002040001,North San Mateo County Sanitation District WWTP
2 417022002,Calera Creek Water Recycling Plant,CA0038776,06000000091,Calera Creek Water Recycling Plant
2 417032001,SF Airport Mel Leong TP-Sanitary Waste,CA0038318,06002123001,S.F. International Airport WQCP
2 417032001,SF Arprt Mel Leong TP-Industrl,CA0038318,,
2 417035001,San Mateo WWTP,CA0037541,06002043001,San Mateo WWTF
2 417037001,SVCW WWTP,CA0038369,06000000171,Silicon Valley Clean Water 
2 417068001,SAM WWTP (Sewer Authority Mid-Coastside WWTP),CA0038598,06002058001,Sewer Authority Mid-Coastside WWTF
2 438011001,Palo Alto Regional WQCP,CA0037834,06002012001,Palo Alto Regional WQCP
2 438014001,San Jose/Santa Clara WPCP,CA0037842,06002041001,San Jose/Santa Clara WPCP
2 438018001,Sunnyvale WPCP,CA0037621,06002008001,"Sunnyvale, City of (WPCP)"
2 482001001,Benicia WWTP,CA0038091,06002082001,BENICIA WWTF
2 482012001,Vallejo Flood & Wastewater District (VFWD) WWTP,CA0037699,06002047001,VSFCD WWTF
3 270118002,Monterey One Water Regional WWTP,CA0048551,06003012001,Monterey One Water (Regional WWTP and Advanced Water Purification Facility)
3 350102001,San Juan Bautista WWTP,CA0047902,06003047001,SAN JUAN BAUTISTA WWTF
3 400101001,Avila WWTP,CA0047830,06003058001,AVILA BEACH WWTF
3 400107001,San Luis Obispo WWTP,CA0049224,06003004001,San Luis Obispo WRF
3 400110001,San Simeon WWTP,CA0047961,06003036001,SAN SIMEON ACRES WWTF
3 400322963,City of Morro Bay Water Reclamation Facility,CA3000002,06003014001,Morro Bay Cayucos WWTF
3 401013001,Heritage Ranch WWTP,CA0048941,06003033001,Heritage Ranch Sewer Treatm Plant
3 420105001,Lompoc City Regional Wastewater Reclamation Plant,CA0048127,06003050001,City of Lompoc WWTP
3 420107001,Montecito SD WWTP,CA0047899,06003053001,MONTECITO WWTF
3 420111001,Summerland SD WWTP,CA0048054,06003042001,Summerland WWTP
3 440124003,Santa Cruz WWTP,CA0048194,06003010001,SANTA CRUZ WWTF
4A190107021,Saugus Water Reclamation Plant,CA0054313,06004009007,LACSD (Saugus WRP)
4A190107023,Valencia WRP,CA0054216,06004009008,LACSD (Valencia WRP)
4A190118001,Newhall Ranch WRP,CA0064556,,
4A560104001,Ojai Valley WWTP,CA0053961,06004002001,OJAI VALLEY SD WWTF
4A560105001,Oxnard WWTP,CA0054097,06004027001,Oxnard WWTP
4A560107009,Ventura WRF,CA0064726,06004006001,Ventura Water Reclamation Facility
4B190100001,Avalon WWTF,CA0054372,06004016001,AVALON WWRF
4B190101001,Burbank WRP,CA0055531,06004032001,Burbank WRP
4B190106001,Los Angeles-Glendale WWRP,CA0053953,06004010003,L.A.-Glendale WRP
4B190106002,Hyperion WWTP,CA0109991,06004010001,Hyperion WRP
4B190106004,Donald C. Tillman WWRP,CA0056227,06004010004,Tillman WRP
4B190106005,Terminal Island Water Reclamation Plant,CA0053856,06004010002,Terminal Island WRP
4B190107013,A.K. Warren Water Resource Facility,CA0053813,06004009001,LACSD (Joint Water Pollution Control Plant)
4B190107014,Long Beach WRP,CA0054119,06004009006,LACSD (Long Beach WRP)
4B190107015,Los Coyotes WRP,CA0054011,06004009005,LACSD (Los Coyotes WRP)
4B190107016,Whittier Narrows Water Reclamation Plant,CA0053716,06004009004,LACSD (Whittier Narrows WRP)
4B190107020,San Jose Creek Water Reclamation Plant,CA0053911,06004009003,LACSD (San Jose Creek WRP)
4B190107048,Malibu Mesa WRP,CA0059099,06004008010,MALIBU WWTF
4B190137001,Edward C. Little Water Recycling Plant (Recycled Water Irrigation),CA0063401,,
5A040102001,Chico Water Pollution Control Plant,CA0079081,06005011001,Chico WPCP
5A040106001,Sewerage Commission Oroville Region WWTP,CA0079235,06005088002,Sewerage Commis.-Oroville Reg. WWTP
5A060101001,City of Colusa WWTP,CA0078999,06005041001,Colusa WWTP
5A090100001,Hangtown Creek WRF,CAC439621,06005329001,Hangtown Creek WWTP
5A110101001,Willows WWTP,CAC447786,06005035001,WILLOWS WWTF
5A250100001,Alturas Municipal WWTP,CA0078921,06005240001,Alturas WWTP
5A290100001,Grass Valley City WWTP,CAC446876,06005198001,Grass Valley WWTF
5A290101001,Nevada City WWTP,CA0079901,06005200001,NEVADA CITY WWTF
5A290104001,Lake Wildwood WWTP,CAC439953,06005681001,Lake Wildwood WWTP
5A290104003,Lake of the Pines WWTP,CAC439955,06005421001,Lake of the Pines WWTP
5A290107002,Cascade Shores WWTP,CAC442921,06005682001,Cascade Shores WWTP
5A310106001,Dry Creek WWTP,CAC426201,06005227001,Dry Creek WWTP
5A31NP00001,Thunder Valley Casino WWTP,CAC442169,,
5A31NP00011,Lincoln City WWTF,CA0084476,06005234001,LINCOLN WWTF
5A31NP00042,Auburn WWTP,CAC448871,06005040001,AUBURN WWTF
5A320102001,Portola WWTP,CA0077844,06005018001,PORTOLA WWTF
5A320103001,American Valley WWTP,CA0078981,06005243001,QUINCY TREATMENT PLANT
5A321010001,Delleker WWTP,CA0081744,06005294001,Delleker WWTF
5A340108002,EchoWater Resource Recovery Facility,CA0077682,06005009001,Sacramento Regional County Sanitation District (Sacramento Regional Treatment Plant)
5A340114001,Sac City Combined WW Collection/TRT Sys,CA0079111,,
5A450001005,Cottonwood WWTP,CA0081507,06005285001,Cottonwood WWTP
5A450100001,Anderson WPCP,CA0077704,06005023002,Anderson WWTF
5A450103001,Clear Creek WWTP,CA0079731,06005098001,Clear Creek WWTF
5A450103004,Stillwater WWTF,CA0082589,06005098002,Stillwater WWTF
5A450105001,Shasta Lake WWTF,CA0079511,06005232001,SHASTA LAKE WWTF
5A470101001,Dunsmuir WWTP,CA0078441,06005204001,DUNSMUIR WWTF
5A470105001,Mount Shasta WWTP,CA0078051,06005157001,Mt. Shasta WWTF
5A480104001,Beach WWTF,CA0079588,06005253001,RIO VISTA WWTF
5A480105002,Easterly WWTP,CA0077691,06005184001,Easterly Wastewater Treatment Plant
5A480108001,Northwest WWTF,CA0083771,,
5A510100001,Live Oak City WWTP,CAC444735,06005024001,Live Oak WWTP
5A510101001,Yuba City WWTF,CA0079260,06005081001,Yuba City WRP
