Agency,Agency Address,Facility Name,Facility Address,Latitude,Longitude,Place/Project Type,SIC/NAICS,County,Region,Program,Regulatory Measure Status,Regulatory Measure Type,Order No.,WDID,NPDES No.,Adoption Date,Effective Date,Termination Date,Expiration/Review Date,Design Flow,Major/Minor,Complexity,TTWQ,# Enforcement Actions within 5 years,# Violations within 5 years
"121 San Vicente, LLC","721 North Crescent Drive, Beverly Hills, CA 90210",Proposed Commercial Building Project,"119-123 North San Vicente Boulevard, Beverly Hills, CA 90048",34.0674,-118.37432,"Service/Commercial Site, NEC",1542,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2013-0095,4B198901009,CAG994004,,07/23/2013,09/05/2017,07/06/2018,.12,Minor,,,0,0
1220 Santa Clara Propco LLC,"3131 Turtle Creek Boulevard Suite 310, Dallas, TX 75219",Skybox-Memorex,"1100 Memorex Drive, Santa Clara, CA 95050",37.383999,-121.936656,Domestic Site NEC,,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R2-2017-0048,2_43NPG444918,,,09/09/2021,07/06/2022,12/31/2023,,Minor,,,0,0
"1310 K Street Apartments Investors, LLC","5790 Fleet Street 140, San Diego, CA 92008","GW Extraction, Alexan San Diego, 1300 K Street","1300 K Street, San Diego, CA 92101",32.70839,-117.15282,Domestic Site NEC,,San Diego,9,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R9-2015-0013,,,,06/24/2016,12/22/2016,06/24/2017,,Minor,,,0,0
1500 North California Blvd LLC,"1981 North Broadway 415, Walnut Creek, CA 94596",1500 N California Blvd. Facility,"1500 North California Boulevard, Walnut Creek, CA 94596",,,Domestic Site NEC,,Contra Costa,2,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R2-2012-0012,2 071260001,CAG912002,04/02/2014,04/02/2014,03/22/2016,03/15/2017,,Minor,B,2,0,0
"1503 Venice, LLC","2001 Wilshire Boulevard 201, Santa Monica, CA 90403",1503 Venice Blvd Apartments,"1503 Venice Boulevard, Los Angeles, CA 90291",33.99671,-118.44831,"Residence, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2018-0125,4B198903054,CAG994004,,02/21/2020,12/07/2023,11/13/2023,.432,Minor,,,1,7
"15th & Market Street, LP","1111 Main Street 700, Vancouver, WA 98660",15th & Market Dewatering,"1450 Market Street, San Diego, CA 92101",32.712533,-117.150506,Domestic Site NEC,,San Diego,9,NPDNONMUNIPRCS,Historical,Enrollee,R9-2007-0034,9 000002550,CAG919001,02/22/2013,,05/20/2013,,0.288,Minor,A,1,0,0
1614-1618 Hilts LLC,"1100 South Hope Street 103, Los Angeles, CA 90015",1614-1618 Hilts Ave.,"1614 Hilts Avenue, Los Angeles, CA 90024",34.05559,-118.43176,"Residence, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2018-0125,4B198903026,CAG994004,,09/04/2019,12/10/2021,11/13/2023,.144,Minor,,,0,2
1790 Ten Corporation,"1790 10th Street, San Jose, CA 95109",498 South 4th Street - Spartan,"498 4th, San Jose, CA 95112",37.346288,-121.893795,Other,,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee,R2-2006-0075,2 438579001,CAG912002,,03/27/2002,02/03/2009,01/12/2012,.036,Minor,B,2,0,0
"1800 Rosecrans Partners, LLC","2301 Rosecrans Avenue 1150, El Segundo, CA 90245",Former Fairchild Controls Facility,"1800 Rosecrans Avenue, Manhattan Beach, CA 90266",33.901813,-118.381426,Manufacturing NEC,9999,Los Angeles,4,"NPDNONMUNIPRCS, WDRNONMUNIPRCS",Active,Enrollee - WDR,R4-2014-0187,4B198601040,,,11/04/2015,,,,,A,3,0,2
1801 Avenue of the Stars LP,"1801 Avenue Of The Stars 330, Los Angeles, CA 90056",Westfield Building (former Gateway West Building),"1801 Avenue of the Stars, Los Angeles, CA 90067",34.05944,-118.41667,"Service/Commercial Site, NEC",6512,Los Angeles,4,NPDESWW,Historical,NPDES Permit,97-094,4B191067001,CA0053287,07/21/1997,07/21/1997,03/02/2005,07/10/2002,.032,Minor,C,3,0,0
1950 MLK LLC,,1950 MLK LLC,"1950 Martin Luther King Way, CA 94704",37.87175,Error,Other,,Alameda,2,NPDNONMUNIPRCS,Historical,Enrollee,R2-2006-0075,2 019466001,CAG912002,05/05/2008,05/05/2008,12/02/2011,01/12/2012,,Minor,,,0,0
200 Saratoga Avenue Corrective Action Account,,Former Super 7,"200 Saratoga Avenue, Los Gatos, CA 95030",37.2275,Error,Other,,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee,R2-2006-0075,,CAG912002,,02/14/2007,09/15/2010,01/12/2012,,Minor,B,2,0,0
