Agency,Agency Address,Facility Name,Facility Address,Latitude,Longitude,Place/Project Type,SIC/NAICS,County,Region,Program,Regulatory Measure Status,Regulatory Measure Type,Order No.,WDID,NPDES No.,Adoption Date,Effective Date,Termination Date,Expiration/Review Date,Design Flow,Major/Minor,Complexity,TTWQ,# Enforcement Actions within 5 years,# Violations within 5 years
5223 W. Adams (LA) LLC,"4700 Wilshire Boulevard, Los Angeles, CA 90010",5217 Adams,"5213-5223 West Adams Boulevard, Los Angeles, CA 90016",34.03274,-118.35566,"Residence, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2018-0125,4B198903135,CAG994004,,07/28/2022,02/13/2025,11/13/2023,,Minor,,,0,8
"5601 - 5667 Santa Monica Blvd (LA) Owner, LLC","4700 Wilshire Boulevard, Los Angeles, CA 90010",5667 Santa Monica Boulevard,"5601- 5667 West Santa Monica Boulevard, Los Angeles, CA 90038",34.09107,-118.31329,"Residence, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2013-0095,4B198901131,CAG994004,,02/07/2017,05/15/2019,07/06/2018,,Minor,,,0,0
"5950 Jefferson, LLC","11400 West Olympic Boulevard 850, Los Angeles, CA 90064",5950 Jefferson Blvd Commercial Bldg,"5950 Jefferson Boulevard, Los Angeles, CA 90016",34.02084,-118.37783,"Service/Commercial Site, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2018-0125,4B198903027,CAG994004,,09/10/2019,12/10/2021,11/13/2023,.144,Minor,,,0,0
5th Rock LLC,"12625 High Bluff Drive 112, San Diego, CA 92130",Hard Rock Hotel San Diego,"5th Avenue and K Street, San Diego, CA 92101",,,Other,,San Diego,9,NPDNONMUNIPRCS,Historical,Enrollee,R9-2000-0090,9 000001334,CAG919001,02/25/2005,02/25/2005,08/04/2006,05/31/2006,,,A,3,0,0
600 Anton Boulevard Associates,"611 Anton Boulevard 710, Costa Mesa, CA 92626","Dewatering,Costa Mesa","602 Anton, Costa Mesa, CA 92626",33.690222,-117.881234,Other,1623,Orange,8,NPDESWW,Historical,WDR,93-03704,8 302693001,,04/23/1993,04/23/1993,,,.0001,,C,3,0,0
"601 Marshall Street Owner, LLC","145 Addison Avenue, Palo Alto, CA 94301","601 Marshall Street Owner, LLC","601 Marshall Street, Redwood City, CA 94063",,,Domestic Site NEC,,San Mateo,2,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R2-2017-0048,2_417207001,CAG912002,02/08/2012,05/24/2016,08/31/2017,09/01/2022,,Minor,,,0,0
"6041 Variel, LLC","21800 Oxnard Street 900, Woodland Hills, CA 91367",6041 Variel Avenue,"6041 Variel Avenue, Woodland Hills, CA 91367",,,"Residence, NEC",1522,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2018-0125,4B198901171,CAG994004,,05/14/2018,12/06/2021,11/13/2023,.144,Minor,,,0,0
616 Croft Avenue LLC,"6565 Sunset Boulevard 511, Los Angeles, CA 90028",Croft Avenue Properties,"612-616 North Croft Avenue, West Hollywood, CA 90048",34.08245,-118.3739,"Development Site, NEC",1522,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,R4-2008-0032,4B198900135,CAG994004,,11/15/2012,12/18/2013,06/05/2013,.144,Minor,,,0,0
620 Gramercy Place Homeowners Association,"620 South Gramercy Place 100, Los Angeles, CA 90005",620 Gramercy Place,"620 South Gramercy Place, Los Angeles, CA 90005",34.063126,-118.312813,"Residence, NEC",6514,Los Angeles,4,NPDNONMUNIPRCS,Active,Enrollee - NPDES,R4-2018-0125,4B198903071,CAG994004,,06/30/1997,,11/13/2023,.00075,Minor,B,3,2,4
623 La Peer LLC c/o The Kimpton Hotel & Restaurant Group,"222 Keamy Street 200, San Francisco, CA 94108",La Peer Hotel,"627 North La Peer Drive, West Hollywood, CA 90069",34.08159,-118.38693,"Development Site, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2013-0095,4B198901046,CAG994004,,11/21/2014,09/21/2016,07/06/2018,.432,Minor,,,0,0
"639 La Peer, LLC","659 North Robertson Boulevard, West Hollywood, CA 90069",La Peer,"637-641 North La Peer Drive, West Hollywood, CA 90069",34.08188,-118.38715,"Service/Commercial Site, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2018-0125,4B198903101,CAG994004,,10/25/2021,11/07/2023,11/13/2023,0.144,,,,1,7
6801 Canoga Ave LLC,"101 East Gay Street Unit 531, West Chester, PA 19380",River Pointe at Werner Center,"21401 Vanowen Boulevard, Los Angeles, CA 91303",34.19407,-118.59784,"Residence, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2018-0125,4B198903060,CAG994004,,12/16/2020,11/05/2024,11/13/2023,0.576,Minor,,,1,26
"6th Virgil, LLC","12121 Wilshire Boulevard, Los Angeles, CA 90049",Next on 6th,"2968 West 6th Street, Los Angeles, CA 90020",34.06369,-118.28618,Domestic Site NEC,,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2013-0095,4B198901079,CAG994004,,05/04/2016,02/21/2020,07/06/2018,.000576,Minor,,,0,0
"7-Eleven, Inc., Dallas","Po Box 711, Dallas, TX 75221-0711",Seven-Eleven Store #23818,"24156 Lake Dr, Crestline, CA 92325",34.243425,-117.274546,Other,,San Bernardino,6V,"NPDESWW, NPDNONMUNIPRCS",Historical,NPDES Permit,95-126,6B369209001,CAG916001,11/09/1995,11/09/1995,,,.0172,Minor,A,3,0,0
"730 Vermont Venture, LLC","718 West Business Highway 60, Dexter, MO 63841",730 Vermont Apartments,"730 South Vermont Avenue, Los Angeles, CA 90005",34.05914,-118.29115,Domestic Site NEC,,Los Angeles,4,NPDMUNIOTH,Active,Enrollee - NPDES,R4-2018-0125,4B198903106,CAG994004,,12/06/2021,,11/13/2023,0.144,Minor,A,1,1,21
76 Products Company,"Po Box 25376, Santa Ana, CA 92799-5376",Former Unocal 254814 Garden Grove,"9011 Westminster Boulevard, Garden Grove, CA 92844",33.75973,-117.97198,Gasoline Service Station,4959,Orange,8,NPDNONMUNIPRCS,Historical,Enrollee,96-018,8 302796001,CAG918001,,02/27/1997,12/02/1998,,.036,,A,3,0,0
777 Industrial Owner LLC,"1160 Battery Street 100, San Francisco, CA 94111",777 Industrial Road,"777 Industrial Road, San Carlos, CA 94070",37.50452,-122.24912,Domestic Site NEC,,San Mateo,2,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R2-2017-0048,2_41NPG447689,,,04/29/2022,11/03/2022,12/31/2023,,Minor,,,0,0
7771 Beverly LLC,"9220 Winnetka Avenue, Chatsworth, CA 91311",7771 Beverly LLC,"7771 Beverly Boulevard, Los Angeles, CA 90036",,,"Residence, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Active,Enrollee - NPDES,R4-2023-0429,4B198906002,CAG994004,,08/14/2024,,03/21/2029,.432,Minor,A,1,0,0
"7951 Beverly Blvd., LLC","9220 Winnetka Avenue, Chatsworth, CA 91311",303 Hayworth,"303 North Hayworth Avenue, Los Angeles, CA 90048",34.0764,-118.36304,"Residence, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2018-0125,4B198903082,CAG994004,,02/24/2021,02/13/2023,11/13/2023,.288,Minor,,,0,0
"812 Huntley, LLC","100 N Sycamore Avenue 41, Los Angeles, CA 90036",812 Huntley Dr.,"812 Huntley Drive, West Hollywood, CA 90069",34.0853,-118.38039,"Residence, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2013-0095,4B198901152,CAG994004,,09/12/2017,05/31/2019,07/06/2018,.144,Minor,,,0,0
818 Alta Vista LLC,"1811 Hi Point Street, Los Angeles, CA 90035",818 Alta Vista,"818 North Alta Vista Boulevard, Los Angeles, CA 90046",34.08576,-118.34709,Domestic Site NEC,,Los Angeles,4,NPDNONMUNIPRCS,Active,Enrollee - NPDES,R4-2018-0125,449440,,,10/31/2022,,11/13/2023,,Minor,A,1,0,2
8377 Blackburn Owner LLC,"12121 Wilshire Boulevard 801, Los Angeles, CA 90025",8377 Blackburn Ave,"8377-8387 Blackburn Avenue, Los Angeles, CA 90048",34.07226,-118.37279,"Residence, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2018-0125,,,,05/24/2022,04/14/2025,11/13/2023,,Minor,,,0,2
8490 Sunset Boulevard (WH) Owner LLC c/o CIM Group,"4700 Wilshire Boulevard, Los Angeles, CA 90010",Sunset La Cienega Project,"8474-8490 Sunset Boulevard, West Hollywood, CA 90069",34.09412,-118.37601,"Service/Commercial Site, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,R4-2013-0095,4B198901018,CAG994004,,09/30/2013,10/20/2015,07/06/2018,.15,Minor,,,0,0
8500 Burton Way LLC,"101 The Grove Drive, Los Angeles, CA 90036","8500 Burton Way, LLC","8500 Burton Way, Los Angeles, CA 90036",,,Other,,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,R4-2008-0032,4B198900076,CAG994004,,04/06/2011,08/02/2012,06/05/2013,.144,Minor,,,0,0
8500 Sunset Boulevard (WH) Owner LLC c/o CIM Group,"4700 Wilshire Boulevard, Los Angeles, CA 90010",Sunset La Cienega Project,"8500-8544 Sunset Boulevard, West Hollywood, CA 90028",,,"Residence, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,R4-2013-0095,4B198901026,CAG994004,,02/07/2014,09/24/2015,07/06/2018,.025,Minor,,,0,0
"8500 WH, LLC","6721 Melrose Avenue, Los Angeles, CA 90038",8500 Santa Monica,"8500 Santa Monica Boulevard, West Hollywood, CA 90069",34.08901,-118.37665,"Development Site, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Active,Enrollee - NPDES,R4-2023-0429,4B198906010,CAG994004,,07/01/2024,,03/21/2029,,Minor,,,0,0
852 N Knoll LLC,"3831 Lost Springs Drive, Calabasas, CA 91301",852 NW Knoll Dr,"852 Northwest Knoll Drive, West Hollywood, CA 90069",34.08644,-118.37723,Domestic Site NEC,,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2018-0125,4B198903147,CAG994004,,01/19/2023,06/18/2025,11/13/2023,.144,Minor,,,1,6
"8525 Pico, LLC","8525 Pico Boulevard, Los Angeles, CA 90035",8525 Pico LLC- Residential Apartment Project,"8525 Pico Boulevard, Los Angeles, CA 90035",34.054722,-118.379722,Other,1522,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,R4-2008-0032,4B197500272,CAG994004,,12/20/2007,02/02/2010,06/05/2013,.122,Minor,,,0,0
"855 Main Street RWC, LLC",,NPDES General Permit No. CAG912002,"San Francisco Region, CA",,,Domestic Site NEC,,Alameda,2,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R2-2017-0048,2_41NPG427782,,,12/10/2018,05/08/2020,,,Minor,,,0,0
"855 Main Street RWC, LLC",,851 Main Street,"851 Main Street, Redwood City, CA 94063",37.48892,-122.22711,Domestic Site NEC,,San Mateo,2,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R2-2017-0048,2_41NPG427782,,,12/10/2018,05/08/2020,,,Minor,,,0,0
"8570 National Owner, LLC","2341 Michigan Avenue, Santa Monica, CA 90404",National Job Site,"8570 national Boulevard, Culver City, CA 90232",34.02698,-118.38187,"Development Site, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Active,Enrollee - NPDES,R4-2023-0429,4B198906001,CAG994004,,07/22/2024,,03/21/2028,,Minor,,,0,0
"8600 Wilshire Blvd., LLC","11766 Wilshire Boulevard 1150, Los Angeles, CA 90025",8600 Wilshire,"8600 Wilshire Boulevard, Beverly Hills, CA 90211",34.06618,-118.37918,"Residence, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2013-0095,4B198901086,CAG994004,,06/13/2016,04/18/2018,07/06/2018,.108,Minor,,,0,0
"8728 Ashcroft, LLC","606 South Olive Street 2140, Los Angeles, CA 90014",8728 Ashcroft,"8728 Ashcroft Avenue, West Hollywood, CA 90048",34.0788,-118.3828,"Residence, NEC",1521,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2018-0125,4B198903019,CAG994004,,05/21/2019,05/04/2021,11/13/2023,.144,Minor,,,0,3
"8767 Wilshire Boulevard, LP","99 North La Cienega Boulevard 300, Beverly Hills, CA 90211",8767 Wilshire Blvd Office Bldg,"8767 Wilshire Boulevard, Beverly Hills, CA 90211",34.068333,-118.345278,Domestic Site NEC,6512,Los Angeles,4,NPDNONMUNIPRCS,Active,Enrollee - NPDES,R4-2023-0429,4B197500227,CAG994004,,06/14/2007,,03/21/2029,.075,Minor,,,0,2
"8833 Cynthia St, LLC","360 North Pacific Coast Highway Suite 2000, El Segundo, CA 90245",8833 Cynthia,"8833 Cynthia Street, West Hollywood, CA 90069",34.08731,-118.38408,"Residence, NEC",1522,Los Angeles,4,NPDNONMUNIPRCS,Active,Enrollee - NPDES,R4-2013-0095,4B198900032,CAG994004,,06/18/2009,,07/06/2018,.01,Minor,,,2,15
"8920 Sunset Boulevard, LLC","11661 San Vicente Boulevard 220, Los Angeles, CA 90049","8920 Sunset Boulevard, LLC","8920 West Sunset Boulevard, West Hollywood, CA 90069",34.09037,-118.38641,"Development Site, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2018-0125,4B198903053,CAG994004,,01/31/2020,11/05/2024,11/13/2023,.144,Minor,,,0,5
"904 North LA Brea (LA) Owner, LLC","4700 Wilshire Boulevard, Los Angeles, CA 90010",900 La Brea,"7077 Willoughby Avenue, Los Angeles, CA 90046",34.08707,-118.34345,"Residence, NEC",1522,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2013-0095,4B198901139,CAG994004,,04/12/2017,05/17/2019,07/06/2018,.288,Minor,,,0,0
9040 Sunset LLC c/o Witkoff Group,"40 West 57th Street, New York, NY 10019",WEHO Edition Project,"9040 Sunset Boulevard, West Hollywood, CA 90069",34.09036,-118.38912,"Residence, NEC",6513,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2013-0095,4B198901081,CAG994004,,04/15/2016,10/31/2016,07/06/2018,.025,Minor,,,0,0
907 Shenandoah Inv. LLC,"560 South Los Angeles Street 4, Los Angeles, CA 90013",Shenandoa Luxury Apartments,"907 South Shenandoah Street, Los Angeles, CA 90025",34.06064,-118.38167,"Residence, NEC",1522,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2013-0095,4B198901042,CAG994004,,10/01/2014,04/19/2017,07/06/2018,.06,Minor,,,0,0
"920 Bayswater Venture, LLC","923 Bayswater Avenue, Burlingame, CA 94010-3003",920 Bayswater Avenue,"920 Bayswater Avenue, Burlingame, CA 94010",37.58874,-122.35833,Domestic Site NEC,,San Mateo,2,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R2-2017-0048,2_41NPG435586,,,10/24/2019,07/09/2021,,0.576,Minor,,,0,0
"953 N. Sycamore (LA), LLC","1055 Wilshire Boulevard 1000, Los Angeles, CA 90017",953 North Sycamore Project,"953 North Sycamore Avenue, Los Angeles, CA 90038",34.08867,-118.34312,"Development Site, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2013-0095,4B198901123,CAG994004,,10/31/2016,07/06/2018,07/06/2018,.228,Minor,,,0,0
960 North Doheny Homeowners Association,"960 N Doheny Drive, West Hollywood, CA 90069",960 Doheny Condominium,"960 North Doheny Drive, West Hollywood, CA 90069",34.088873,-118.389772,"Residence, NEC",1522,Los Angeles,4,NPDNONMUNIPRCS,Active,Enrollee - NPDES,R4-2023-0429,4B196100003,CAG994004,,06/30/1999,,03/21/2029,.004,Minor,B,3,1,21
"961 La Cienega, LLC","6721 Melrose, Los Angeles, CA 90038",8500 Santa Monica,"961 La Cienega Boulevard, Los Angeles, CA 90069",34.08859,-118.37678,"Development Site, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Active,Enrollee - NPDES,R4-2023-0429,4B198906009,CAG994004,,07/22/2024,,03/21/2029,.216,Minor,,1,0,2
"9735 Washington Owner, LLC","1901 Avenue Of The Stars 1465, Los Angeles, CA 90067",9735 Washington Blvd,"9735 Washington Boulevard, Culver City, CA 90232",34.02257,-118.39655,Domestic Site NEC,,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2018-0125,4B198903033,CAG994004,,09/18/2019,02/24/2021,11/13/2023,.144,Minor,,,0,2
99 North La Cienega LP,"250 North Robertson Boulevard 421, Beverly Hills, CA 90211",La Cienega Center,"99 North La Cienega Boulevard, Beverly Hills, CA 90211",34.066656,-118.376277,Domestic Site NEC,1542,Los Angeles,4,NPDNONMUNIPRCS,Active,Enrollee - NPDES,R4-2023-0429,4B196100025,CAG994004,,09/04/1998,,03/21/2029,.15,Minor,B,3,0,3
9908 Santa Monica Blvd. LLC,"645 South Madison, 21st Fl, New York, NY 10022",9908 Santa Monica Blvd,"9900-9916 South Santa Monica Boulevard, Beverly Hills, CA 90212",34.06608,-118.41182,Domestic Site NEC,,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2018-0125,4B198903110,CAG994004,,03/02/2022,05/05/2025,11/13/2023,.144,Minor,,,0,4
999 Arques Corporation,"1610 Skyhawk Road, Escondido, CA 92029","999 Arques, New England Mutual","999 Arques, Sunnyvale, CA 94088",37.375,-122,Groundwater Cleanup Site,3674(+),Santa Clara,2,NPDNONMUNIPRCS,Historical,NPDES Permit,94-12107,2 438285003,CAG912003,09/21/1994,09/21/1994,,,.072,"Major, Minor",B,2,0,0
A B Dick Company,"5700 West Touhy Avenue, Chicago, IL 60648","GW Cleanup-C.M.,Cadillack","3598 Cadillack Avenue, Costa Mesa, CA 92708",,,Other,4959,Orange,8,NPDNONMUNIPRCS,Historical,Enrollee,91-063,8 302716001,CAG918001,,12/04/1991,10/01/1996,,.0001,,A,3,0,0
A L Gilbert Company,"Po Box 38, Oakdale, CA 95361-0038",A L Gilbert Co High Speed Rail Receiving System Project,"4431 Jessup Road, Ceres, CA 95307",37.55195,-120.91373,Other,,Stanislaus,5S,NPDNONMUNIPRCS,Historical,Enrollee,5-00-175,5B50NP00020,CAG995001,,09/27/2006,02/01/2007,,,Minor,C,3,0,0
A&B Investments,"Po Box 7031, Downey, CA 90241","GW Cleanup-Westmin.,Westmin","9002 Westminister, Westminster, CA 92683",33.759432,-117.972268,Other,4959,Orange,8,"NPDESWW, NPDNONMUNIPRCS",Historical,NPDES Permit,88-020,8 302535001,CAG918001,03/11/1988,03/11/1988,,03/01/1993,.002,Minor,A,3,0,0
A&D Compserv,"2721 West Edinger Avenue, Santa Ana, CA 92704","GW Cleanup-S.A.,Edinger Ave","2721 Edinger, Santa Ana, CA 92704",33.72729,-117.906056,Other,5541,Orange,8,NPDNONMUNIPRCS,Historical,Enrollee,R8-2002-0007,8 303427001,CAG918001,,05/13/2003,10/19/2005,,,,B,2,0,0
AA CA Property Portfolio 2 LLC,"1100 Hope Street 103, Los Angeles, CA 90015",718 North Hudson Avenue,"718 North Hudson Avenue, Los Angeles, CA 90038",34.08408,-118.33183,"Residence, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2018-0125,4B198903023,CAG994004,,06/21/2019,07/19/2021,11/13/2023,.144,Minor,,,0,2
"AAF-McQuay, Inc","13600 Industrial Park Boulevard, Minneapolis, MN 55441",Visalia Cleanup-Snyder General,"6941 W Goshen, Visalia, CA 93291",36.34094,-119.37005,Groundwater Cleanup Site,3496,Tulare,5F,NPDNONMUNIPRCS,Historical,NPDES Permit,R5-2005-0059,5D542001002,CA0082511,04/29/2005,05/09/2005,05/26/2010,04/28/2010,2.88,Minor,B,2,0,0
"ABP 850 Coast, LLC","820 2nd Street, Encinitas, CA 92024","GW Extraction, ABP 850 Coast, LLC","850 South Coast 101 Highway, Encinitas, CA 92024",33.041722,-117.297306,Domestic Site NEC,,San Diego,9,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R9-2015-0013,,,,03/25/2016,09/28/2017,03/25/2017,0.1440,Minor,,,0,0
AC Label Company,"47690 Westinghouse Drive, Fremont, CA 94539",A C Label/Berryman PRD,"350 Montgomery, San Jose, CA 95110",37.336269,-121.904327,Groundwater Cleanup Site,2752,Santa Clara,2,NPDNONMUNIPRCS,Historical,NPDES Permit,97-00801,2 438235002,CAG912003,01/15/1997,01/15/1997,,,.001,"Major, Minor",B,2,0,0
AC Products Inc,"9930 Painter Avenue, Whittier, CA 90605",GW Cleanup-Anaheim-AC Product P-2,"1601 Placentia, Anaheim, CA 92806",33.85613,-117.88415,Manufacturing NEC,2851,Orange,8,NPDNONMUNIPRCS,Active,Enrollee - NPDES,R8-2012-0027,8 303423001,CAG918001,,09/23/2002,,07/01/2017,,,A,3,0,0
AC Products Inc,"9930 Painter Avenue, Whittier, CA 90605","GW Cleanup-Placentia,La Jolla P1","1601 North La Jolla Street, Placentia, CA 92870",33.859171,-117.870577,"Service/Commercial Site, NEC",4959,Orange,8,NPDNONMUNIPRCS,Historical,Enrollee,96-018,8 302814001,CAG918001,,12/10/1996,05/02/2007,07/01/2017,.1728,Minor,B,3,0,0
"AC/S Environmental Security, MCB Camp Pendleton","Po Box 555151, Camp Pendleton, CA 92055-5151",Airfield Comm & Elec Upgrd Dew,"Camp Pendelon, Oceanside, CA 92049",,,Other,1623,San Diego,9,NPDNONMUNIPRCS,Historical,Enrollee,96-041,9 000000847,CAG919002,,10/07/1997,06/12/2001,,.3,,A,3,0,0
"AC/S Environmental Security, MCB Camp Pendleton","Po Box 555151, Camp Pendleton, CA 92055-5151",MCAS Mals Additions &Util Dewa,"Camp Pendleton, Oceanside, CA 92049",,,Other,1623,San Diego,9,NPDNONMUNIPRCS,Historical,Enrollee,96-041,9 000000831,CAG919002,,06/19/1997,06/12/2001,,.72,,A,3,0,0
"AC/S Environmental Security, MCB Camp Pendleton","Po Box 555151, Camp Pendleton, CA 92055-5151",MCAS Fuel Farm UST Rem Dew,"Box 555151 Bldg 23123, Camp Pendleton, CA 92055",,,Other,1623,San Diego,9,NPDNONMUNIPRCS,Historical,Enrollee,96-041,9 000000888,CAG919002,,07/31/1999,03/01/2001,,0,,A,3,0,0
"AC/S Environmental Security, MCB Camp Pendleton","Po Box 555151, Camp Pendleton, CA 92055-5151",MCAS Double Hangr ADDTNS Dew,"Camp Pendelton, Oceanside, CA 92049",,,Other,1623,San Diego,9,NPDNONMUNIPRCS,Historical,Enrollee,96-041,9 000000835,CAG919002,,07/11/1997,06/12/2001,,.12,,A,3,0,0
"AC/S Environmental Security, MCB Camp Pendleton","Po Box 555151, Camp Pendleton, CA 92055-5151",Emergency Spill Cntrl Dewater,"Mcas (P-053), Oceanside, CA 92049",,,Other,1623,San Diego,9,NPDNONMUNIPRCS,Historical,Enrollee,96-041,9 000000860,CAG919002,,08/24/1998,06/12/2001,,1,,A,3,0,0
"AC/S Environmental Security, MCB Camp Pendleton","Po Box 555151, Camp Pendleton, CA 92055-5151",Basilone Rd/Smriv Fld Cntl Dew,"Basilone, Camp Pendleton, CA",,,Other,1623,San Diego,9,NPDNONMUNIPRCS,Historical,Enrollee,96-041,9 000000868,CAG919002,,08/27/1998,03/01/2001,,.5,,A,3,0,0
ACI Distrution,"750 Walsh Avenue, Santa Clara, CA 95050","750 Walsh, ACI Distribution","750 Walsh, Santa Clara, CA 95050",37.370021,-121.948096,Other,5541,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee,01-100,2 438467002,CAG912002,,05/19/1993,09/10/2002,,.00576,Minor,A,2,0,0
AECOM,"999 Town & Country Road, Orange, CA 92868","Dewatering,Municipal Water Pipeline","Randall Avenue, Colton (And Rialto), CA",,,Utility Structure,,San Bernardino,8,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R8-2015-0004,8 363003001,,,06/23/2020,09/30/2020,06/30/2020,,Minor,,,0,0
AERC Desmonds Towers LLC,"2 Venture, Irvine, CA 92618",Desmond Wilshire Project,"5520 West Wilshire Boulevard, Los Angeles, CA 90036",34.06226,-118.34884,"Development Site, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2013-0095,4B198901001,CAG994004,,07/12/2013,06/28/2017,07/06/2018,.036,Minor,,,0,0
"AES Alamitos Energy, LLC","690 North Studebaker Road, Long Beach, CA 90803",AES Alamitos Energy Center,"690 North Studebaker Road, Long Beach, CA 90803",33.76921,-118.10176,Power Plant,4911,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2018-0125,4B198901149,CAG994004,,08/08/2017,06/26/2019,11/13/2023,.72,Minor,,,0,0
AES Alamitos LLC,"690 North Studebaker Road, Long Beach, CA 90803",Alamitos Generating Station,"690 North Studebaker Road, Long Beach, CA 90803",33.76592,-118.10366,Power Plant,4911,Los Angeles,4,NPDINDLRG,Active,NPDES Permit,R4-2020-0134,4B192111006,CA0001139,11/12/2020,01/01/2021,,12/31/2025,729,Major,A,1,3,27
AES Construction Group,"8100 Balboa Place, Van Nuys, CA 91406","GW Cleanup-Orange,Cardinal","11790 Cardinal, Orange, CA 92843",33.76533,-117.923057,Other,4959,Orange,8,NPDNONMUNIPRCS,Historical,Enrollee,96-018,8 303287001,CAG918001,,03/17/2000,07/06/2000,,.1,,A,3,0,0
AES Huntington Beach LLC,"21730 Newland Way, Huntington Beach, CA 92646",Huntington Beach Generating Station,"21730 Newland Street, Huntington Beach, CA 92646",33.646805,-117.979596,Power Plant,4911,Orange,8,"NPDESWW, NPDINDLRG, NPDNONMUNIPRCS",Active,NPDES Permit,R8-2020-0040,8 302015004,CA0001163,12/04/2020,01/01/2021,,12/31/2025,127,Major,A,1,0,48
AES Redondo Beach LLC,"1100 North Harbor Drive, Redondo Beach, CA 90277",Redondo Generating Station,"1100 North Harbor Drive, Redondo Beach, CA 90277",33.850955,-118.396523,Power Plant,4911,Los Angeles,4,NPDINDLRG,Historical,NPDES Permit,R4-2016-0222,4B192111003,CA0001201,06/09/2016,10/01/2016,07/24/2025,09/30/2021,889,Major,A,1,4,24
AG Spanos Company,"10100 Trinity Park Way 5, Stockton, CA 95219",Spanos Park West Project DW,"Eight Mile Rd/ West of I-5, Stockton, CA 95207",,,Other,1799,San Joaquin,5S,NPDNONMUNIPRCS,Historical,Enrollee,5-00-175,5B39NP00002,CAG995001,,05/15/2001,04/17/2007,06/01/2005,.25,Minor,C,3,0,0
AGCX Trust,"6 Sixpence, Coronado, CA 92118","Gonzalez-Rubio Residence, 8 the Point","8 the Point, Coronado, CA 92118",,,Domestic Site NEC,,San Diego,9,NPDNONMUNIPRCS,Historical,Enrollee,R9-2007-0034,9 000002536,CAG919001,12/21/2012,12/21/2012,01/31/2014,,1.152,Minor,C,3,0,0
AIMCO,"26 Executive Park 125, Irvine, CA 92614",Villas at Park La Brea,"530 Burnside, Los Angeles, CA 90036",34.06581,-118.350103,Other,1542,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,97-045,4B196000081,CAG994001,,04/08/1993,10/05/2004,,.072,,C,3,0,0
