facility_name,place_id,structured_output,completion_token,prompt_token,total_token,reasoning_token,cost_usd
Avila WWTP,206888,True,2181,3559,5740,1856,
Calistoga City Dunaweal WWTP,212750,True,4108,4551,8659,3584,
City of Morro Bay Water Reclamation Facility,882248,True,5271,3736,9007,4288,
Clovis WWTF,214899,True,2129,3276,5405,1792,
Covelo POTW,215966,True,3458,4071,7529,2944,
Dunsmuir WWTP,220850,True,3366,3831,7197,2752,
EBMUD WPCP,222132,True,3365,3393,6758,2752,
Membrane Filtration/Reverse Osmosis Facility - Escondido,846371,True,6605,4275,10880,5952,
Eureka City Elk River WWTP,223010,True,207,3270,3477,192,
Forestville Water District,224901,True,4788,4707,9495,4224,
Delleker WWTP,219530,True,1671,3419,5090,1600,
Healdsburg City WWTP,229922,True,4118,3579,7697,3712,
Holtville City WWTP,230588,True,3409,3389,6798,2752,
IEUA Regional Plant No. 1,259165,True,4266,4555,8821,3584,
IEUA Regional Plant No. 2,259166,True,2469,4555,7024,2240,
Whittier Narrows Water Reclamation Plant,235826,True,2285,3520,5805,2048,
San Jose Creek Water Reclamation Plant,260156,True,2006,3293,5299,1536,
Linda Cnty Water District WWTP,237060,True,3333,4352,7685,2624,
Malibu Mesa WRP,242162,True,3889,3656,7545,3520,
City of Manteca WW Quality Control Facility,239343,True,3483,3780,7263,2752,
Marin CSD 5 Paradise Cove WWTP,239498,True,1929,3469,5398,1536,
McKinleyville WWTP,240093,True,3784,4396,8180,3264,
Montecito SD WWTP,241288,True,3140,3661,6801,2496,
Mountain House WWTP,241598,True,5318,3376,8694,4672,
Mt. View Sanitary District WWTP,241815,True,4069,3877,7946,3520,
Nevada City WWTP,244141,False,4205,3583,7788,3520,
OCSD Plant 1,758392,True,2421,3107,5528,2240,
Palo Alto Regional WQCP,247457,True,4406,4082,8488,3712,
Redway POTW,252211,True,4457,3751,8208,3840,
Hammonton Gold Village WWTP,229559,True,2000,3344,5344,1792,
San Jose/Santa Clara WPCP,255333,True,5409,3967,9376,4544,
San Simeon WWTP,255462,True,3569,3421,6990,3328,
Saugus Water Reclamation Plant,260494,True,4917,4026,8943,4096,
Sewerage Commission Oroville Region WWTP,246251,True,4010,3486,7496,3328,
Shasta Lake WWTF,256627,True,1511,3289,4800,1152,
SVCW WWTP,255833,True,6572,4119,10691,5824,
SMWD - Chiquita WRP,257518,True,3075,3369,6444,2496,
Wastewater Recovery Center,258739,True,7047,4634,11681,5952,
Summerland SD WWTP,259377,True,3043,3392,6435,2496,
Mineral WWTP,240864,True,3189,3803,6992,2752,
Discovery Bay WWTP,220315,True,3596,3718,7314,2880,
Treasure Island WWTP/DOD,266328,True,2103,3391,5494,1536,
UC Davis Main WWTP,268926,True,3071,3202,6273,2560,
Ukiah City WWTP,268960,True,4553,3717,8270,4032,
US Navy Naval Air Facility WWTP,269449,True,2558,3393,5951,2240,
Vallejo Flood & Wastewater District (VFWD) WWTP,270006,True,1173,3321,4494,960,
Watsonville WWTP,271872,True,2582,3466,6048,2176,
Woodland Water Pollution Control Facility,272960,True,4277,5382,9659,3520,
Carmel Area WWTP,213281,True,4399,4050,8449,3456,
Coachella Valley WD WWTP,216446,True,5794,4381,10175,4992,
Eureka City Elk River WWTP,223010,True,2557,3337,5894,1856,
Dunsmuir WWTP,220850,True,3734,4113,7847,2944,
Forestville Water District,224901,True,4203,5191,9394,3648,
Delleker WWTP,219530,True,3495,3561,7056,3264,
McKinleyville WWTP,240093,True,3535,4821,8356,3136,
OCSD Plant 1,758392,True,847,3299,4146,832,
Palo Alto Regional WQCP,247457,True,4467,4539,9006,3904,
San Jose/Santa Clara WPCP,255333,True,6047,5129,11176,4928,
SMWD - Chiquita WRP,257518,True,4516,3903,8419,3520,
Ukiah City WWTP,268960,True,4812,4238,9050,4288,
Vallejo Flood & Wastewater District (VFWD) WWTP,270006,True,1990,3620,5610,1600,
