Level,Source,Macro_F1,Macro_Accuracy,Macro_Missed_Rate,Macro_Hallucinated_Rate,Macro_State_Accuracy,Label_Count
Leaf,LLM,0.6056179658498706,0.9147869674185464,0.24509674744637147,0.33753256976941187,0.7331720925571624,57
Leaf,Keyword,0.4955216678150369,0.8273809523809526,0.45562405728893374,0.27361149267399265,0.4197814925258534,54
Family,LLM,0.8336767743310906,0.9138655462184875,0.12737474588497605,0.1439691027926322,0.8106809111604508,17
Family,Keyword,0.3604626054453044,0.7605042016806723,0.6278479619272458,0.1379594820384294,0.235742624809121,17
