Place ID,order_key,PDF_File,as_of_dates,n_snapshots
204486,134658,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
204486,403980,2014_0153_dwq.pdf,2026-08-13,1
204492,148092,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
204492,422235,OakShoresDayUseArea_NOA.pdf,2026-08-13,1
204870,395089,R7-2014-0049.pdf,2021-06-01,1
204870,447659,R7-2022-0008.pdf,2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,6
205205,147220,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
205205,397480,97-010-dwq.pdf,2026-08-13,1
205259,133528,05-025.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
205259,429883,1_AlpMeadWW_NOA.pdf,2026-08-13,1
205325,428906,R5-2014-0033.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
205325,428906,r5-2020-0004_npdes_minor_mod.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
205396,131411,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
205398,,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
205477,448119,Order R2-2022-0019 AmCan NPDES reissue Jun-2022.pdf,2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,5
205477,448119,american canyon R2-2006-0036.pdf,2023-06-01;2024-06-01;2025-06-01;2026-06-01,4
205477,R2-2017-0008,,2021-06-01;2022-06-01,2
205543,140328,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
205741,429568,R5-2014-0100.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01,4
205741,429568,r5-2019-0068_npdes.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01,4
205741,458134,R5-2014-0100.pdf,2025-06-01;2026-06-01,2
205741,458134,R5-2025-0011_npdes.pdf,2025-06-01;2026-06-01;2026-08-13,3
205741,458134,r5-2019-0068_npdes.pdf,2025-06-01;2026-06-01,2
205781,R2-1993-0022,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
205781,R2-2004-0043,,2026-08-13,1
