facility_name,place_id,structured_output,completion_token,prompt_token,total_token,reasoning_token,cost_usd
Avila WWTP,206888,True,1043,10929,11972,0,
Calistoga City Dunaweal WWTP,212750,True,2176,12260,14436,0,
City of Morro Bay Water Reclamation Facility,882248,True,2147,11922,14069,0,
Clovis WWTF,214899,True,1507,11412,12919,0,
Coachella Valley WD WWTP,216446,True,2444,12022,14466,0,
Covelo POTW,215966,True,1589,11502,13091,0,
Dunsmuir WWTP,220850,True,1713,11519,13232,0,
EBMUD WPCP,222132,True,1897,11832,13729,0,
Membrane Filtration/Reverse Osmosis Facility - Escondido,846371,True,1112,13475,14587,0,
Eureka City Elk River WWTP,223010,False,1337,12215,13552,0,
Forestville Water District,224901,True,1465,12708,14173,0,
Delleker WWTP,219530,True,854,10887,11741,0,
Healdsburg City WWTP,229922,True,1382,12796,14178,0,
Holtville City WWTP,230588,True,1230,10765,11995,0,
IEUA Regional Plant No. 1,259165,True,1938,12499,14437,0,
IEUA Regional Plant No. 2,259166,True,2663,12499,15162,0,
Whittier Narrows Water Reclamation Plant,235826,True,1122,10887,12009,0,
San Jose Creek Water Reclamation Plant,260156,True,895,10888,11783,0,
Linda Cnty Water District WWTP,237060,True,1657,11859,13516,0,
City of Manteca WW Quality Control Facility,239343,True,1889,11776,13665,0,
Marin CSD 5 Paradise Cove WWTP,239498,True,904,10838,11742,0,
McKinleyville WWTP,240093,True,1176,12308,13484,0,
Montecito SD WWTP,241288,True,1467,11182,12649,0,
Mountain House WWTP,241598,True,1339,11119,12458,0,
Mt. View Sanitary District WWTP,241815,True,2038,12230,14268,0,
Nevada City WWTP,244141,True,1448,10964,12412,0,
OCSD Plant 1,758392,True,1988,14032,16020,0,
Palo Alto Regional WQCP,247457,False,2104,11520,13624,0,
Redway POTW,252211,True,1484,11167,12651,0,
Hammonton Gold Village WWTP,229559,True,895,10683,11578,0,
San Jose/Santa Clara WPCP,255333,True,3505,14037,17542,0,
San Simeon WWTP,255462,True,1164,10912,12076,0,
Saugus Water Reclamation Plant,260494,True,1386,11595,12981,0,
Sewerage Commission Oroville Region WWTP,246251,True,2172,11079,13251,0,
Shasta Lake WWTF,256627,True,1014,10636,11650,0,
SVCW WWTP,255833,True,2056,11579,13635,0,
Summerland SD WWTP,259377,True,1704,10858,12562,0,
Mineral WWTP,240864,True,962,11213,12175,0,
Discovery Bay WWTP,220315,True,1356,11127,12483,0,
Treasure Island WWTP/DOD,266328,True,1317,11640,12957,0,
UC Davis Main WWTP,268926,True,908,10546,11454,0,
Ukiah City WWTP,268960,True,2077,11633,13710,0,
US Navy Naval Air Facility WWTP,269449,False,1089,10745,11834,0,
Vallejo Flood & Wastewater District (VFWD) WWTP,270006,True,1377,11684,13061,0,
Watsonville WWTP,271872,True,1615,11179,12794,0,
Woodland Water Pollution Control Facility,272960,True,1819,13053,14872,0,
Carmel Area WWTP,213281,True,2747,11530,14277,0,
Malibu Mesa WRP,242162,False,1622,11412,13034,0,
Wastewater Recovery Center,258739,True,3923,12493,16416,0,
J.B. Latham WWTP,236649,True,1385,14675,16060,0,
