facility_name,place_id,structured_output,completion_token,prompt_token,total_token,reasoning_token,cost_usd
Avila WWTP,206888,True,2359,3534,5893,1734,
Calistoga City Dunaweal WWTP,212750,True,4631,4644,9275,3159,
City of Morro Bay Water Reclamation Facility,882248,True,8462,4377,12839,7242,
Clovis WWTF,214899,True,3921,3940,7861,3264,
Coachella Valley WD WWTP,216446,True,5051,4408,9459,3700,
Covelo POTW,215966,True,3264,4061,7325,2271,
Dunsmuir WWTP,220850,True,3155,4108,7263,2182,
EBMUD WPCP,222132,True,5210,4025,9235,3862,
Membrane Filtration/Reverse Osmosis Facility - Escondido,846371,True,3623,5463,9086,3082,
Eureka City Elk River WWTP,223010,True,4208,4414,8622,3342,
Forestville Water District,224901,True,7003,5236,12239,6139,
Delleker WWTP,219530,True,2934,3542,6476,2234,
Healdsburg City WWTP,229922,True,5066,4637,9703,4203,
Holtville City WWTP,230588,True,4007,3376,7383,3185,
IEUA Regional Plant No. 1,259165,True,3291,4622,7913,1999,
IEUA Regional Plant No. 2,259166,True,3537,4622,8159,3148,
Whittier Narrows Water Reclamation Plant,235826,True,2671,3484,6155,2071,
San Jose Creek Water Reclamation Plant,260156,True,2427,3560,5987,1791,
Linda Cnty Water District WWTP,237060,True,6009,4333,10342,4990,
Malibu Mesa WRP,242162,True,2484,3660,6144,1709,
City of Manteca WW Quality Control Facility,239343,True,4295,4040,8335,3110,
Marin CSD 5 Paradise Cove WWTP,239498,True,1970,3456,5426,1295,
McKinleyville WWTP,240093,True,6590,4774,11364,5896,
Montecito SD WWTP,241288,True,3450,3717,7167,2602,
Mountain House WWTP,241598,True,3474,3342,6816,2695,
Mt. View Sanitary District WWTP,241815,True,4069,3884,7953,2633,
Nevada City WWTP,244141,True,2766,3558,6324,1770,
OCSD Plant 1,758392,True,6256,6162,12418,5324,
Palo Alto Regional WQCP,247457,True,3667,4504,8171,2113,
Redway POTW,252211,True,3067,3723,6790,1983,
Hammonton Gold Village WWTP,229559,True,2028,3322,5350,1659,
San Jose/Santa Clara WPCP,255333,True,5593,5731,11324,3913,
San Simeon WWTP,255462,True,2016,3479,5495,1344,
Saugus Water Reclamation Plant,260494,True,3294,4089,7383,2253,
Sewerage Commission Oroville Region WWTP,246251,True,3754,3640,7394,2564,
Shasta Lake WWTF,256627,True,2140,3273,5413,1352,
SVCW WWTP,255833,True,6249,4096,10345,5034,
Wastewater Recovery Center,258739,True,6791,4626,11417,5407,
Summerland SD WWTP,259377,True,2890,3469,6359,2115,
Mineral WWTP,240864,True,2174,3789,5963,1604,
Discovery Bay WWTP,220315,True,3280,3713,6993,2569,
Treasure Island WWTP/DOD,266328,True,3888,4270,8158,2994,
UC Davis Main WWTP,268926,True,2041,3180,5221,1464,
Ukiah City WWTP,268960,True,4383,4249,8632,3404,
US Navy Naval Air Facility WWTP,269449,True,2765,3367,6132,2152,
Vallejo Flood & Wastewater District (VFWD) WWTP,270006,True,3757,4265,8022,2843,
Watsonville WWTP,271872,True,3512,3777,7289,2533,
Woodland Water Pollution Control Facility,272960,True,3534,5395,8929,2546,
Carmel Area WWTP,213281,True,4762,4012,8774,3145,
J.B. Latham WWTP,236649,True,2420,6470,8890,1628,
Lancaster Water Reclamation Plant,236378,True,4888,4888,9776,3809,
Hilton Creek CSD Package STP,230429,True,2008,3247,5255,1652,
Clear Creek WWTP,214802,True,4538,5879,10417,3165,
EchoWater Resource Recovery Facility,254981,True,6929,4697,11626,5531,
Tesoro Viejo WWTP,817457,True,4586,4167,8753,4060,
Riverdale WWTF,273185,True,4838,3699,8537,4359,
City of San Clemente WRP,255218,True,5023,6467,11490,4158,
Civita Water Reclamation Facility,849194,True,3240,3513,6753,2948,
Housing Authority Cnty of Merced - Los Banos,240362,True,1626,3396,5022,1429,
Hyperion Advanced Water Purification Facility,888692,True,4020,4861,8881,3165,
South Entrance Wastewater Facility,826481,True,2764,3681,6445,2522,
