"CWNS_ID","FACILITY_ID","LOCATION_TYPE","LATITUDE","LONGITUDE","DATUM","ADDRESS","ADDRESS_2","CITY","STATE_CODE","ZIP_CODE","COUNTY_FIPS","COUNTY_NAME"
"17001501001",1114095,Point,"38.8317",-88.7729,NAD83,ROUTE 37 SOUTH,,Farina,IL,"62838",,
"17006911001",1114288,Point,"41.114602",-90.163250,NAD83,,VILLAGE HALL,Altona,IL,"61414",,
"17007200001",1114306,Point,"38.5435",-89.6102,NAD83,"310 EAST RAILROAD STREET",,Albers,IL,"62215",,
"17007712001",1114375,Point,"42.38467",-89.51518,NAD83,"5718 NORTH FAWVER ROAD",,Dakota,IL,"61018",,
"17007813001",1114383,Point,"40.8653",-90.7541,NAD83,,P.O. BOX 399,Kirkwood,IL,"61447",,
"18000328001",1120166,Point,"39.4289",-87.4319,NAD83,"3200 S SR 63",,Terre Haute,IN,"47802",,
"18002110001",1120270,Point,"41.5855",-86.6803,NAD83,"2101 BOYD BLVD",,La Porte,IN,"46350-6745",,
"18004874001",1120435,Point,"41.6513",-85.4133,NAD83,"402 NURSERY ST",,Lagrange,IN,"46761",,
"19000050001",1123497,Point,"42.6094",-91.7372,NAD83,UNKNOWN,"0.5 MI W SLATER AVE. 0.4 OF A MILE S OF ALICE ST.",Aurora,IA,"50607",,
"19000259001",1123676,Point,"41.1392",-92.6175,NAD83,US HWY 63 & 182ND ST,,Eddyville,IA,"52553",,
"19000403001",1123797,Point,"42.3469",-95.4828,NAD83,"1201 1ST STREET",,Ida Grove,IA,"51445",,
"19000432001",1123826,Point,"41.467",-92.2391,NAD83,"13098 190TH AVE",,Keswick,IA,"50136",,
"19000511001",1123900,Point,"41.7498",-90.4432,NAD83,"CITY CLERK, CITY HALL",,Mc Causland,IA,"52758",,
"19000886001",1124226,Point,"41.8728",-91.8406,NAD83,"120 5TH STREET N",,Walford,IA,"52351",,
"16000078001",1128628,Point,"46.8556",-116.3981,NAD83,CORNER OF HIGHWAY 3 AND HIGHWAY 8,BOVILL WWTP,Bovill,ID,"83806",,
"16000153001",1128681,Point,"43.3088",-112.1921,NAD83,"490 ROOSEVELT",FIRTH WWTP,Firth,ID,"83236",,
"16000185001",1128709,Point,"47.7694",-116.8308,NAD83,"10789 NORTH ATLAS ROAD",HARSB WWTP,Hayden,ID,"83835",,
"16000219001",1128740,Point,"46.5009",-116.3198,NAD83,HIGHWAY 7 (NEZ PERCE RESERVATION),WASTEWATER TREATMENT FACILITY (WWTF),Ahsahka,ID,"83520",,
"20000503001",1130327,Point,"38.1264",-97.7708,NAD83,UNKNOWN,,Buhler,KS,"67522",,
"20001315001",1130584,Point,"38.1262",-99.7050,NAD83,,TWNSH 22S RANGE 22W,Hanston,KS,"67849",,
"20006846001",1130691,Point,"39.7873",-95.076,NAD83,RAYMOND WHITTAKER,,Troy,KS,"66087",,
"29001009001",1133239,Point,"38.5847",-92.1691,NAD83,"401 Mokane Road",,Jefferson City,MO,"65101",,
"29001015001",1133262,Point,"39.106",-93.158306,NAD83,"2232 Watermill Road",,Marshall,MO,"65340",,
"29001022001",1133274,Point,"39.730774",-94.869801,NAD83,"3500 HIGHWAY 759",,Saint Joseph,MO,"64504-1014",,
"29001066001",1133347,Point,"38.869835",-92.899747,NAD83,"213 College Street",,Pilot Grove,MO,"65276",,
"29001237010",1133578,Point,"38.865271",-92.435786,NAD83,,,Columbia,MO,"65203",,
"29001237034",1133600,Point,"39.123421",-92.237,NAD83,SE OF RT U AND RICKETTS RD,,Hallsville,MO,"65255",,
"29002011001",1133629,Point,"40.5006",-95.0366,NAD83,,,Clearmont,MO,"64431",,
"29002480001",1133862,Point,"39.05958",-93.81467,NAD83,"15251 LONG ST",,Mayview,MO,"64071",,
"29003353001",1133948,Point,"38.761446",-92.475783,NAD83,"0.25 miles south of Hwy 179 and School Rd",,Jamestown,MO,"65046",,
"29003715000",1134005,Point,"37.44788",-91.671857,NAD83,"345 COUNTY ROAD 6670",,Salem,MO,"65560",,
"29004052001",1134071,Point,"37.56478",-90.298503,NAD83,"130 BUFORD BLVD","FREDERICKTOWN, MO",Fredericktown,MO,"63645",,
"21000056001",1139524,Point,"39.058611",-84.618056,NAD83,"2999 AMSTERDAM RD",,Erlanger,KY,"41017",,
"21000093001",1139558,Point,"38.3579",-85.1888,NAD83,PLANTSIDE DR HWY 55 S,,Eminence,KY,"40019",,
"21000203001",1139634,Point,"37.4636",-84.5024,NAD83,"544 CEDAR ST",,Crab Orchard,KY,"40419",,
"23000011001",1142442,Point,"44.0756",-70.2044,NAD83,"535 LINCOLN ST","103 WILLOW STREET",Lewiston,ME,"04240",,
