"CWNS_ID","FACILITY_ID","STATE_CODE","INFRASTRUCTURE_TYPE","FACILITY_NAME","DESCRIPTION","OWNER_TYPE","SUPERFUND_FLAG","SEMS_ID","SCF_ELIGIBLE","REVIEW_STATUS","REVIEW_TYPE","DATE_LAST_MODIFIED","NO_NEEDS"
"42004129001",1196352,PA,Wastewater,DALE BORO CS,,Public,N,,N,UNC,,2023-05-03,
"42004267001",1196416,PA,Wastewater,L MAHANOY TWP DALMATIA STP,,Public,N,,N,UNC,,2023-05-03,
"42004273001",1196421,PA,Wastewater,E CHILLISQUAQUE - POTTS GROVE STP,,Public,N,,N,UNC,,2023-05-03,
"42005080001",1196580,PA,Wastewater,KITTANNING BORO STP,,Public,N,,N,UNC,,2023-05-03,
"42005091001",1196590,PA,Wastewater,BETHEL PARK STP,,Public,N,,N,UNC,,2023-05-03,
"42005103001",1196602,PA,Wastewater,NORTH APOLLO BORO CS,,Public,N,,N,UNC,,2023-05-03,
"42005202001",1196703,PA,Wastewater,MIDWAY STP,,Public,N,,N,UNC,,2023-05-03,
"42005260001",1196758,PA,Wastewater,DONORA BORO SS,,Public,N,,N,UNC,,2023-05-03,
"42006029001",1196981,PA,Wastewater,SOUTH NEW CASTLE SS,,Public,N,,N,UNC,,2023-05-03,
"42006130001",1197052,PA,Wastewater,DCNR DENTON HILL ST PK STP,,Public,N,,N,UNC,,2023-05-03,
"42007516100",1197269,PA,Wastewater,HICKORY VIEW TERRACE STP,,Public,N,,N,UNC,,2023-05-03,
"42001026001",1195520,PA,Wastewater,MILLCREEK RICHLAND CS,,Public,N,,N,UNC,,2023-05-03,
"42001029001",1195523,PA,Wastewater,PALMERTON BORO,,Public,N,,N,UNC,,2023-05-03,
"42001049001",1195544,PA,Wastewater,BERRYSBURG BORO STP,,Public,N,,N,UNC,,2023-05-03,
"42001126001",1195618,PA,Wastewater,CENTERPORT STP,,Public,N,,N,UNC,,2023-05-03,
"42001135001",1195624,PA,Wastewater,LONGSWAMP TWP SEW. FAC,,Public,N,,N,UNC,,2023-05-03,
"42001251001",1195710,PA,Wastewater,ROSETO BORO SS,,Public,N,,N,UNC,,2023-05-03,
"42002087001",1195855,PA,Wastewater,DUPONT BORO SS,,Public,N,,N,UNC,,2023-05-03,
"42002114002",1195882,PA,Wastewater,SILVER LAKE TWP MA -LAUREL LAKE STP,,Public,N,,N,UNC,,2023-05-03,
"42003036001",1196013,PA,Wastewater,NORTH YORK BORO SS,,Public,N,,N,UNC,,2023-05-03,
"42004087001",1196308,PA,Wastewater,DUNCANSVILLE BORO,,Public,N,,N,UNC,,2023-05-03,
"42004095001",1196315,PA,Wastewater,MIFFLINVILLE SS TO BERWICK,,Public,N,,N,UNC,,2023-05-03,
"42004104001",1196323,PA,Wastewater,DAISYTOWN BORO SS,,Public,N,,N,UNC,,2023-05-03,
"42004118001",1196343,PA,Wastewater,WEST TAYLOR TWP,,Public,N,,N,UNC,,2023-05-03,
"42004130001",1196353,PA,Wastewater,FRANKLIN BORO SS,,Public,N,,N,UNC,,2023-05-03,
"42005051001",1196528,PA,Wastewater,MANOR BORO SS,,Public,N,,N,UNC,,2023-05-03,
"42005127001",1196624,PA,Wastewater,EAST DEER TWP SS,,Public,N,,N,UNC,,2023-05-03,
"42005152001",1196646,PA,Wastewater,GLEN CAMPBELL BORO STP,,Public,N,,N,UNC,,2023-05-03,
"42005256001",1196755,PA,Wastewater,HOUSTON BOROUGH SS,,Public,N,,N,UNC,,2023-05-03,
"42005315002",1196813,PA,Wastewater,BELL TWP - BEAVER RUN JOINT STP,,Public,N,,N,UNC,,2023-05-03,
"42005397001",1196905,PA,Wastewater,FREDRICKSTOWN STP,,Public,N,,N,UNC,,2023-05-03,
"42006057001",1197000,PA,Wastewater,NW CRAWFORD CO SA - SPRINGBORO STP,,Public,N,,N,UNC,,2023-05-03,
"42006084001",1197018,PA,Wastewater,MT JEWETT BORO AUTH STP,,Public,N,,N,UNC,,2023-05-03,
"42007403002",1197157,PA,Wastewater,MILLHEIM BORO STP,,Public,N,,N,UNC,,2023-05-03,
"46000033001",1179137,SD,Wastewater,ELK POINT WWTF,,Public,N,,N,UNC,,2013-04-26,
"46000035001",1179139,SD,Wastewater,EUREKA WWT FACILITY,,Public,N,,N,UNC,,2013-04-26,
"46000261001",1179216,SD,Wastewater,BRUCE LAGOON,,Public,N,,N,UNC,,2011-04-01,
"46000483001",1179337,SD,Wastewater,NEW UNDERWOOD STP,,Public,N,,N,UNC,,2011-04-01,
"46000520001",1179366,SD,Wastewater,WASTA LAGOON,,Public,N,,N,UNC,,2012-04-15,
"46000539001",1179383,SD,Wastewater,WANBLEE STP,,Public,N,,N,UNC,,2011-04-01,
"46000884001",1179423,SD,Wastewater,LAKE BYRON WWT SYSTEM,,Public,N,,N,UNC,,2011-04-01,
"28001460004",3543118,MS,Wastewater,Stone County Utility Authority - South Stone County WWTF,This is a regional WWTF designed to serve the south half of Stone County and consists of an activated sludge/oxidation ditch process.,Public,N,,N,UNC,,2023-05-03,
"45041272016",380477,SC,Wastewater,Richland Co.-Eve Street,,Public,N,,N,UNC,,2023-05-03,
"41000212001",1164432,OR,Wastewater,MORO STP,,Public,N,,Y,UNC,,2023-05-03,
"28000515005",3245511,MS,Wastewater,GULFPORT COLLECTION NORTH,,Public,N,,N,UNC,,2023-05-03,
"46000067001",1179170,SD,Wastewater,LESTERVILLE WWTP,,Public,N,,N,UNC,,2023-04-19,
"46000260001",1179215,SD,Wastewater,PLANKINTON LAGOON,,Public,N,,N,UNC,,2013-04-26,
"46000367001",1179259,SD,Wastewater,STICKNEY WWTP,,Public,N,,N,UNC,,2013-04-26,
"46000447001",1179313,SD,Wastewater,DIMOCK STP,,Public,N,,N,UNC,,2011-04-01,
"46000056001",1179159,SD,Wastewater,PEEVER LAGOON,,Public,N,,N,UNC,,2013-04-26,
"46000063001",1179166,SD,Wastewater,CORONA WWTP,,Public,N,,N,UNC,,2012-04-15,
"42000022001",1195360,PA,Wastewater,LOWER MORELAND CS TO PHILA NE,,Public,N,,N,UNC,,2023-05-03,
"42000022002",1195361,PA,Wastewater,LOWER MORELAND / CHAPEL HILL STP,,Public,N,,N,UNC,,2023-05-03,
"42001061002",1195560,PA,Wastewater,BERKS-MONTGOMERY W SWAMP STP,,Public,N,,N,UNC,,2023-05-03,
"42001305001",1195756,PA,Wastewater,LAKE WYNONAH MUN AUTH,,Public,N,,N,UNC,,2023-05-03,
"42002100001",1195868,PA,Wastewater,DALLAS AREA MUN AUTH SS,,Public,N,,N,UNC,,2023-05-03,
"42003259001",1196204,PA,Wastewater,FREDERICKSBURG S&W AUTH,,Public,N,,N,UNC,,2023-05-03,
"42004038001",1196256,PA,Wastewater,OLD LYCOMING SS,,Public,N,,N,UNC,,2023-05-03,
"42005019002",1196473,PA,Wastewater,SOUTH PARK TO BETHEL SS,,Public,N,,N,UNC,,2023-05-03,
"42005021004",1196480,PA,Wastewater,JEFFERSON BORO SS TO CLAIRTON,,Public,N,,N,UNC,,2023-05-03,
"42005033006",1196503,PA,Wastewater,INDIANA CO MSA - CHERRYTREE STP,,Public,N,,N,UNC,,2023-05-03,
"42005248002",1196745,PA,Wastewater,WEST MIFFLIN - NEW ENGLAND STP,,Public,N,,N,UNC,,2023-05-03,
"42005262001",1196759,PA,Wastewater,COAL CENTER BORO SS TO CALIFORNIA,,Public,N,,N,UNC,,2023-05-03,
"42005283002",1196776,PA,Wastewater,FINDLAY TWP SS,,Public,N,,N,UNC,,2023-05-03,
"42006151001",1197070,PA,Wastewater,SHENANGO TWP STP,,Public,N,,N,UNC,,2023-05-03,
"28000110005",482635,MS,Wastewater,HCW&SWMA - EAGLE POINT POTW,,Public,N,,N,UNC,,2023-05-03,
