facility_name,pdf_file,completion_token,prompt_toke,total_token,reasoning_token
Healdsburg City WWTP,22_0017_Healdsburg_WWTF_NPDES.pdf,6704,13218,19922,4691
Ukiah City WWTP,24_0016_Ukiah_NPDES_07.18.2024_signed.pdf,9590,10117,19707,6534
City of Morro Bay Water Reclamation Facility,7-18-22_MorroBay_finalorder.pdf,10159,8584,18743,7709
Dunsmuir WWTP,r5-2024-0009_npdes.pdf,5721,8830,14551,3636
Wastewater Recovery Center,r5-2025-0027_npdes.pdf,8234,10289,18523,5011
