facility_name,place_id,structured_output,completion_token,prompt_token,total_token,reasoning_token,cost_usd
Avila WWTP,206888,True,5051,8560,13611,4224,
Calistoga City Dunaweal WWTP,212750,True,6946,9981,16927,5568,
City of Morro Bay Water Reclamation Facility,882248,True,7411,8742,16153,5952,
Clovis WWTF,214899,True,7138,8949,16087,5952,
Coachella Valley WD WWTP,216446,True,9101,9808,18909,7360,
Covelo POTW,215966,True,5637,9072,14709,4288,
Dunsmuir WWTP,220850,True,6919,9257,16176,5696,
EBMUD WPCP,222132,True,7178,9059,16237,5568,
Membrane Filtration/Reverse Osmosis Facility - Escondido,846371,True,5566,10730,16296,4928,
Forestville Water District,224901,True,7155,10152,17307,6016,
Delleker WWTP,219530,True,4537,8946,13483,3968,
Healdsburg City WWTP,229922,True,6391,9707,16098,5056,
Holtville City WWTP,230588,True,6522,8814,15336,5504,
IEUA Regional Plant No. 1,259165,True,5667,9909,15576,4800,
IEUA Regional Plant No. 2,259166,True,4719,9909,14628,4224,
Whittier Narrows Water Reclamation Plant,235826,True,4366,8526,12892,3648,
San Jose Creek Water Reclamation Plant,260156,True,3869,8630,12499,3008,
Linda Cnty Water District WWTP,237060,True,5065,9779,14844,3904,
Malibu Mesa WRP,242162,True,4339,8977,13316,3200,
City of Manteca WW Quality Control Facility,239343,True,6662,9299,15961,5184,
Marin CSD 5 Paradise Cove WWTP,239498,True,3502,8475,11977,2816,
McKinleyville WWTP,240093,True,4986,9784,14770,4032,
Montecito SD WWTP,241288,True,5482,8663,14145,4224,
Mountain House WWTP,241598,True,6479,8726,15205,5376,
Mt. View Sanitary District WWTP,241815,True,7308,9786,17094,5888,
Nevada City WWTP,244141,True,5810,8584,14394,4288,
OCSD Plant 1,758392,True,6658,11314,17972,5632,
Palo Alto Regional WQCP,247457,True,6473,9502,15975,5120,
Redway POTW,252211,True,6383,9436,15819,4864,
Hammonton Gold Village WWTP,229559,True,4413,8347,12760,3968,
San Jose/Santa Clara WPCP,255333,True,7466,11366,18832,5184,
San Simeon WWTP,255462,True,5946,8423,14369,4928,
Saugus Water Reclamation Plant,260494,True,5763,9030,14793,4672,
Sewerage Commission Oroville Region WWTP,246251,True,6138,9014,15152,4672,
Shasta Lake WWTF,256627,True,3357,8714,12071,2816,
SVCW WWTP,255833,True,8499,9544,18043,6656,
Wastewater Recovery Center,258739,True,8405,9903,18308,6464,
Summerland SD WWTP,259377,True,4707,8394,13101,4032,
Mineral WWTP,240864,True,4865,9226,14091,4160,
Discovery Bay WWTP,220315,True,5016,9142,14158,4032,
Treasure Island WWTP/DOD,266328,True,4508,9277,13785,3584,
UC Davis Main WWTP,268926,True,4022,8627,12649,3264,
Ukiah City WWTP,268960,True,5439,9200,14639,4480,
US Navy Naval Air Facility WWTP,269449,True,4402,8820,13222,3968,
Vallejo Flood & Wastewater District (VFWD) WWTP,270006,True,5657,9283,14940,4480,
Watsonville WWTP,271872,True,4521,9125,13646,3840,
Woodland Water Pollution Control Facility,272960,True,7107,10807,17914,5760,
Carmel Area WWTP,213281,True,7611,9051,16662,5504,
Eureka City Elk River WWTP,223010,True,4707,9681,14388,4160,
J.B. Latham WWTP,236649,True,2935,11708,14643,2368,
Lancaster Water Reclamation Plant,236378,True,7530,10190,17720,5952,
Hilton Creek CSD Package STP,230429,True,3699,8634,12333,3392,
Clear Creek WWTP,214802,True,7937,11268,19205,6720,
EchoWater Resource Recovery Facility,254981,True,7617,10032,17649,6336,
Tesoro Viejo WWTP,817457,True,6727,9439,16166,5632,
Riverdale WWTF,273185,True,5504,8991,14495,5056,
City of San Clemente WRP,255218,True,4969,11708,16677,3840,
Civita Water Reclamation Facility,849194,True,6093,8806,14899,5696,
Housing Authority Cnty of Merced - Los Banos,240362,True,3210,8692,11902,3008,
Hyperion Advanced Water Purification Facility,888692,True,7124,10139,17263,6144,
South Entrance Wastewater Facility,826481,True,4265,8954,13219,3904,
