facility_name,txt_file,extraction_file,completion_token,prompt_token,total_token,reasoning_token,cost_usd
Alturas Municipal WWTP,r5-2020-0004_npdes_minor_mod.txt,r5-2020-0004_npdes_minor_mod_205325.json,2352,8355,10707,2112,
American Canyon Water Reclamation Facility (WRF) (formerly WWTP),Order R2-2022-0019 AmCan NPDES reissue Jun-2022.txt,Order R2-2022-0019 AmCan NPDES reissue Jun-2022_205477.json,3159,8394,11553,2304,
American Valley WWTP,r5-2024-0008_npdes.txt,r5-2024-0008_npdes_251217.json,5238,8618,13856,4224,
Anderson WPCP,R5-2025-0011_npdes.txt,R5-2025-0011_npdes_205741.json,8501,9999,18500,7040,
Angels City WWTP,r5-2022-0038_npdes.txt,r5-2022-0038_npdes_205793.json,6801,8557,15358,5376,
Arcata City WWTF,19_0006_Arcata_NPDES.txt,19_0006_Arcata_NPDES_206164.json,7743,9025,16768,5888,
Atwater Regional WWTF,city of atwater_wwtf.txt,city of atwater_wwtf_747519.json,4938,8284,13222,3840,
Auburn WWTP,r5-2017-0085-021_noa.txt,r5-2017-0085-021_noa_206733.json,6848,8751,15599,5440,
Avalon WWTF,Adopted Avalon NPDES Permit_CI 0066 05232024_ADAchecked_signed.txt,Adopted Avalon NPDES Permit_CI 0066 05232024_ADAchecked_signed_208276.json,5416,8910,14326,4288,
Avila WWTP,R3-2017-0025 FINAL.txt,R3-2017-0025 FINAL_206888.json,4098,8582,12680,3136,
Bear Valley CSD WWTF,R5-2024-0005_Bear Valley CSDW_WDR.txt,R5-2024-0005_Bear Valley CSDW_WDR_273161.json,3981,8167,12148,3264,
Bear Valley WWTF,r5-2022-0037_npdes.txt,r5-2022-0037_npdes_209035.json,3427,8360,11787,3008,
Beaumont WWTP No. 1,R8-2022-0042_City of Beaumont_Order_NPDES_Final 11-30-2022_esigned.txt,R8-2022-0042_City of Beaumont_Order_NPDES_Final 11-30-2022_esigned_259170.json,5344,8331,13675,4096,
Benicia WWTP,Benicia R2-2025-0001.txt,Benicia R2-2025-0001_209253.json,4854,8709,13563,3392,
City of Biggs WWTP,r5-2020-0008_wdr.txt,r5-2020-0008_wdr_209551.json,3981,8243,12224,3328,
Brawley City WWTP,R7-2021-0005.txt,R7-2021-0005_210272.json,4503,8332,12835,3200,
Brentwood WWTP,r5-2024-0020_npdes.txt,r5-2024-0020_npdes_210322.json,3581,8267,11848,2688,
