Method,Model,Macro Unit Process F1,Macro Category F1,State Accuracy,Price per PDF,Fraction Structured Output
Keyword,NPDES Keyword,0.219,0.544,0.089,,
Ontology,gpt-5-mini,0.753,0.85,0.743,0.011,1.0
Ontology,gpt-5,0.75,0.855,0.735,0.079,1.0
Ontology,gemini-2.5-pro,0.751,0.865,0.741,0.093,1.0
Ontology,claude-3-haiku,0.641,0.787,0.61,0.004,0.714
Ontology,claude-4-5-sonnet,0.74,0.851,0.744,0.056,0.86
Ontology,claude-sonnet-4-6-web,0.76,0.867,0.777,0.343,1.0
List,gpt-5-mini,0.775,0.877,0.774,0.008,0.98
List,gpt-5,0.77,0.865,0.759,0.059,1.0
List,gemini-2.5-pro,0.766,0.855,0.769,0.061,1.0
List,claude-3-haiku,0.569,0.658,0.539,0.002,0.225
List,claude-4-5-sonnet,0.79,0.865,0.753,0.029,0.94
List,claude-sonnet-4-6-web,0.788,0.891,0.777,0.236,1.0
