facility_name,pdf_file,completion_token,prompt_toke,total_token,reasoning_token
Healdsburg City WWTP,22_0017_Healdsburg_WWTF_NPDES.pdf,6040,12784,18824,4608
Ukiah City WWTP,24_0016_Ukiah_NPDES_07.18.2024_signed.pdf,8148,10037,18185,5952
City of Morro Bay Water Reclamation Facility,7-18-22_MorroBay_finalorder.pdf,6193,8557,14750,4480
Dunsmuir WWTP,r5-2024-0009_npdes.pdf,5945,8738,14683,4416
Wastewater Recovery Center,r5-2025-0027_npdes.pdf,8526,10189,18715,5824
