facility_name,pdf_file,completion_token,prompt_toke,total_token,reasoning_token
Healdsburg City WWTP,22_0017_Healdsburg_WWTF_NPDES.pdf,1326,13218,14544,0
Ukiah City WWTP,24_0016_Ukiah_NPDES_07.18.2024_signed.pdf,2194,10117,12311,0
City of Morro Bay Water Reclamation Facility,7-18-22_MorroBay_finalorder.pdf,1545,8584,10129,0
Dunsmuir WWTP,r5-2024-0009_npdes.pdf,1419,8830,10249,0
Wastewater Recovery Center,r5-2025-0027_npdes.pdf,5253,10289,15542,0
