facility_name,place_id,structured_output,completion_token,prompt_token,total_token,reasoning_token,cost_usd
Avila WWTP,206888,False,663,4684,5347,0,
Calistoga City Dunaweal WWTP,212750,False,913,5881,6794,0,
City of Morro Bay Water Reclamation Facility,882248,False,751,4918,5669,0,
Clovis WWTF,214899,False,458,4391,4849,0,
Coachella Valley WD WWTP,216446,True,815,5645,6460,0,
Covelo POTW,215966,False,857,5257,6114,0,
Dunsmuir WWTP,220850,False,918,5000,5918,0,
EBMUD WPCP,222132,False,759,4505,5264,0,
Forestville Water District,224901,True,711,5950,6661,0,
Healdsburg City WWTP,229922,False,520,4741,5261,0,
Holtville City WWTP,230588,False,571,4518,5089,0,
IEUA Regional Plant No. 1,259165,True,1529,5852,7381,0,
IEUA Regional Plant No. 2,259166,True,1364,5852,7216,0,
San Jose Creek Water Reclamation Plant,260156,False,307,4394,4701,0,
Linda Cnty Water District WWTP,237060,True,1130,5611,6741,0,
Malibu Mesa WRP,242162,False,560,4793,5353,0,
City of Manteca WW Quality Control Facility,239343,False,584,4924,5508,0,
McKinleyville WWTP,240093,True,816,5620,6436,0,
Montecito SD WWTP,241288,False,644,4807,5451,0,
Mt. View Sanitary District WWTP,241815,False,678,5056,5734,0,
OCSD Plant 1,758392,False,251,4201,4452,0,
Palo Alto Regional WQCP,247457,False,1076,5272,6348,0,
Redway POTW,252211,False,865,4922,5787,0,
Hammonton Gold Village WWTP,229559,False,309,4436,4745,0,
San Jose/Santa Clara WPCP,255333,False,742,5167,5909,0,
San Simeon WWTP,255462,False,420,4538,4958,0,
Saugus Water Reclamation Plant,260494,False,1041,5218,6259,0,
Shasta Lake WWTF,256627,False,759,4389,5148,0,
SVCW WWTP,255833,False,1265,5333,6598,0,
Wastewater Recovery Center,258739,True,1094,5941,7035,0,
Summerland SD WWTP,259377,False,624,4483,5107,0,
Mineral WWTP,240864,True,356,4969,5325,0,
Discovery Bay WWTP,220315,True,983,4883,5866,0,
Treasure Island WWTP/DOD,266328,False,706,4504,5210,0,
UC Davis Main WWTP,268926,False,576,4301,4877,0,
Ukiah City WWTP,268960,False,1394,4851,6245,0,
Vallejo Flood & Wastewater District (VFWD) WWTP,270006,False,206,4436,4642,0,
Watsonville WWTP,271872,False,371,4597,4968,0,
Woodland Water Pollution Control Facility,272960,False,891,6806,7697,0,
Carmel Area WWTP,213281,False,829,5284,6113,0,
Membrane Filtration/Reverse Osmosis Facility - Escondido,846371,FAILED,0,0,0,0,
Eureka City Elk River WWTP,223010,FAILED,0,0,0,0,
Delleker WWTP,219530,FAILED,0,0,0,0,
Whittier Narrows Water Reclamation Plant,235826,FAILED,0,0,0,0,
Marin CSD 5 Paradise Cove WWTP,239498,FAILED,0,0,0,0,
Mountain House WWTP,241598,FAILED,0,0,0,0,
Nevada City WWTP,244141,FAILED,0,0,0,0,
Sewerage Commission Oroville Region WWTP,246251,FAILED,0,0,0,0,
SMWD - Chiquita WRP,257518,FAILED,0,0,0,0,
US Navy Naval Air Facility WWTP,269449,FAILED,0,0,0,0,
Membrane Filtration/Reverse Osmosis Facility - Escondido,846371,FAILED,0,0,0,0,
Eureka City Elk River WWTP,223010,False,495,4447,4942,0,
Delleker WWTP,219530,FAILED,0,0,0,0,
Whittier Narrows Water Reclamation Plant,235826,FAILED,0,0,0,0,
Marin CSD 5 Paradise Cove WWTP,239498,FAILED,0,0,0,0,
Mountain House WWTP,241598,FAILED,0,0,0,0,
Nevada City WWTP,244141,FAILED,0,0,0,0,
Sewerage Commission Oroville Region WWTP,246251,FAILED,0,0,0,0,
SMWD - Chiquita WRP,257518,FAILED,0,0,0,0,
US Navy Naval Air Facility WWTP,269449,FAILED,0,0,0,0,
Membrane Filtration/Reverse Osmosis Facility - Escondido,846371,FAILED,0,0,0,0,
Delleker WWTP,219530,FAILED,0,0,0,0,
Whittier Narrows Water Reclamation Plant,235826,FAILED,0,0,0,0,
Marin CSD 5 Paradise Cove WWTP,239498,FAILED,0,0,0,0,
Mountain House WWTP,241598,FAILED,0,0,0,0,
Nevada City WWTP,244141,FAILED,0,0,0,0,
Sewerage Commission Oroville Region WWTP,246251,FAILED,0,0,0,0,
SMWD - Chiquita WRP,257518,FAILED,0,0,0,0,
US Navy Naval Air Facility WWTP,269449,FAILED,0,0,0,0,
Dunsmuir WWTP,220850,True,685,5324,6009,0,
Membrane Filtration/Reverse Osmosis Facility - Escondido,846371,False,401,5583,5984,0,
Forestville Water District,224901,True,796,6516,7312,0,
Delleker WWTP,219530,False,570,4693,5263,0,
Whittier Narrows Water Reclamation Plant,235826,FAILED,0,0,0,0,
Marin CSD 5 Paradise Cove WWTP,239498,FAILED,0,0,0,0,
McKinleyville WWTP,240093,False,820,6114,6934,0,
Mountain House WWTP,241598,FAILED,0,0,0,0,
Nevada City WWTP,244141,FAILED,0,0,0,0,
OCSD Plant 1,758392,False,395,4413,4808,0,
Palo Alto Regional WQCP,247457,True,932,5775,6707,0,
San Jose/Santa Clara WPCP,255333,False,820,6488,7308,0,
Sewerage Commission Oroville Region WWTP,246251,FAILED,0,0,0,0,
SMWD - Chiquita WRP,257518,False,460,5145,5605,0,
Ukiah City WWTP,268960,FAILED,0,0,0,0,
US Navy Naval Air Facility WWTP,269449,False,328,4549,4877,0,
Vallejo Flood & Wastewater District (VFWD) WWTP,270006,False,594,4791,5385,0,
