CWNS_ID,FACILITY_ID,FACILITY_NAME
06002032002,1175288,North Point WPCP
06002034002,1175292,C & H SUGAR JOINT WWTP
06004022002,1175509,NYELAND ACRES WWTF
06005325001,1175771,ORLAND WWTF
06006021001,1175876,HOUSTON CREEK WWTF
06009036001,1176075,Padre Dam WRF
06000000313,3613126,Carpinteria Valley Water District
06002155001,1175365,S. MARIN SUBREG OUTFALL
