werf_code,ontology_names
AS,ActivatedSludge
TF,TricklingFiltration;MovingBedBioreactor;MembraneAeratedBiofilmReaactor
TF-RBC,RotatingBiologicalContactor
MBR-BNR,MembraneBioreactor
AS-A2O,A2O
AS-BDENIT,AO
BNR,FiveStageBardenpho;FourStageBardenpho;UCT
BNIT,Nitrification
BDENIT,Denitrification
AND,AnaerobicDigestion
AED,AerobicDigestion
MHI,MultipleHearthIncineration
FBI,FluidizedBedIncineration
BIOGAS_CWNS,Cogeneration
LIME,Softening
LAND_TRT,LandApplication
BIODRY,Drying
CHEM-P,ChemicalPrecipitation
