run,n_facilities,Macro Unit Process F1,Macro Category F1,State Accuracy
main,684.0,0.9019,0.9236,0.8535
run_1,50.0,0.8958,0.918,0.8468
run_2,50.0,0.897,0.9178,0.8455
mean,,0.8982,0.9198,0.8486
std,,0.0032,0.0033,0.0043
variance,,0.0,0.0,0.0
