run,n_facilities,Macro Unit Process F1,Micro Unit Process F1,Macro Category F1,State Accuracy
main,738.0,0.8926,0.8989,0.9137,0.8568
run_1,61.0,0.9019,0.899,0.9131,0.8607
run_2,61.0,0.9014,0.8994,0.9129,0.8572
mean,,0.8987,0.8991,0.9133,0.8582
std,,0.0052,0.0002,0.0004,0.0022
variance,,0.0,0.0,0.0,0.0
