NPDES No.,Facility Name,Supplemental_Data_Count,NPDES_TP,NPDES_FP,NPDES_FN,NPDES_Precision,NPDES_Recall,NPDES_F1,NPDES_Missed,NPDES_Extra,CWNS_TP,CWNS_FP,CWNS_FN,CWNS_Precision,CWNS_Recall,CWNS_F1,CWNS_Missed,CWNS_Extra
CA0037966,Calistoga City Dunaweal WWTP,10,10,0,0,1.0,1.0,1.0,,,5,8,5,0.38461538461538464,0.5,0.4347826086956522,Equalization|Polymer Addition|Screening/Microstrainer|Secondary Clarification|Secondary Filtration,Alum Addition|Anaerobic Digestion|Biosolids Landfill|Comminution|Land Application|Primary Clarification|Stabilization Pond|Unspecified Dewatering
CA0023574,Covelo POTW,9,9,0,0,1.0,1.0,1.0,,,3,2,6,0.6,0.3333333333333333,0.42857142857142855,Aerated Lagoon|Comminution|Grit Removal|Ozonation|Unspecified AS|Wetland,Stabilization Pond|Trickling Filter
CA0037702,EBMUD WPCP,14,12,1,2,0.9230769230769231,0.8571428571428571,0.888888888888889,Chlorination|Heat Recovery,Unspecified Disinfection,8,5,6,0.6153846153846154,0.5714285714285714,0.5925925925925927,Comminution|Dechlorination|Equalization|Heat Recovery|Secondary Clarification|Thickening,Aerobic Digestion|Biosolids Landfill|Trickling Filter|Unspecified AS|Unspecified Chemical Addition
CA0025135,Healdsburg City WWTP,16,14,1,2,0.9333333333333333,0.875,0.9032258064516129,Aerated Lagoon|Biosolids Landfill,Denitrification,3,4,13,0.42857142857142855,0.1875,0.26086956521739124,AO (anoxic/oxic)|Aerobic Digestion|Centrifuge|Equalization|Grit Removal|Mechanical Dewatering|Membrane Bioreactor|Nitrification|Polymer Addition|Screening/Microstrainer|Thickening|UV Disinfection|Unspecified AS,Chlorination|Comminution|Land Application|Stabilization Pond
CA0079651,Linda Cnty Water District WWTP,15,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931,Equalization|Screening/Microstrainer,Denitrification,4,2,11,0.6666666666666666,0.26666666666666666,0.3809523809523809,AO (anoxic/oxic)|Biosolids Lagoon|Chlorination|Dechlorination|Equalization|Facultative Lagoon|Media Filtration|Nitrification|Primary Clarification|Secondary Clarification|Thickening,Biosolids Landfill|Unspecified Lagoon
CA0081558,City of Manteca WW Quality Control Facility,18,15,2,3,0.8823529411764706,0.8333333333333334,0.8571428571428571,Biosolids Landfill|Microfiltration|Unspecified Nutrient Removal,AO (anoxic/oxic)|Denitrification,10,5,8,0.6666666666666666,0.5555555555555556,0.606060606060606,Centrifuge|Flocculation|Mechanical Dewatering|Media Filtration|Microfiltration|Nitrification|UV Disinfection|Unspecified Nutrient Removal,Biosolids Lagoon|Chlorination|Dechlorination|Stabilization Pond|Trickling Filter
CA0037427,Marin CSD 5 Paradise Cove WWTP,8,8,0,0,1.0,1.0,1.0,,,0,2,8,0.0,0.0,0.0,Chlorination|Comminution|Dechlorination|Equalization|Extended Aeration|Primary Clarification|Screening/Microstrainer|Secondary Clarification,Unspecified AS|Unspecified Disposal
CA0047899,Montecito SD WWTP,13,10,0,3,1.0,0.7692307692307693,0.8695652173913044,Drying|Extended Aeration|Polymer Addition,,6,1,7,0.8571428571428571,0.46153846153846156,0.6,Chlorination|Dechlorination|Flotation|Mechanical Dewatering|Polymer Addition|Secondary Clarification|Thickening,Biosolids Landfill
CA0079235,Sewerage Commission Oroville Region WWTP,13,9,1,4,0.9,0.6923076923076923,0.7826086956521738,Chlorination|Comminution|Equalization|Stabilization Pond,Unspecified Disinfection,8,3,5,0.7272727272727273,0.6153846153846154,0.6666666666666667,Chlorination|Equalization|Grit Removal|Secondary Clarification|Unspecified Filtration,Biosolids Lagoon|Biosolids Landfill|Trickling Filter
CA0037842,San Jose/Santa Clara WPCP,17,15,2,2,0.8823529411764706,0.8823529411764706,0.8823529411764706,Biosolids Landfill|Centrifuge,Denitrification|Nitrification,10,7,7,0.5882352941176471,0.5882352941176471,0.5882352941176471,Equalization|Flocculation|Four Stage Bardenpho|Media Filtration|Secondary Clarification|Stabilization Pond|Thickening,Biologically Active Filtration|Biosolids Lagoon|Comminution|Land Application|Nitrification|Unspecified Filtration|Unspecified Lagoon
CA0038369,SVCW WWTP,15,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931,Comminution|Grit Removal,Media Filtration,11,4,4,0.7333333333333333,0.7333333333333333,0.7333333333333333,Cogeneration|Drying|Equalization|Grit Removal,Biosolids Landfill|Chlorination|Dechlorination|Flotation
CA0054313,Saugus Water Reclamation Plant,18,15,2,3,0.8823529411764706,0.8333333333333334,0.8571428571428571,Comminution|Grit Removal|Polymer Addition,AO (anoxic/oxic)|Denitrification,9,3,9,0.75,0.5,0.6,Flotation|Mechanical Dewatering|Media Filtration|Nitrification|Polymer Addition|Screening/Microstrainer|Thickening|UV Disinfection|Unspecified Nutrient Removal,Drying|Trickling Filter|Unspecified Disposal
CA0048216,Watsonville WWTP,12,11,1,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,Heat Recovery,Thickening,8,5,4,0.6153846153846154,0.6666666666666666,0.64,Coagulation|Cogeneration|Heat Recovery|Media Filtration,Biosolids Landfill|Chlorination|Comminution|Dechlorination|Thickening
CA0110604,OCSD Plant 1,19,17,0,2,1.0,0.8947368421052632,0.9444444444444444,Flotation|Secondary Clarification,,11,3,8,0.7857142857142857,0.5789473684210527,0.6666666666666667,Centrifuge|Dechlorination|Ferric Chloride Addition|Neutralization|Nitrification|UV Disinfection|Unspecified AS|Unspecified Nutrient Removal,Biosolids Landfill|Equalization|Unspecified Filtration
