Source,N CWNS,Flow (MGD),CH4 (kt/yr),N2O (kt/yr),NC_CO2 (kt/yr),NG comb (kt/yr),Biosolids (kt/yr),Elec (kt/yr),NG up (kt/yr),Scope 1,Scope 2,Scope 3,TOTAL (kt/yr),per MGD
CWNS + WEF + DOE Biogas,314,4005,1643.4,319.7,210.4,85.5,166.2,387.8,19.3,2425.2,387.8,19.3,2832.3,0.707
CWNS-only,314,4005,1613.6,324.1,210.1,77.5,165.4,500.5,17.5,2390.7,500.5,17.5,2908.7,0.726
WE3Lab LLM,314,4005,1713.2,898.5,209.6,435.6,162.2,683.6,98.3,3419.0,683.6,98.3,4200.9,1.049
WE3Lab LLM + WEF + DOE Biogas,314,4005,1740.6,749.1,209.3,192.9,151.4,572.7,43.5,3043.3,572.7,43.5,3659.5,0.914
