facility_name,place_id,structured_output,completion_token,prompt_token,total_token,reasoning_token,cost_usd
Avila WWTP,206888,True,2286,8519,10805,1457,
Calistoga City Dunaweal WWTP,212750,True,6174,9563,15737,4128,
City of Morro Bay Water Reclamation Facility,882248,True,7786,8699,16485,5837,
Clovis WWTF,214899,True,6850,8854,15704,5572,
Coachella Valley WD WWTP,216446,True,5315,9322,14637,3422,
Covelo POTW,215966,True,4446,9047,13493,2908,
Dunsmuir WWTP,220850,True,6168,9059,15227,4482,
EBMUD WPCP,222132,True,6480,8939,15419,4706,
Membrane Filtration/Reverse Osmosis Facility - Escondido,846371,True,2829,9263,12092,2522,
Eureka City Elk River WWTP,223010,True,4292,8905,13197,2803,
Forestville Water District,224901,True,5103,10186,15289,3861,
Delleker WWTP,219530,True,3729,8493,12222,2876,
Healdsburg City WWTP,229922,True,5984,9587,15571,4480,
Holtville City WWTP,230588,True,4070,8363,12433,2769,
IEUA Regional Plant No. 1,259165,True,5788,9538,15326,3877,
IEUA Regional Plant No. 2,259166,True,3723,9538,13261,2737,
Whittier Narrows Water Reclamation Plant,235826,True,3773,8472,12245,2668,
San Jose Creek Water Reclamation Plant,260156,True,3650,8510,12160,2869,
Linda Cnty Water District WWTP,237060,True,6782,9322,16104,5060,
Malibu Mesa WRP,242162,True,4863,8597,13460,3404,
City of Manteca WW Quality Control Facility,239343,True,8786,8992,17778,6745,
Marin CSD 5 Paradise Cove WWTP,239498,True,2615,8447,11062,1698,
McKinleyville WWTP,240093,True,3719,9724,13443,2532,
Montecito SD WWTP,241288,True,5749,8631,14380,4311,
Mountain House WWTP,241598,True,3550,8328,11878,2145,
Mt. View Sanitary District WWTP,241815,True,5301,8873,14174,3568,
Nevada City WWTP,244141,True,6315,8544,14859,4557,
OCSD Plant 1,758392,True,2363,8691,11054,1767,
Palo Alto Regional WQCP,247457,True,6437,9456,15893,4485,
Redway POTW,252211,True,4940,8709,13649,3316,
Hammonton Gold Village WWTP,229559,True,3432,8310,11742,2566,
San Jose/Santa Clara WPCP,255333,True,8831,10647,19478,6364,
San Simeon WWTP,255462,True,2809,8392,11201,1963,
Saugus Water Reclamation Plant,260494,True,4934,9004,13938,3373,
Sewerage Commission Oroville Region WWTP,246251,True,6588,8649,15237,4942,
Shasta Lake WWTF,256627,True,2893,8260,11153,1840,
SVCW WWTP,255833,True,7131,9082,16213,5274,
Wastewater Recovery Center,258739,True,6456,9611,16067,4171,
Summerland SD WWTP,259377,True,3338,8383,11721,2073,
Mineral WWTP,240864,True,4716,8774,13490,3885,
Discovery Bay WWTP,220315,True,2960,8699,11659,1732,
Treasure Island WWTP/DOD,266328,True,4480,9221,13701,3233,
UC Davis Main WWTP,268926,True,3066,8167,11233,2153,
Ukiah City WWTP,268960,True,6342,9200,15542,4316,
US Navy Naval Air Facility WWTP,269449,True,2815,8356,11171,1861,
Vallejo Flood & Wastewater District (VFWD) WWTP,270006,True,4575,9187,13762,3091,
Watsonville WWTP,271872,True,3830,8725,12555,2334,
Woodland Water Pollution Control Facility,272960,True,5561,10382,15943,4016,
Carmel Area WWTP,213281,True,7186,8998,16184,4830,
J.B. Latham WWTP,236649,True,3820,9815,13635,2553,
