Place ID,FACILITY_NAME,has_kw_unit_process_data
236941,"Lewiston CSD WWTP, POTW",yes
237113,CSA 44-Zone G (Linne),yes
237149,Little Bear WWTP,yes
237252,Lockeford CSD WWTP,yes
237395,Los Alamos WWTP,yes
239190,Hoberg's Resort,yes
239317,Manila CSD WWTP,yes
239543,Mariposa Pines WWTF,yes
241053,SOCWA - Regional TP,yes
241099,Oakwood Lake WWTF,yes
241299,Monterey Bay Academy WWTP,yes
241306,Monterey Dunes Colony WWTP,yes
241545,Mount Bullion Conservation Camp,yes
241598,Mountain House WWTP,yes
242135,Malibu Bay Club WWTP,yes
243845,Napa Berryessa WTF,yes
247464,Palo Cedro WWTF,yes
247644,Park Moabi WWTF,yes
247809,Pauma Valley Treatment Plant,yes
240168,Meadowbrook WWTF (Templeton CSD),yes
240177,Meadowlark WRF,yes
240826,Millerton Lake State Rec Area,yes
240892,Mira Bella WWTF,yes
240951,Mission Hills La Purisima WWTP,yes
244250,City of Newman WWTF,yes
244348,Niland SD WWTP,yes
244360,Nipomo CSD Black Lake - Reclaimed Water Producer,yes
244361,Nipomo CSD Southland Treatment Facility,yes
244531,The Preserve at Millerton Lake,yes
245564,Oak Hills Development WWTP,yes
245581,Oak Shores Development CSA-7A,yes
247351,East County Water Recycling Facility,yes
210854,Burney STP,yes
212424,California Utilities,yes
212681,California Men's Colony WWTP,yes
212847,Camanche North Shore WWTP,yes
212962,Camp Roberts Main (West) Garrison WWTP,yes
805193,Vista Canyon Water Factory,yes
805724,JH Ranch,yes
806008,Hi-Desert WD Reclamation Facility,yes
209483,Big Basin Woods Subdivision WWTP,yes
209509,Big Creek Powerhouse No 1 WWTF,yes
209595,Bill/Kathy's WWTF,yes
209726,Black Oak General Store,yes
209999,Bombay Beach STP,yes
210116,Boulder Creek Golf & Cntry Club WWTP,yes
210156,Boys Ranch WWTF,yes
210685,Buellton WWTP,yes
897869,East County Advanced Water Purification (AWP) Project,yes
201075,Fresno Cnty #32-Cantua Creek WWTF,yes
201076,Fresno Cnty #34-Millerton New Town WWTF,yes
201077,Madera Cnty #37-La Vina WWTF,yes
897866,Sonoma West Holdings Wastewater Treatment Facility Plant No. 2 - Domestic,yes
893349,LPC Arrowhead Area 1 LP OWTS,yes
889990,Fillmore Water Recycling Plant,yes
201081,Fresno Cnty #44-D Monte Verdi Estates WWTF,yes
201082,Fresno Cnty #44A-Millerton Lake MHV WWTF,yes
201067,Madera Cnty #19-Parkwood WWTF,yes
902865,DVNP Cow Creek RO Plant,yes
901636,"Plant Sciences, Inc. Juniper Village 2, Macdoel Middle School",yes
201070,Madera Cnty #24 Teaford Meadow Lakes WWTF,yes
901334,Oroville Wastewater Treatment Plant Construction Dewatering Project,yes
201072,Madera Cnty #28 Ripperdan WWTF,yes
201073,Fresno Cnty #30-El Porvenir WWTF,yes
216491,Cypress Ridge Sewer Facility,yes
217061,Juanita Millender-McDonald Carson Regional Water Recycling Plant,yes
219146,Date Gardens MHP WWTP,yes
219169,Davenport WWTP,yes
219515,Delft Colony WWTF,yes
219649,Desert Crest WWTP,yes
219671,SCSD Desert Shores WWTP,yes
219701,Deuel Vocational Institution,yes
707492,Island Park Recreation Area - Pine Flat Lake,yes
719040,Warlow SRRA WWTF,yes
215677,North Fresno WWRF,yes
215698,Corcoran State Prison WWTF,yes
215915,Country Club Estates SLO Co CSA-18,yes
215925,Country Life MHPRV Asset Partners LP WWTP,yes
216287,County Service Area (CSA) 44 Zone E (Castello),yes
216446,Coachella Valley WD WWTP,yes
614538,Mustards Grill WWTP,yes
638334,USMC Camp Pendleton Southern Regional Tertiary Treatment Plant,yes
638757,Spalding Tract Sewer System,yes
641209,Union Mine Disposal Site,yes
647162,Foothill Horizons School,yes
647900,SCSD Thomas R. Cannell WWTP,yes
658148,Newhall Ranch WRP,yes
707474,Trimmer Recreation Area - Pine Flat Lake,yes
215141,"College of the Redwoods, POTW",yes
215236,Sac City Combined WW Collection/TRT Sys,yes
215671,Copper Cove WWRF,yes
273192,Strathmore  WWTF,yes
273195,Tranquillity WWTF,yes
273663,Edward C. Little Water Recycling Plant (Recycled Water Irrigation),yes
274505,White Wolf WWTF,yes
602499,Del Rio East HOA WWTP,yes
224827,Foothill Elementary School WWTF,yes
270563,The Villas at Butte Creek WWTP,yes
271617,Wallace Lake Estates WWTF,yes
271777,El Toro Water Dist WWRF,yes
271887,Wawona WWTF,yes
272009,Weott WWTP,yes
272109,West Point WWTF,yes
272344,Westwood STP,yes
273188,Sierra High School WWTF,yes
220495,Don Pedro Sewer Zone 1,yes
220844,Dunnigan WWTF,yes
222123,EBDA Common Outfall,yes
222129,EBMUD Pardee Center WWTF,yes
222491,El Portal WWTF,yes
223236,East Brother Light StationWWTP,yes
224179,Harris Farms Farm Labor Housing Facility,yes
273148,Hume Lake WWTF,yes
273149,I-5 & Highway 58 WWTF,yes
273152,River Island East WWTF,yes
273155,National Chavez Center WWTF,yes
273156,Tejon Industrial Complex West WWTF,yes
273161,Bear Valley CSD WWTF,yes
273175,Laton WWTF,yes
273185,Riverdale WWTF,yes
220279,"Diocese of San Joaquin, Episcopal Conference Center Oakhurst (ECCO)",yes
220385,Dixon Migrant Center WWTF,yes
273125,McFarland WWTF,yes
273126,Mendota WWTF,yes
273132,San Joaquin WWTF,yes
273133,Sanger WWTF,yes
273135,Stratford WWTF,yes
273147,Gunner Ranch Water Reclamation Plant,yes
227440,Gold Mountain WWTF,yes
227444,Gold Ridge Forest Unit 3,yes
227451,Gold Run Roadside Rests,yes
227501,Golden Hills Mobile Home Park,yes
227507,Golden Meadows STP (sand filter),yes
227781,Grant Grove WWTF,yes
228046,Groundwater Replenishment System - Advanced WTF,yes
228109,Gualala WWTF,yes
268842,"Two Harbors STP, Catalina Island",yes
268926,UC Davis Main WWTP,yes
269449,US Navy Naval Air Facility WWTP,yes
269589,USMC - Mainside WWTF,yes
269601,USS-UPI LLC - NPDES/SUB15,yes
225072,Fort Jones City WWTP,yes
227217,Glacier Point WWTF,yes
227381,New Melones Lake Glory Hole Recreation Area,yes
264740,Tooleville WWTF,yes
266310,Traver WWTF,yes
266439,Northwest WWTF,yes
266720,Tuolumne City WWTP,yes
266792,Tuttletown Recreation Area,yes
267596,Todd Road Jail WWTP,yes
268043,Encinal Canyon Water Recycling Plant on Tract 46277,yes
268548,Trancas WPCP,yes
272525,San Miguelito Wild Cherry Canyon,yes
272716,Wilseyville WWTP,yes
272975,Woods Valley Ranch Water Reclamation Facility,yes
273113,Farmersville WWTF,yes
273122,Los Banos WWTF,yes
263145,Temecula Valley RWRF,yes
263168,Tenaya Lodge WWTP,yes
263172,Tennant CSD ST/LF,yes
229466,Hacienda WWTP,yes
229559,Hammonton Gold Village WWTP,yes
229643,Happy Camp WWTP,yes
229726,HARRF DISCH to San Elijo Ocean Outfall,yes
229873,Trinity County Waterworks District #1 Hayfork WWTP,yes
230011,Helendale Silverlakes STP,yes
230092,Hensley Lake,yes
230784,Herlong Public Utility District WWTF,yes
255165,Samoa Pacific WWTP (Samoa Town Site),yes
255190,San Ardo WWTP,yes
255306,San Jerardo WWTP,yes
255393,Oasis West RV Park,yes
255653,Santa Lucia WW Recycling Facility (Prod/User),yes
255679,Santa Maria WWTP,yes
255836,"Sonoma Co Service Area 41, Zone 2, Sea Ranch Onsite Wastewater Management Zone",yes
256061,SCWA Russian River CSD,yes
257153,"Palm Springs Village-309, LLC Silvertip Resort Village WWTF",yes
257590,SOCWA Aliso Creek Ocean Outfall,yes
257592,SOCWA San Juan Creek Ocean Outfall,yes
257687,Solvang WWTP,yes
258004,Southworth Ranch Estates WWTF,yes
258186,Spreckels WWTP,yes
258743,Stoco WWTF,yes
255003,Copper Cove WWRF,yes
259155,Idyllwild WD WWTP,yes
259166,IEUA Regional Plant No. 2,yes
259218,Wilderness Lakes WWTP,yes
259223,Sun City RWRF,yes
260486,Jose Flores WWTP,yes
263072,Tehachapi Correctional Inst WWTF,yes
256506,SF Arprt Mel Leong TP-Industrl,yes
256772,Kern Cnty Sheriff's Lerdo WWTF,yes
235208,Konocti Harbor Resort,yes
235798,La Contenta WWT & RF,yes
236190,Lake California WWTP,yes
236222,Lake Isabella WWTF,yes
236252,Lake San Antonio Southshore WWTP,yes
236258,Lake Shastina CSD STP,yes
236597,Las Gallinas Sludge App,yes
236772,Lebec SRRA (Tejon Pass),yes
251695,Rancho Murieta CSD WWT & Rec,yes
252211,Redway POTW,yes
252660,Richvale WWTF,yes
252700,Ridgemark Estates WWTP,yes
234146,Fresno Cnty Juvenile Justice WWTF,yes
234915,Kern Valley State Prison WWTF,yes
235021,King City Domestic WWTF,yes
235088,Kirkwood Meadows WWTF,yes
248476,Pioneer Creek MH Community,yes
248713,Pleasant Ridge Elementary School WWTP,yes
248717,Pleasant Valley State Prison WWTF,yes
248742,Plumas Eureka Estates WWTF - WWTP 7,yes
248787,Poe Colonia (Cady Subdivision),yes
249771,Paradise Ranch WWTP,yes
251631,Rancho Colina MH Estates STP,yes
251675,Rancho Larios WWTP,yes
232098,I-5 & Panoche Road WWTF,yes
232360,Indian Rock Vineyards Subdivision (IRVS) WWTF,yes
232363,Indian Springs Wastewater Treatment Facility,yes
233409,Jalama Beach County Park WWTP,yes
234117,Julian Water Pollution Facility,yes
248269,Philip S Raine SRRA,yes
248424,Pine Grove Community Leachfield System,yes
248439,Pine Valley WW Polltn Cntl Fac (Pine Valley Sanitation District) OWTS,yes
213580,"CCC @ Susanville, CSP-LC WTF",yes
213604,CDF Parlin Fork Conservation Camp,yes
213850,CA Dept of Corrections Centinela WWTP,yes
214483,Madera Cnty #14-Chukchansi WWTF,yes
214559,Circle Oaks WWTF,yes
214873,Clover Creek WWTF,yes
214899,Clovis WWTF,yes
214957,Coalinga State Hospital WWTF,yes
747480,SCLA Central WWTP-Victorville Water Dist,yes
761903,VVWRA- Sub-Regional Plant-Hesperia,yes
761913,VVWRA Sub-Regional Plant-Apple Valley,yes
766558,Willow Creek Apartments,yes
771804,Kendall-Jackson Wine Center Domestic Waste,yes
212973,Camp Sugar Pine,yes
213270,Carlsbad WRF,yes
213409,Casa Del Rey HA,yes
731257,Pajaro Valley WMA and City of Watsonville Water Reclamation,yes
736188,Lake Cnty SD Kelseyville WWD No. 3 Kelseyville WWTF,yes
737529,Camp Mather,yes
739154,Tejon Mountain Village,yes
739749,Rancho Seco Recreational Area WWTF,yes
739902,SYSCO Food Services of Sacramento,yes
740731,Tejon Industrial Complex East WWTF,yes
741089,Camanche North Shore Recreation Area Water Treatment Plant Land Application,yes
812326,Willow Creek CSD WWTF,yes
815299,McCabe Municipal WWTP,yes
815678,"Greek Orthodox Monestery of the Theotokos, The Life Giving Spring",yes
816488,Silver Oak Cellars - Highway 128 Alexander Valley (Domestic Waste),yes
816491,"Lower Grove OWTS, Mariposa Grove of Giant Sequoias",yes
817457,Tesoro Viejo WWTP,yes
822928,Big Rock Ranch Recycled Water,yes
729031,Shandon Roadside Rest Area,yes
201087,Madera Cnty #7-Marina View Heights WWTF,yes
204475,Adelanto WWTP,yes
204492,Admin Center & Oak Shores Day Use Area,yes
205205,Almanor Lakeside Villas WWTF,yes
206381,Arnold WWTP,yes
206529,Ash Mountain WWTF,yes
206651,Atascadero State Hospital,yes
206730,Thunder Valley Casino WWTP,yes
208930,BB Reg WWA-Lucerne Vly,yes
209007,Beale AFB WWTP,yes
824400,Cayucos SD WWTP,yes
826481,South Entrance Wastewater Facility,yes
833707,CDOT Collier Tunnel Rest Area,yes
835076,EZ Trip 1277,yes
835078,Sterling Natural Resource Center WWTF,yes
835506,University of California Animal Health and Food Safety (CAHFS) Laboratory,yes
836454,Buttonwillow Safety Roadside Rest Area,yes
837951,"John ""Chuck"" Erreca SRRA",yes
838760,Antelope Acres Commercial Center,yes
840718,White Point Outfall Manifold Construction Dewatering Project,yes
846371,Membrane Filtration/Reverse Osmosis Facility - Escondido,yes
849194,Civita Water Reclamation Facility,yes
851487,Valley Wells Rest Area,yes
859673,Calexico Border Patrol Station,yes
860254,Microsoft Silicon Valley Recycled Water System,yes
862046,Google Bay View Campus,yes
872487,City of Tulare WWTF,yes
888692,Hyperion Advanced Water Purification Facility,yes
903974,Plumas Eureka Estates WWTF - WWTP 6,yes
864895,Sharon Heights Recycled Water Facility,no
866484,Oxnard Advanced Water Purification Facility (AWPF),no
867598,San Nicolas Island WWTP,no
869528,Del Rio Lago Wastewater System,no
869661,SWIP - Advanced Water Treatment Facility,no
872382,"Burke Property, OWTS",no
855819,Knights Bridge Winery - Domestic,no
856455,B & R Livestock Washout,no
858381,Region 2 Watershed Nutrient Permittees,no
864305,Nancy Wright Regional Water Reclamation Facility,no
825789,"OWTS at 100 Lagunitas Road, Lagunitas, Marin County",no
826202,"OWTS at 195 Resaca Ave, Forest Knolls, Marin Co",no
826844,City of Pacific Grove WWTF,no
830415,Santa Paula Water Recycling Facility,no
208536,Bailey Creek WWTF,no
208572,Baker WTF,no
208746,BARRET COVE Recreation Area,no
208771,Barstow/Daggett Airport WTF,no
209086,Beckwourth WW Ponds,no
209225,Ben Lomond Conservation Camp,no
206355,Armona CSD WWTF,no
206726,Auburn LK Onsite WW Disp,no
206732,Auburn Valley CSD WWTF,no
208519,Badger Pass WWTF,no
205259,Alpine Meadows/Whispering Wood,no
205396,Amador City WW Export System,no
205398,Amador County Regional Outfall,no
205543,American River Resort WWTP,no
205781,Angel Island State Pk - WWTP,no
206149,Arbuckle WWTP,no
201083,Fresno Cnty #47-Quail Lake WWTF,no
201085,Madera Cnty #6-Lake Shore Park WWTF,no
201088,Madera Cnty #8A-North Fork WWTF,no
202611,4-S Ranch Water Reclamation Facility,no
204486,Adin CSD,no
239451,Marconi Conference Center WWTP,no
239542,Mariposa Lodge- Onsite Sewage System,no
239591,Markleeville Wstwtr Trtmnt Sys,no
239773,EID Master Reclamation Permit,no
239789,Mata Amritanandamayi WWTP Pond System,no
239875,Maxwell Roadside Rest Station,no
239889,Mayacama Golf Club LLC,no
237867,Lagunitas School WWTP,no
237922,Lake Hughes Community WWTF,no
238315,Limoneira WWTP,no
239038,Mace Meadows Leachfield/Fairway Pines Leachfield,no
