Agency,Facility_Name,NPDES_No,Region,Major/Minor,PDF_File,Shared_PDF
,,CA0078921,5R,Minor,r5-2020-0004_npdes_minor_mod.pdf,No
,,CA0038768,2,Major,Order R2-2022-0019 AmCan NPDES reissue Jun-2022.pdf,No
,,CA0078981,5R,Major,r5-2024-0008_npdes.pdf,No
,,CA0077704,5R,Major,R5-2025-0011_npdes.pdf,No
,,CA0085201,5S,Minor,r5-2022-0038_npdes.pdf,No
Avila Beach CSD,Avila WWTP,CA0047830,3,Minor,R3-2017-0025 FINAL.pdf,No
"Bear Valley Water District (Bear Valley, CA)",Bear Valley WWTF,CA0085146,5S,Minor,r5-2022-0037_npdes.pdf,No
Brentwood City,Brentwood WWTP,CA0082660,5S,Major,r5-2024-0020_npdes.pdf,No
Burbank City DPW,Burbank WRP,CA0055531,4,Major,4424_R4-2023-0358_WDR_PKG.pdf,No
Calaveras Cnty Water District,Forest Meadows WWRP,CA0085278,5S,Minor,r5-2024-0067_npdes.pdf,No
Calipatria City,Calipatria City WWTP,CA0105015,7,Major,R7-2020-0010.pdf,No
Calistoga City Public Works Dept.,Calistoga City Dunaweal WWTP,CA0037966,2,Minor,R2-2022-0010.pdf,No
Central Marin Sanitation Agency,Central Marin San. Agcy. WWTP,CA0038628,2,Major,Final Order Central Marin Sanitation Agency.pdf,No
Chico City,Chico Water Pollution Control Plant,CA0079081,5R,Major,r5-2022-0033_npdes.pdf,No
City of Morro Bay,City of Morro Bay Water Reclamation Facility,CA3000002,3,Major,7-18-22_MorroBay_finalorder.pdf,No
City of Redding,Clear Creek WWTP,CA0079731,5R,Major,r5-2022-0040_npdes.pdf,No
City of Redding,Stillwater WWTF,CA0082589,5R,Major,r5-2023-0017_npdes.pdf,No
City of Santa Cruz,Santa Cruz WWTP,CA0048194,3,Major,R3-2023-0001.pdf,No
Clovis City,Clovis WWTF,CA0085235,5F,Major,r5-2024-0036_npdes.pdf,No
Coachella Valley WD,Coachella Valley WD WWTP,CA0104973,7,Major,R7-2023-0013.pdf,No
Colusa City,City of Colusa WWTP,CA0078999,5S,Minor,r5-2022-0020_npdes.pdf,No
Corning City,City of Corning WWTP,CA0004995,5R,Major,r5-2022-0022_npdes.pdf,No
"Country Life MHRVP Asset Partners, L.P.",Country Life MHPRV Asset Partners LP WWTP,CA0104264,7,Minor,R7-2023-0041.pdf,No
Covelo CSD,Covelo POTW,CA0023574,1,Minor,23_0006_covelo_csd_06.20.2023_eosigned.pdf,No
Crockett Community Services District,Port Costa WWTP,CA0037885,2,Minor,R2-2024-0009 Port Costa NPDES Order.pdf,No
Cutler-Orosi JT Powers WW Authority,Cutler-Orosi WWTF,CA0081485,5F,Major,r5-2025-0013_ndpes.pdf,No
Date Gardens Asset Partners LP,Date Gardens MHP WWTP,CA0104841,7,Minor,Order R7-2023-0046- Date Gardens MHPWWTP_NPDES.pdf,No
Davis City,City of Davis WWTP,CA0079049,5S,Major,r5-2025-0026_npdes.pdf,No
Dublin San Ramon Services District (WWTP NPDES & SSO),Dublin San Ramon SD WWTP,CA0037613,2,"Major, Minor",DSRSD - R2-2022-2024.pdf,No
Dunsmuir City,Dunsmuir WWTP,CA0078441,5R,Minor,r5-2024-0009_npdes.pdf,No
East Bay Dischargers Authority,EBDA Common Outfall,CA0037869,2,Major,EBDA - R2-2022-0023.pdf,No
East Bay MUD (WPCP),EBMUD SD#1-Wet Wthr Bypass,CA0038440,2,"Major, Minor",R2-2025-0006.pdf,No
East Bay MUD (WPCP),EBMUD WPCP,CA0037702,2,Major,R2-2020-0024.pdf,No
Eastern Municipal Water District,Temescal Creek Outfall,CA8000188,8,Major,R8-2015-0006_EMWD_Temescal_Creek_Discharge.pdf,No
Escondido City,Membrane Filtration/Reverse Osmosis Facility - Escondido,,9,Major,r9-2023_0131.pdf,No
Eureka City,Eureka City Elk River WWTP,CA0024449,1,Major,23_0016_Eureka_WWTP_NPDES_09.21.23.pdf,No
Ferndale City,Ferndale City POTW,CA0022721,1,"Major, Minor",18_0046_Ferndale_NPDES.pdf,No
Forestville Water District,Forestville Water District,CA0023043,1,Minor,2024_0004_forestville_npdes_signed.pdf,No
Graton CSD,Graton CSD,CA0023639,1,Minor,18_0001_Graton_NPDES.pdf,No
Grizzly Lake CSD,Delleker WWTP,CA0081744,5R,Minor,R5-2019-0052.pdf,No
Healdsburg City,Healdsburg City WWTP,CA0025135,1,Major,22_0017_Healdsburg_WWTF_NPDES.pdf,No
Heber PUD,Heber PUD WWTP,CA0104370,7,"Major, Minor",R7-2022-0007.pdf,No
Heritage Ranch CSD,Heritage Ranch WWTP,CA0048941,3,Minor,R3-2017-0026 Final.pdf,No
Holtville City,Holtville City WWTP,CA0104361,7,Minor,R7-2022-0005.pdf,No
Humboldt County Resort Improvement District #1,Shelter Cove POTW,CA0023027,1,Minor,22_0002shltrCvNPDES.pdf,No
Inland Empire Utilities Agency,IEUA Regional Plant No. 1,CA8000409,8,Major,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.pdf,Yes
Inland Empire Utilities Agency,IEUA Regional Plant No. 4,CA8000409,8,Major,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.pdf,Yes
Inland Empire Utilities Agency,IEUA Carbon Canyon WWRF,CA8000409,8,Major,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.pdf,Yes
Inland Empire Utilities Agency,IEUA Regional Plant No. 5,CA8000409,8,Major,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.pdf,Yes
Inland Empire Utilities Agency,IEUA Regional Plant No. 2,CA8000409,8,Major,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.pdf,Yes
Ironhouse Sanitary District,Ironhouse WWTF,CA0085260,5S,Major,R5-2024-0038.pdf,No
Joint Outfall System,San Jose Creek Water Reclamation Plant,CA0053911,4,Major,5542_R4-2021-0131_WDR_PKG.pdf,No
Joint Outfall System,Los Coyotes WRP,CA0054011,4,Major,5059_R4-2021-0142_WDR_PKG (signed).pdf,No
Joint Outfall System,Long Beach WRP,CA0054119,4,Major,5662_R4-2022-0032_WDR_PKG.pdf,No
Joint Outfall System,Whittier Narrows Water Reclamation Plant,CA0053716,4,Major,2848_R4-2021-0096_WDR_PKG.pdf,No
Lathrop City,City of Lathrop Consolidated Treatment Facility,CA0085359,5S,Major,r5-2022-0004-01_npdes.pdf,No
Lathrop City,City of Lathrop Consolidated Treatment Facility,CA0085359,5S,Major,r5-2022-0004_npdes.pdf,No
Lincoln-SMD1 Wastewater Authority,Lincoln City WWTF,CA0084476,5S,Major,r5-2024-0024_npdes.pdf,No
Linda Cnty Water District,Linda Cnty Water District WWTP,CA0079651,5S,Major,r5-2022-0070_npdes.pdf,No
Loleta CSD,Loleta WWTF,CA0023671,1,Minor,20_0002_Loleta_CSD_WDR and Recycling NPDES.pdf,No
Lompoc City,Lompoc City Regional Wastewater Reclamation Plant,CA0048127,3,Major,lompoc_finalorder.pdf,No
Los Angeles Cnty DPW,Malibu Mesa WRP,CA0059099,4,Minor,6599_R4-2021-0062_WDR.pdf,No
Manteca City,City of Manteca WW Quality Control Facility,CA0081558,5S,Major,r5-2021-0003_npdes.pdf,No
Marin Cnty Sanitary District 5,Marin CSD 5 - Tiburon WWTP,CA0037753,2,"Major, Minor",R2-2023-0018.pdf,No
Marin Cnty Sanitary District 5,Marin CSD 5 Paradise Cove WWTP,CA0037427,2,Minor,Paradise Cove - R2-2021-0017.pdf,No
McKinleyville Community Service District,McKinleyville WWTP,CA0024490,1,"Major, Minor",2024_0023_mckinleyville_sc_npdes_signed.pdf,No
Mendocino City CSD,Mendocino City CSD,CA0022870,1,Minor,22_01mendo_npdes.pdf,No
Mendocino County WWD #2 Anchor Bay,Mendocino County WWD#2-Anchor Bay,CA0024040,1,Minor,21_0005_AnchorBay_WWTF_NPDES.pdf,No
Modesto City,City of Modesto WQCF,CAC448536,5S,Major,mgo_amend_strike.pdf,No
Modesto City,North Valley Regional Recycled Water Program - Modesto WWTP & Turlock RWQCF,CA0085316,5S,Major,r5-2022-0034.pdf,No
Montecito Sanitary District,Montecito SD WWTP,CA0047899,3,Major,20220829_Order R3-2022-0010_Final (ACC).pdf,No
Monterey One Water,Monterey One Water Regional WWTP,CA0048551,3,Major,r3-2024-0045.pdf,No
Mountain House City,Mountain House WWTP,CA0084271,5S,Major,r5-2023-0033-01_npdes.pdf,No
Mountain House City,Mountain House WWTP,CA0084271,5S,Major,r5-2023-0033_npdes.pdf,No
Mountain House City,Mountain House WWTP,CA0084271,5S,Major,r5-2023-0033_npdes_mod.pdf,No
Mt Shasta City,Mount Shasta WWTP,CA0078051,5R,Minor,r5-2023-0016_npdes.pdf,No
Mt View Sanitary District,Mt. View Sanitary District WWTP,CA0037770,2,Major,MVSD Final Order ADA.pdf,No
Napa Sanitation District,Napa Sanitation District WWTP (Soscol Water Recycling Facility),CA0037575,2,Major,Order_R2-2022-0003.pdf,No
Nevada City,Nevada City WWTP,CA0079901,5S,Minor,r5-2022-0039_npdes.pdf,No
Newhall Ranch SD,Newhall Ranch WRP,CA0064556,4,Major,9322_R4-2024-0390_WDR_PKG.pdf.pdf,No
North San Mateo County Sanitation District,North San Mateo County Sanitation District WWTP,CA0037737,2,Major,CA0037737 NSMCSD Order R2-2022-0036.pdf,No
Olivehurst PUD,Olivehurst WWTP,CA0077836,5S,Major,r5-2021-0024_npdes.pdf,No
Orange CSD,OCSD Plant 2,CA0110604,8,Major,R8-2021-0010_OCSD.pdf,Yes
Orange CSD,OCSD Plant 1,CA0110604,8,Major,R8-2021-0010_OCSD.pdf,Yes
Orange County Water District,Groundwater Replenishment System - Advanced WTF,,8,Minor,R8-2022-0050_WDR_OCWD_GWRS.pdf,No
Oro Loma Sanitary District,Oro Loma/Castro Valley SD WPCP,CA0037559,2,"Major, Minor",Order R2-2024-0006.pdf,No
