CWNS Number,NPDES_No,Agency,Facility_Name,PDF_File,Primary Clarification,Secondary Clarification,Chemical Precipitation,Unspecified Clarification,Screening/Microstrainer,Grit Removal,Equalization,Flotation,SBR,Oxidation Ditch,Pure Oxygen,Extended Aeration,Stepfeed,Unspecified CAS,Facultative Lagoon,Aerated Lagoon,Anaerobic Lagoon,Polishing Lagoon,Unspecified Lagoon,AO,A2O,MLE,Bardenpho,Unspecified BNR,Chemical N Removal,Chemical P Removal,Secondary Filtration,Media Filtration,Biologically Active Filtration,Trickling Filter,Rotating Biological Contactor,Anaerobic Filter,Membrane Aerated Biofilm Reactor,Unspecified FFR,Nanofiltration,Electrodialysis Reversal,Electrodialysis,Reverse Osmosis,Ultrafiltration,Microfiltration,Membrane Bioreactor,Unspecified Membrane Process,Unspecified Filtration,Constructed Wetland,Surface Wetland,Unspecified Nature-Based Solution,UV-AOP,Coagulation,Flocculation,Ion Exchange,Activated Carbon,Chlorination,Dechlorination,UV Disinfection,Ozonation,Thermal Disinfection,Unspecified Disinfection,Alum Addition,Ferric Chloride Addition,Polymer Addition,Lime Addition,Neutralization,Unspecified Chemical Addition,Anaerobic Digestion,Aerobic Digestion,Unspecified Digestion,Mechanical Dewatering,Centrifuge,Drying,Elutriation,Unspecified Dewatering,Thickening,Land Application,Stabilization Pond,Biosolids Lagoon,Biosolids Landfill,Unspecified Disposal,MHI,FBI,Unspecified Incineration,Biogas Production,Cogeneration,Unspecified Energy Recovery
06007007001,CA0105015,Calipatria City,Calipatria City WWTP,R7-2020-0010.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06002053001,CA0037966,Calistoga City Public Works Dept.,Calistoga City Dunaweal WWTP,R2-2022-0010.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06002044004,CA0038628,Central Marin Sanitation Agency,Central Marin San. Agcy. WWTP,Final Order Central Marin Sanitation Agency.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06005011001,CA0079081,Chico City,Chico Water Pollution Control Plant,r5-2022-0033_npdes.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nan,CA3000002,City of Morro Bay,City of Morro Bay Water Reclamation Facility,7-18-22_MorroBay_finalorder.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06005098001,CA0079731,City of Redding,Clear Creek WWTP,r5-2022-0040_npdes.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06005098002,CA0082589,City of Redding,Stillwater WWTF,r5-2023-0017_npdes.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06003010001,CA0048194,City of Santa Cruz,Santa Cruz WWTP,R3-2023-0001.pdf,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nan,CA0085235,Clovis City,Clovis WWTF,r5-2024-0036_npdes.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06000000083,CA0104973,Coachella Valley WD,Coachella Valley WD WWTP,R7-2023-0013.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
