CWNS Number,Agency,Facility_Name,Facility/Project Name_y,Region_y,Region,Permit Number_x,PDF_File
06002006001,Dublin San Ramon Services District (WWTP NPDES & SSO),Dublin San Ramon SD WWTP,Dublin-San Ramon WWTF,2,9,CA0037613,DSRSD - R2-2022-2024.pdf
06002008001,Sunnyvale City,Sunnyvale WPCP,SUNNYVALE WWTF,2,9,CA0037621,CA0037621 Sunnyvale Order R2-2020-0002.pdf
06002012001,Palo Alto City,Palo Alto Regional WQCP,Palo Alto Regional WQCP,2,9,CA0037834,CA0037834 Palo Alto Order R2-2025-0003.pdf
06002029001,East Bay Dischargers Authority,EBDA Common Outfall,Hayward WPCF,2,9,CA0037869,EBDA - R2-2022-0023.pdf
06002033001,Napa Sanitation District,Napa Sanitation District WWTP (Soscol Water Recycling Facility),NAPA SANIT. DIST WWRF,2,9,CA0037575,Order_R2-2022-0003.pdf
06002036001,East Bay MUD (WPCP),EBMUD WPCP,East Bay MUD Main WWTP,2,9,CA0037702,R2-2020-0024.pdf
06002041001,San Jose City,San Jose/Santa Clara WPCP,San Jose/Santa Clara WPCP,2,9,CA0037842,CA0037842 SJ-SC Order R2-2020-0001.pdf
06002047001,Vallejo Flood & Wastewater District (formerly Vallejo San & Flood Control District),Vallejo Flood & Wastewater District (VFWD) WWTP,VSFCD WWTF,2,9,CA0037699,Order R2-2023-0001.pdf
06002081001,East Bay Dischargers Authority,EBDA Common Outfall,Alvarado WWTF,2,9,CA0037869,EBDA - R2-2022-0023.pdf
06002125001,Silicon Valley Clean Water,SVCW WWTP,S BAYSIDE WWTP,2,9,CA0038369,SVCW Order R2-2023-0003 (1).pdf
06003010001,City of Santa Cruz,Santa Cruz WWTP,SANTA CRUZ WWTF,3,9,CA0048194,R3-2023-0001.pdf
06003012001,Monterey One Water,Monterey One Water Regional WWTP,MRWCPA WWTF,3,9,CA0048551,r3-2024-0045.pdf
06004009003,Joint Outfall System,San Jose Creek Water Reclamation Plant,San Jose Creek WRP,4,9,CA0053911,5542_R4-2021-0131_WDR_PKG.pdf
06004009004,Joint Outfall System,Whittier Narrows Water Reclamation Plant,Whittier Narrows WRP,4,9,CA0053716,2848_R4-2021-0096_WDR_PKG.pdf
06004009005,Joint Outfall System,Los Coyotes WRP,Los Coyotes WRP,4,9,CA0054011,5059_R4-2021-0142_WDR_PKG (signed).pdf
06004009006,Joint Outfall System,Long Beach WRP,Long Beach WRP,4,9,CA0054119,5662_R4-2022-0032_WDR_PKG.pdf
06004009008,Santa Clarita Valley SD of Los Angeles Cnty,Valencia WRP,Valencia WRP,4,9,CA0054216,4993_R4-2022-0174_WDR_PKG.pdf
06004009009,Santa Clarita Valley SD of Los Angeles Cnty,Valencia WRP,Lancaster WRP,4,9,CA0054216,4993_R4-2022-0174_WDR_PKG.pdf
06004032001,Burbank City DPW,Burbank WRP,Burbank WRP,4,9,CA0055531,4424_R4-2023-0358_WDR_PKG.pdf
06005009001,Sacramento Area Sewer District (SacSewer),EchoWater Resource Recovery Facility,Sacramento Regional WWTF,5S,9,CA0077682,r5-2021-0019-01_npdes.pdf
06005009001,Sacramento Area Sewer District (SacSewer),EchoWater Resource Recovery Facility,Sacramento Regional WWTF,5S,9,CA0077682,r5-2021-0019-02.pdf
06005009001,Sacramento Area Sewer District (SacSewer),EchoWater Resource Recovery Facility,Sacramento Regional WWTF,5S,9,CA0077682,r5-2021-0019_npdes.pdf
06005025001,Stockton City,Wastewater Recovery Center,Stockton Regional WWCF,5S,9,CA0079138,r5-2025-0027_npdes.pdf
06008006001,Eastern Municipal Water District,Temescal Creek Outfall,San Jacinto Regional WRF,8,9,CA8000188,R8-2015-0006_EMWD_Temescal_Creek_Discharge.pdf
06008006002,Eastern Municipal Water District,Temescal Creek Outfall,Moreno Valley Regional WRF,8,9,CA8000188,R8-2015-0006_EMWD_Temescal_Creek_Discharge.pdf
06008006006,Eastern Municipal Water District,Temescal Creek Outfall,Perris Valley Regional WRF,8,9,CA8000188,R8-2015-0006_EMWD_Temescal_Creek_Discharge.pdf
06008010001,Inland Empire Utilities Agency,IEUA Regional Plant No. 1,IEUA Regional Plant No.1,8,9,CA8000409,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.pdf
06008010001,Inland Empire Utilities Agency,IEUA Regional Plant No. 4,IEUA Regional Plant No.1,8,9,CA8000409,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.pdf
06008010001,Inland Empire Utilities Agency,IEUA Carbon Canyon WWRF,IEUA Regional Plant No.1,8,9,CA8000409,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.pdf
06008010001,Inland Empire Utilities Agency,IEUA Regional Plant No. 5,IEUA Regional Plant No.1,8,9,CA8000409,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.pdf
06008010001,Inland Empire Utilities Agency,IEUA Regional Plant No. 2,IEUA Regional Plant No.1,8,9,CA8000409,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.pdf
06008010005,Inland Empire Utilities Agency,IEUA Regional Plant No. 1,IEUA Regional Plant No.5,8,9,CA8000409,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.pdf
06008010005,Inland Empire Utilities Agency,IEUA Regional Plant No. 4,IEUA Regional Plant No.5,8,9,CA8000409,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.pdf
06008010005,Inland Empire Utilities Agency,IEUA Carbon Canyon WWRF,IEUA Regional Plant No.5,8,9,CA8000409,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.pdf
06008010005,Inland Empire Utilities Agency,IEUA Regional Plant No. 5,IEUA Regional Plant No.5,8,9,CA8000409,R8-2022-0041_IEUA_ RWRFs_WDR_and_MRP.pdf
