Agency,Facility_Name,NPDES_No,Region,Major/Minor,PDF_File,Shared_PDF
Manteca City,City of Manteca WW Quality Control Facility,CA0081558,5S,Major,r5-2021-0003_npdes.pdf,No
UC Davis,UC Davis Main WWTP,CA0077895,5S,Major,r5-2021-0007_npdes.pdf,No
Linda Cnty Water District,Linda Cnty Water District WWTP,CA0079651,5S,Major,r5-2022-0070_npdes.pdf,No
Stockton City,Wastewater Recovery Center,CA0079138,5S,Major,r5-2025-0027_npdes.pdf,No
"Bear Valley Water District (Bear Valley, CA)",Bear Valley WWTF,CA0085146,5S,Minor,r5-2022-0037_npdes.pdf,No
Mountain House City,Mountain House WWTP,CA0084271,5S,Major,r5-2023-0033-01_npdes.pdf,No
River Highlands CSD,Hammonton Gold Village WWTP,CA0081574,5S,Minor,r5-2022-0024_npdes.pdf,No
Town of Discovery Bay CSD,Discovery Bay WWTP,CA0078590,5S,Major,R5-2024-0068_npdes.pdf,No
Modesto City,North Valley Regional Recycled Water Program - Modesto WWTP & Turlock RWQCF,CA0085316,5S,Major,r5-2022-0034.pdf,No
Nevada City,Nevada City WWTP,CA0079901,5S,Minor,r5-2022-0039_npdes.pdf,No
Marin Cnty Sanitary District 5,Marin CSD 5 Paradise Cove WWTP,CA0037427,2,Minor,Paradise Cove - R2-2021-0017.pdf,No
San Jose City,San Jose/Santa Clara WPCP,CA0037842,2,Major,CA0037842 SJ-SC Order R2-2020-0001.pdf,No
Calistoga City Public Works Dept.,Calistoga City Dunaweal WWTP,CA0037966,2,Minor,R2-2022-0010.pdf,No
Vallejo Flood & Wastewater District (formerly Vallejo San & Flood Control District),Vallejo Flood & Wastewater District (VFWD) WWTP,CA0037699,2,Major,Order R2-2023-0001.pdf,No
North San Mateo County Sanitation District,North San Mateo County Sanitation District WWTP,CA0037737,2,Major,CA0037737 NSMCSD Order R2-2022-0036.pdf,No
Mt View Sanitary District,Mt. View Sanitary District WWTP,CA0037770,2,Major,MVSD Final Order ADA.pdf,No
Palo Alto City,Palo Alto Regional WQCP,CA0037834,2,Major,CA0037834 Palo Alto Order R2-2025-0003.pdf,No
Central Marin Sanitation Agency,Central Marin San. Agcy. WWTP,CA0038628,2,Major,Final Order Central Marin Sanitation Agency.pdf,No
Treasure Island Development Authority,Treasure Island WWTP/DOD,CA0110116,2,Major,R2-2020-0020.pdf,No
Covelo CSD,Covelo POTW,CA0023574,1,Minor,23_0006_covelo_csd_06.20.2023_eosigned.pdf,No
Healdsburg City,Healdsburg City WWTP,CA0025135,1,Major,22_0017_Healdsburg_WWTF_NPDES.pdf,No
