AGENCY_NAME,FACILITY_NAME,PERMIT_NUMBER,Screening/Microstrainer,Grit Removal,Flow Equalization,Primary Clarifier,Flotation,Secondary Clarifier,SBR,Oxidation Ditch,Pure Oxygen Activated Sludge,Extended Aeration,Stepfeed,Unspecified CAS,Biofilter Trickling Filter,Rotating Biological Contactor,Anaerobic Filter,Unspecified Trickling Filter,Facultative Lagoon,Aerated Lagoon,Anaerobic Lagoon,Polishing Lagoon,Unspecified Lagoon,Membrane Bioreactor,Membrane Aerated Biofilm Rioreactor,AO,A2O,MLE,Bardenpho,Unspecified BNR,Chemical N Removal,Chemical P Removal,Tertiary Filtration,Constructed Wetland,Surface Wetland,Unspecified Nature-Based Solution,UV-AOP,Coagulation,Flocculation,Ion Exchange,Activated Carbon,Sedimentation,Media Filtration,Nanofiltration,Electrodialysis Reversal,Electrodialysis,Reverse Osmosis,Ultrafiltration,Microfiltration,Chlorination,Dechlorination,UV Disinfection,Ozonation,Thermal Disinfection,Unspecified Disinfection,Alum Addition,Ferric Chloride Addition,Polymer Addition,Neutralization,Other Chemical Addition,Anaerobic Digestion,Aerobic Digestion,Unspecified Digestion,Mechanical Dewatering,Centrifuge,Drying,Thickening,Lime Treatment,Land Treatment,Stabilization Pond,Biosolids Lagoon,MHI,FBI,Unspecified Incineration,Biogas Production,Cogeneration,Unspecified Energy Recovery
Alturas City,Alturas Municipal WWTP,CA0078921,0,present,0,present,0,present,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,present,present,0,0,0,present,present,present,0,0,present,0,0,0,0,0,0,0,0,0,0,0
American Canyon City PWD,American Canyon Water Reclamation Facility (WRF) (formerly WWTP),CA0038768,present,present,present,0,0,0,0,present,0,0,0,present,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0
American Valley CSD,American Valley WWTP,CA0078981,present,0,present,0,0,present,0,present,0,0,0,present,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,present,0,0,present,present,present,present,0,present,0,0,0,present,present,0,0,0,0,0,0
Anderson City,Anderson WPCP,CA0077704,present,0,present,0,0,present,0,present,0,0,0,present,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,present,0,present,present,0,0,present,0,0,0,present,0,0,0,0,0,0,0
Angels City,Angels City WWTP,CA0085201,present,present,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,present,0,0,0,0,0,0,present,present,present,0,present,0,0,0,0,0,0,0,0,0,0,0
Avila Beach CSD,Avila WWTP,CA0047830,0,0,0,present,0,0,0,present_and_future,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,future,0,0,present,present,0,0,0,0,0,0,0,0,0,present,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bear Valley Water District (Bear Valley, CA)",Bear Valley WWTF,CA0085146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brentwood City,Brentwood WWTP,CA0082660,present,present,0,0,0,present_and_future,0,present_and_future,0,present,0,present_and_future,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,present_and_future,present,0,0,0,present_and_future,0,0,present,0,0,present_and_future,present_and_future,present_and_future,present_and_future,present_and_future,present_and_future,0,0,0,0,0,0,0,0,0,0,0
Burbank City DPW,Burbank WRP,CA0055531,present,future,present,present,0,0,0,present,0,0,0,present,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,present,0,0,0,present_and_future,0,0,0,present,present,0,0,0,present,0,0,0,0,present,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calaveras Cnty Water District,Forest Meadows WWRP,CA0085278,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present_and_future,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0
Calipatria City,Calipatria City WWTP,CA0105015,present,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calistoga City Public Works Dept.,Calistoga City Dunaweal WWTP,CA0037966,present,0,present,0,0,0,0,present,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,0,0,0,present,present,0,0,0,present,present,0,present,0,0,present_and_future,present,present,present,0,present,0,0,present,0,0,0,0,0,present,0,present
Central Marin Sanitation Agency,Central Marin San. Agcy. WWTP,CA0038628,present,present,0,present,0,present,0,present,0,0,0,present,present,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,present_and_future,0,0,0,present,present,0,0,0,present,0,0,0,0,0,present_and_future,present,present,present,present,0,0,0,0,0,0,0,0,0,present,present,present
Chico City,Chico Water Pollution Control Plant,CA0079081,present,present,0,0,0,present,0,present,0,0,0,present_and_future,0,0,0,0,0,0,0,0,present_and_future,0,0,0,0,future,0,future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present_and_future,0,0,0,0,0,present,0,present,0,present,present,0,0,present,0,0,0,0,0,0,0,0
City of Morro Bay,City of Morro Bay Water Reclamation Facility,CA3000002,present,present,0,present,0,0,0,0,0,0,0,present,0,0,0,present,0,0,0,0,0,present,0,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,present,present,present,0,0,present,0,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0
City of Redding,Clear Creek WWTP,CA0079731,present,present,present,present,present,present,0,0,0,0,0,present,0,0,0,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,present,present,0,0,0,present,0,0,present,0,0,0,present,present,0,0,0,present,0,present,present,0,0,present,present,present,0,present,present,0,0,0,present,present,0,0,0,present,0,0
City of Redding,Stillwater WWTF,CA0082589,present,0,0,present,0,future,0,0,0,0,0,present,0,0,0,0,0,0,0,0,future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,present,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,future,future,present_and_future,0,future,0,0,0,future,future,0,0,0,0,0,0
City of Santa Cruz,Santa Cruz WWTP,CA0048194,present,present,0,present,0,0,0,0,0,0,0,0,present,0,0,present_and_future,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present_and_future,0,present,0,0,present,0,0,present,0,0,0,0,0,present,present,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0
Clovis City,Clovis WWTF,CA0085235,0,present,0,0,0,0,0,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,present,0,present,0,0,0,present,0,0,0,0,0,0,0,0
Coachella Valley WD,Coachella Valley WD WWTP,CA0104973,present,0,0,0,0,present,0,present,0,0,0,present,0,0,0,0,0,present,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,present,0,0,0,future,0,0,present,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0
Colusa City,City of Colusa WWTP,CA0078999,present,0,present,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0
