Method,Model,Macro Unit Process F1,Macro Category F1,State Accuracy,Price per PDF,Fraction Structured Output
List,claude-4-5-sonnet,0.083,0.095,0.065,,0.8
List,gemini-2.5-pro,0.08,0.093,0.079,,1.0
List,gpt-5,0.08,0.093,0.076,,1.0
List,gpt-5-mini,0.079,0.095,0.066,,1.0
List,claude-3-haiku,0.057,0.073,0.042,,0.0
Ontology,gemini-2.5-pro,0.082,0.097,0.065,,1.0
Ontology,gpt-5-mini,0.079,0.095,0.064,,0.8
Ontology,gpt-5,0.076,0.092,0.072,,1.0
Ontology,claude-sonnet-4-6-web,0.064,0.077,0.049,0.515,
Ontology,claude-3-haiku,0.054,0.075,0.04,,0.333
