REPORT_YEAR,CWNS_NUMBER,TREATMENT_TYPE,UNIT_PROCESS,SORT_SEQUENCE,PRES_IND,PROJ_IND,CHANGE_TYPE,BACKUP_IND,PLANNED_YEAR,ADDITIONAL_NOTES,LAST_UPDATED_TS,KEEP_UP,BLANK,CHGTP_NAME_CAT,KEEP_UP_CODE,Notes
2004,1000007001,Other,Bar Screen,,Y,Y,No Change,,,,,1,,,,
2004,1000007001,Disinfection,Chlorination,,Y,Y,No Change,,,,,1,,,,
2004,1000007001,Mechanical,Combined Biological Nitrification And BOD Reductn,,Y,Y,No Change,,,,,1,,,,
2004,1000007001,Other,Comminution,,Y,Y,No Change,,,,,1,,,,
2004,1000007001,Other,Control/Lab/Maintenance Building,,Y,Y,No Change,,,,,1,,,,
2004,1000007001,Other,Custom Built Plant,,Y,Y,No Change,,,,,1,,,,
2004,1000007001,Disinfection,Dechlorination,,Y,Y,No Change,,,,,1,,,,
2004,1000007001,Other,Gravity Thickening,,Y,Y,No Change,,,,,1,,,,
2004,1000007001,Other,Grit Removal,,Y,Y,No Change,,,,,1,,,,
2004,1000007001,Other,Influent Pumping,,Y,Y,No Change,,,,,1,,,,
2004,1000007001,Other,Landfill/Trenching,,Y,Y,No Change,,,,,1,,,,
2004,1000007001,Mechanical,Post Aeration,,Y,Y,No Change,,,,,1,,,,
2004,1000007001,Other,Primary Sedimentation,,Y,Y,No Change,,,,,1,,,,
2004,1000007001,Mechanical,Secondary Clarification,,Y,Y,No Change,,,,,1,,,,
2004,1000007001,Other,Semi-automated,,Y,Y,No Change,,,,,1,,,,
2004,1000007002,Mechanical,Activated Sludge - Extended Aeration,,Y,Y,New,,,,,1,,,,
2004,1000007002,Other,Air Drying - Sand Beds,,Y,Y,No Change,,,,,1,,,,
2004,1000007002,Other,Bar Screen,,Y,Y,No Change,,,,,1,,,,
2004,1000007002,Disinfection,Chlorination,,Y,Y,No Change,,,,,1,,,,
2004,1000007002,Other,Control/Lab/Maintenance Building,,Y,Y,No Change,,,,,1,,,,
2004,1000007002,Other,Custom Built Plant,,Y,Y,No Change,,,,,1,,,,
2004,1000007002,Other,Influent Pumping,,Y,Y,No Change,,,,,1,,,,
2004,1000007002,Other,Landfill/Trenching,,Y,Y,No Change,,,,,1,,,,
2004,1000007002,Other,Other Preliminary Or Primary Treatment,,Y,Y,No Change,,,,,1,,,,
2004,1000007002,Other,Primary Sedimentation,,Y,Y,No Change,,,,,1,,,,
2004,1000007002,Other,Semi-automated,,Y,Y,No Change,,,,,1,,,,
2004,1000007002,Mechanical,Trickling Filter - Plastic Media,,Y,Y,New,,,,,1,,,,
